Nome: CAPITAO POCO
Codigo Estacao: A248
Latitude: -1.73472221
Longitude: -47.0575
Altitude: 79.1
Situacao: Operante
Data Inicial: 2011-04-17
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2011-04-30;null;
2011-05-31;236.6;
2011-06-30;134.6;
2011-07-31;122.8;
2011-08-31;101;
2011-09-30;54.6;
2011-10-31;130.2;
2011-11-30;1.6;
2011-12-31;23.2;
2012-01-31;102;
2012-02-29;338;
2012-03-31;256.8;
2012-04-30;224.4;
2012-05-31;191.2;
2012-06-30;152.2;
2012-07-31;156.6;
2012-08-31;62.2;
2012-09-30;36.6;
2012-10-31;16.2;
2012-11-30;38.6;
2012-12-31;101.2;
2013-01-31;118.8;
2013-02-28;270.4;
2013-03-31;431.6;
2013-04-30;496.6;
2013-05-31;284;
2013-06-30;139;
2013-07-31;255.4;
2013-08-31;182.6;
2013-09-30;110.2;
2013-10-31;33;
2013-11-30;120.2;
2013-12-31;54;
2014-01-31;null;
2014-02-28;null;
2014-03-31;386.2;
2014-04-30;116.8;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;13.6;
2014-09-30;40.2;
2014-10-31;46.2;
2014-11-30;20.6;
2014-12-31;78.2;
2015-01-31;180.2;
2015-02-28;20;
2015-03-31;null;
2015-04-30;122.6;
2015-05-31;null;
2015-06-30;265.6;
2015-07-31;64;
2015-08-31;1;
2015-09-30;4.4;
2015-10-31;16.6;
2015-11-30;.8;
2015-12-31;35;
2016-01-31;null;
2016-02-29;null;
2016-03-31;302.8;
2016-04-30;176.6;
2016-05-31;129.8;
2016-06-30;null;
2016-07-31;null;
2016-08-31;4.8;
2016-09-30;60;
2016-10-31;25.4;
2016-11-30;15.6;
2016-12-31;158.6;
2017-01-31;155.8;
2017-02-28;295.6;
2017-03-31;386;
2017-04-30;null;
2017-05-31;null;
2017-06-30;169;
2017-07-31;null;
2017-08-31;null;
2017-09-30;66.8;
2017-10-31;47.4;
2017-11-30;3;
2017-12-31;91.4;
2018-01-31;null;
2018-02-28;148.8;
2018-03-31;355.4;
2018-04-30;407;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;100.2;
2018-09-30;77.6;
2018-10-31;10;
2018-11-30;198.8;
2018-12-31;198;
2019-01-31;355;
2019-02-28;388.6;
2019-03-31;361.6;
2019-04-30;448.2;
2019-05-31;307;
2019-06-30;237.4;
2019-07-31;137.6;
2019-08-31;100;
2019-09-30;35.4;
2019-10-31;75;
2019-11-30;47.2;
2019-12-31;67.6;
2020-01-31;365.8;
2020-02-29;515.4;
2020-03-31;480.2;
2020-04-30;353;
2020-05-31;428;
2020-06-30;196.4;
2020-07-31;51.6;
2020-08-31;null;
2020-09-30;61.4;
2020-10-31;65.4;
2020-11-30;200.4;
2020-12-31;157.8;
2021-01-31;76.8;
2021-02-28;295.4;
2021-03-31;381.4;
2021-04-30;261;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

