Nome: MACAPA
Codigo Estacao: A249
Latitude: 0.03499999
Longitude: -51.08888888
Altitude: 16.62
Situacao: Pane
Data Inicial: 2013-12-11
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2013-12-31;null;
2014-01-31;195.8;
2014-02-28;466.2;
2014-03-31;329.8;
2014-04-30;341.4;
2014-05-31;372.8;
2014-06-30;394.8;
2014-07-31;151.2;
2014-08-31;15.2;
2014-09-30;41.2;
2014-10-31;38.8;
2014-11-30;54.2;
2014-12-31;21;
2015-01-31;138.6;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;42;
2015-09-30;0;
2015-10-31;2;
2015-11-30;0;
2015-12-31;17.6;
2016-01-31;111.2;
2016-02-29;346.8;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;18;
2016-08-31;38.8;
2016-09-30;50.2;
2016-10-31;null;
2016-11-30;null;
2016-12-31;259;
2017-01-31;169.8;
2017-02-28;446.4;
2017-03-31;501.6;
2017-04-30;298.6;
2017-05-31;207.6;
2017-06-30;107;
2017-07-31;null;
2017-08-31;null;
2017-09-30;34.4;
2017-10-31;2.6;
2017-11-30;.4;
2017-12-31;133.2;
2018-01-31;242;
2018-02-28;227.4;
2018-03-31;270.2;
2018-04-30;618.2;
2018-05-31;518;
2018-06-30;232.6;
2018-07-31;104;
2018-08-31;79.4;
2018-09-30;194.4;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;220.6;
2019-04-30;null;
2019-05-31;474;
2019-06-30;257;
2019-07-31;381.8;
2019-08-31;89.8;
2019-09-30;2.8;
2019-10-31;null;
2019-11-30;26.6;
2019-12-31;183.8;
2020-01-31;241.2;
2020-02-29;235.4;
2020-03-31;248.4;
2020-04-30;501.8;
2020-05-31;361.2;
2020-06-30;256.2;
2020-07-31;69;
2020-08-31;70.2;
2020-09-30;57.8;
2020-10-31;.2;
2020-11-30;395.6;
2020-12-31;102.2;
2021-01-31;null;
2021-02-28;331.8;
2021-03-31;323.4;
2021-04-30;269.8;
2021-05-31;425.4;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

