Nome: SANTAREM
Codigo Estacao: A250
Latitude: -2.5025
Longitude: -54.72027777
Altitude: 137
Situacao: Pane
Data Inicial: 2015-09-01
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2015-09-30;6.6;
2015-10-31;7.8;
2015-11-30;0;
2015-12-31;3;
2016-01-31;93.8;
2016-02-29;115.8;
2016-03-31;385.6;
2016-04-30;492.2;
2016-05-31;245.4;
2016-06-30;117.8;
2016-07-31;89.4;
2016-08-31;15.2;
2016-09-30;24.6;
2016-10-31;47.4;
2016-11-30;18.6;
2016-12-31;242.8;
2017-01-31;261.8;
2017-02-28;436.8;
2017-03-31;543.6;
2017-04-30;400;
2017-05-31;232;
2017-06-30;206.6;
2017-07-31;45.2;
2017-08-31;42.6;
2017-09-30;3.4;
2017-10-31;52.6;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;437;
2018-04-30;458.6;
2018-05-31;221.8;
2018-06-30;116;
2018-07-31;140;
2018-08-31;36.2;
2018-09-30;96.6;
2018-10-31;0;
2018-11-30;159.4;
2018-12-31;514;
2019-01-31;446;
2019-02-28;467.8;
2019-03-31;615.6;
2019-04-30;487;
2019-05-31;606;
2019-06-30;156.2;
2019-07-31;48.6;
2019-08-31;49.2;
2019-09-30;22.8;
2019-10-31;136.8;
2019-11-30;202.8;
2019-12-31;107;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

