Nome: ALTAMIRA
Codigo Estacao: A253
Latitude: -3.27027777
Longitude: -52.39472221
Altitude: 191
Situacao: Pane
Data Inicial: 2018-10-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-10-31;null;
2018-11-30;115.2;
2018-12-31;230.6;
2019-01-31;215;
2019-02-28;178.4;
2019-03-31;261.2;
2019-04-30;303.2;
2019-05-31;300.6;
2019-06-30;41.4;
2019-07-31;104.4;
2019-08-31;24.2;
2019-09-30;45.2;
2019-10-31;67.6;
2019-11-30;87;
2019-12-31;162.8;
2020-01-31;251.6;
2020-02-29;276.8;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

