Nome: REDENCAO
Codigo Estacao: A254
Latitude: -8.04333333
Longitude: -50.00694444
Altitude: 199
Situacao: Operante
Data Inicial: 2019-07-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2019-07-31;null;
2019-08-31;0;
2019-09-30;63.8;
2019-10-31;279.6;
2019-11-30;155.8;
2019-12-31;162.2;
2020-01-31;326.2;
2020-02-29;377.8;
2020-03-31;398.6;
2020-04-30;162.2;
2020-05-31;165.6;
2020-06-30;16;
2020-07-31;0;
2020-08-31;1.4;
2020-09-30;70;
2020-10-31;103.8;
2020-11-30;163.6;
2020-12-31;261.4;
2021-01-31;null;
2021-02-28;430.4;
2021-03-31;400.8;
2021-04-30;166.4;
2021-05-31;19.4;
2021-06-30;4.2;
2021-07-31;0;
2021-08-31;6.8;
2021-09-30;89.6;
2021-10-31;157;
2021-11-30;164;
2021-12-31;250.6;
2022-01-31;null;

