Nome: ZE DOCA
Codigo Estacao: A255
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 45.5
Situacao: Operante
Data Inicial: 2019-09-17
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2019-09-30;null;
2019-10-31;6.6;
2019-11-30;41.4;
2019-12-31;91.8;
2020-01-31;485.4;
2020-02-29;318.2;
2020-03-31;178.8;
2020-04-30;393.2;
2020-05-31;204.6;
2020-06-30;43.8;
2020-07-31;9;
2020-08-31;0;
2020-09-30;10.8;
2020-10-31;21.6;
2020-11-30;155.4;
2020-12-31;129;
2021-01-31;null;
2021-02-28;452.6;
2021-03-31;411.8;
2021-04-30;282.2;
2021-05-31;195.6;
2021-06-30;98.2;
2021-07-31;86.8;
2021-08-31;37;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

