Nome: RECIFE
Codigo Estacao: A301
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Pane
Data Inicial: 2004-12-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2004-12-31;null;
2005-01-31;17.8;
2005-02-28;86.4;
2005-03-31;81.2;
2005-04-30;174.2;
2005-05-31;515.8;
2005-06-30;738.4;
2005-07-31;186.4;
2005-08-31;294.4;
2005-09-30;46;
2005-10-31;58.2;
2005-11-30;11;
2005-12-31;164.8;
2006-01-31;13.2;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;434.4;
2006-07-31;229.2;
2006-08-31;154.2;
2006-09-30;81;
2006-10-31;10;
2006-11-30;84.4;
2006-12-31;108.2;
2007-01-31;85.6;
2007-02-28;null;
2007-03-31;115.8;
2007-04-30;342.2;
2007-05-31;222;
2007-06-30;394;
2007-07-31;336;
2007-08-31;217.6;
2007-09-30;122.2;
2007-10-31;26.8;
2007-11-30;38.8;
2007-12-31;31.4;
2008-01-31;84.6;
2008-02-29;32.6;
2008-03-31;392.2;
2008-04-30;null;
2008-05-31;434.2;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;309.4;
2009-08-31;249.2;
2009-09-30;78;
2009-10-31;14.2;
2009-11-30;44.4;
2009-12-31;45.8;
2010-01-31;173.6;
2010-02-28;45.6;
2010-03-31;84;
2010-04-30;258.8;
2010-05-31;112.6;
2010-06-30;503.2;
2010-07-31;183.2;
2010-08-31;181;
2010-09-30;41;
2010-10-31;0;
2010-11-30;0;
2010-12-31;78.2;
2011-01-31;135;
2011-02-28;293.6;
2011-03-31;121.4;
2011-04-30;591.4;
2011-05-31;677.6;
2011-06-30;284.2;
2011-07-31;448.6;
2011-08-31;154.2;
2011-09-30;35.8;
2011-10-31;null;
2011-11-30;74.6;
2011-12-31;45.2;
2012-01-31;198.8;
2012-02-29;166.6;
2012-03-31;null;
2012-04-30;60.8;
2012-05-31;200.8;
2012-06-30;298;
2012-07-31;262.8;
2012-08-31;180.2;
2012-09-30;22.4;
2012-10-31;57.8;
2012-11-30;12;
2012-12-31;27.8;
2013-01-31;95.6;
2013-02-28;49.4;
2013-03-31;98.2;
2013-04-30;229;
2013-05-31;328.6;
2013-06-30;473.6;
2013-07-31;411.4;
2013-08-31;225.4;
2013-09-30;149.8;
2013-10-31;138.4;
2013-11-30;79;
2013-12-31;174.8;
2014-01-31;108;
2014-02-28;145;
2014-03-31;203.4;
2014-04-30;256.6;
2014-05-31;299.4;
2014-06-30;304;
2014-07-31;265.4;
2014-08-31;158;
2014-09-30;null;
2014-10-31;144.6;
2014-11-30;58.2;
2014-12-31;74.4;
2015-01-31;65.6;
2015-02-28;null;
2015-03-31;299.4;
2015-04-30;68.6;
2015-05-31;172.6;
2015-06-30;446.2;
2015-07-31;445.2;
2015-08-31;114.6;
2015-09-30;35.2;
2015-10-31;17.8;
2015-11-30;30.8;
2015-12-31;82.6;
2016-01-31;117.2;
2016-02-29;null;
2016-03-31;250;
2016-04-30;286.6;
2016-05-31;404;
2016-06-30;109;
2016-07-31;93;
2016-08-31;57;
2016-09-30;54.2;
2016-10-31;null;
2016-11-30;18.4;
2016-12-31;71;
2017-01-31;30.4;
2017-02-28;19.6;
2017-03-31;null;
2017-04-30;null;
2017-05-31;397.8;
2017-06-30;null;
2017-07-31;469;
2017-08-31;119;
2017-09-30;84.4;
2017-10-31;64.6;
2017-11-30;15.4;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;133;
2018-04-30;473.2;
2018-05-31;231;
2018-06-30;143;
2018-07-31;133.8;
2018-08-31;104.6;
2018-09-30;59.4;
2018-10-31;24;
2018-11-30;40;
2018-12-31;75.8;
2019-01-31;107.6;
2019-02-28;119.6;
2019-03-31;154.8;
2019-04-30;280.8;
2019-05-31;211.8;
2019-06-30;398.4;
2019-07-31;435.8;
2019-08-31;183.6;
2019-09-30;114;
2019-10-31;62.2;
2019-11-30;4.2;
2019-12-31;8.8;
2020-01-31;58.6;
2020-02-29;88.6;
2020-03-31;157.8;
2020-04-30;245;
2020-05-31;255.6;
2020-06-30;295.6;
2020-07-31;204;
2020-08-31;119.4;
2020-09-30;70.8;
2020-10-31;25.2;
2020-11-30;61.6;
2020-12-31;73;
2021-01-31;54.8;
2021-02-28;119.8;
2021-03-31;222.2;
2021-04-30;420;
2021-05-31;535.4;
2021-06-30;193.8;
2021-07-31;264.6;
2021-08-31;309;
2021-09-30;50;
2021-10-31;46.2;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

