Nome: PETROLINA
Codigo Estacao: A307
Latitude: -9.388323
Longitude: -40.523262
Altitude: 372.72
Situacao: Operante
Data Inicial: 2003-02-20
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2003-02-28;null;
2003-03-31;102.8;
2003-04-30;43.6;
2003-05-31;1;
2003-06-30;0;
2003-07-31;2.6;
2003-08-31;.4;
2003-09-30;5;
2003-10-31;0;
2003-11-30;40.8;
2003-12-31;49;
2004-01-31;479.8;
2004-02-29;158.8;
2004-03-31;74.8;
2004-04-30;30.2;
2004-05-31;19.8;
2004-06-30;0;
2004-07-31;.2;
2004-08-31;.2;
2004-09-30;.2;
2004-10-31;7.2;
2004-11-30;.2;
2004-12-31;2.6;
2005-01-31;39.2;
2005-02-28;null;
2005-03-31;75.6;
2005-04-30;31.6;
2005-05-31;null;
2005-06-30;13.8;
2005-07-31;5.4;
2005-08-31;null;
2005-09-30;null;
2005-10-31;0;
2005-11-30;64.4;
2005-12-31;17.2;
2006-01-31;.2;
2006-02-28;null;
2006-03-31;150.2;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;8;
2006-10-31;21;
2006-11-30;51.2;
2006-12-31;38.6;
2007-01-31;.4;
2007-02-28;245;
2007-03-31;6.6;
2007-04-30;79.2;
2007-05-31;1.4;
2007-06-30;1.8;
2007-07-31;4;
2007-08-31;6.6;
2007-09-30;1.4;
2007-10-31;0;
2007-11-30;null;
2007-12-31;31.8;
2008-01-31;116.4;
2008-02-29;216.6;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;.4;
2008-08-31;0;
2008-09-30;0;
2008-10-31;0;
2008-11-30;null;
2008-12-31;null;
2009-01-31;39.4;
2009-02-28;134;
2009-03-31;129.4;
2009-04-30;178.2;
2009-05-31;57.8;
2009-06-30;5.2;
2009-07-31;.6;
2009-08-31;2.8;
2009-09-30;0;
2009-10-31;101;
2009-11-30;0;
2009-12-31;null;
2010-01-31;27.8;
2010-02-28;29;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;0;
2010-09-30;3.8;
2010-10-31;52.4;
2010-11-30;.8;
2010-12-31;147.4;
2011-01-31;65.2;
2011-02-28;65.4;
2011-03-31;54;
2011-04-30;47;
2011-05-31;8;
2011-06-30;.2;
2011-07-31;.2;
2011-08-31;6.2;
2011-09-30;0;
2011-10-31;8.2;
2011-11-30;8.2;
2011-12-31;11;
2012-01-31;27.4;
2012-02-29;84.2;
2012-03-31;.2;
2012-04-30;0;
2012-05-31;.2;
2012-06-30;2;
2012-07-31;1.4;
2012-08-31;1.6;
2012-09-30;0;
2012-10-31;0;
2012-11-30;15.6;
2012-12-31;1.6;
2013-01-31;29;
2013-02-28;0;
2013-03-31;12.8;
2013-04-30;null;
2013-05-31;1.2;
2013-06-30;6.2;
2013-07-31;12.2;
2013-08-31;4;
2013-09-30;.4;
2013-10-31;.2;
2013-11-30;33.6;
2013-12-31;158.2;
2014-01-31;29.2;
2014-02-28;35;
2014-03-31;55.4;
2014-04-30;178;
2014-05-31;3.8;
2014-06-30;1.2;
2014-07-31;25.4;
2014-08-31;2.2;
2014-09-30;7.2;
2014-10-31;0;
2014-11-30;91.8;
2014-12-31;49.2;
2015-01-31;12.4;
2015-02-28;35.6;
2015-03-31;37.2;
2015-04-30;77.2;
2015-05-31;.6;
2015-06-30;2.4;
2015-07-31;2.6;
2015-08-31;0;
2015-09-30;0;
2015-10-31;13.8;
2015-11-30;0;
2015-12-31;3.2;
2016-01-31;291.6;
2016-02-29;25.8;
2016-03-31;12.6;
2016-04-30;2.6;
2016-05-31;.6;
2016-06-30;.8;
2016-07-31;.8;
2016-08-31;.6;
2016-09-30;0;
2016-10-31;.2;
2016-11-30;17.2;
2016-12-31;11.2;
2017-01-31;0;
2017-02-28;79.8;
2017-03-31;10;
2017-04-30;7.8;
2017-05-31;2.6;
2017-06-30;2.4;
2017-07-31;.6;
2017-08-31;0;
2017-09-30;6;
2017-10-31;0;
2017-11-30;22.4;
2017-12-31;13.8;
2018-01-31;20.6;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;0;
2018-08-31;.8;
2018-09-30;0;
2018-10-31;8.4;
2018-11-30;0;
2018-12-31;48.8;
2019-01-31;10;
2019-02-28;68.4;
2019-03-31;62.2;
2019-04-30;30.4;
2019-05-31;21.2;
2019-06-30;7.8;
2019-07-31;1.8;
2019-08-31;4.2;
2019-09-30;.8;
2019-10-31;5.8;
2019-11-30;.8;
2019-12-31;23.4;
2020-01-31;106.4;
2020-02-29;20;
2020-03-31;110.4;
2020-04-30;76.2;
2020-05-31;6.4;
2020-06-30;16.8;
2020-07-31;5.2;
2020-08-31;4.4;
2020-09-30;.2;
2020-10-31;1;
2020-11-30;150;
2020-12-31;0;
2021-01-31;58.8;
2021-02-28;74;
2021-03-31;6.2;
2021-04-30;61.6;
2021-05-31;.2;
2021-06-30;3.8;
2021-07-31;1.8;
2021-08-31;.2;
2021-09-30;0;
2021-10-31;45.2;
2021-11-30;80;
2021-12-31;182.4;
2022-01-31;null;

