Nome: PARNAIBA
Codigo Estacao: A308
Latitude: -3.08666666
Longitude: -41.78305554
Altitude: 52.11
Situacao: Pane
Data Inicial: 2003-02-05
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2003-02-28;null;
2003-03-31;253.8;
2003-04-30;218.8;
2003-05-31;null;
2003-06-30;null;
2003-07-31;null;
2003-08-31;null;
2003-09-30;1;
2003-10-31;0;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;191.4;
2004-03-31;206.6;
2004-04-30;63.8;
2004-05-31;129.4;
2004-06-30;63.8;
2004-07-31;80.6;
2004-08-31;14.2;
2004-09-30;9.8;
2004-10-31;0;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;193.8;
2005-04-30;85.6;
2005-05-31;56.6;
2005-06-30;11.4;
2005-07-31;76.4;
2005-08-31;0;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;157.8;
2006-04-30;null;
2006-05-31;null;
2006-06-30;122;
2006-07-31;42.2;
2006-08-31;9.6;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;0;
2007-10-31;5.8;
2007-11-30;null;
2007-12-31;null;
2008-01-31;103;
2008-02-29;165.2;
2008-03-31;422.8;
2008-04-30;387.2;
2008-05-31;170.4;
2008-06-30;84.2;
2008-07-31;56.2;
2008-08-31;46.8;
2008-09-30;0;
2008-10-31;0;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;403.2;
2009-04-30;490.6;
2009-05-31;423.6;
2009-06-30;87.8;
2009-07-31;52.8;
2009-08-31;4.2;
2009-09-30;0;
2009-10-31;0;
2009-11-30;0;
2009-12-31;2.4;
2010-01-31;33.4;
2010-02-28;27.2;
2010-03-31;151.4;
2010-04-30;188.2;
2010-05-31;54.8;
2010-06-30;50.2;
2010-07-31;64.6;
2010-08-31;0;
2010-09-30;0;
2010-10-31;11.6;
2010-11-30;3.2;
2010-12-31;92;
2011-01-31;null;
2011-02-28;null;
2011-03-31;46.8;
2011-04-30;361.4;
2011-05-31;80.8;
2011-06-30;69.6;
2011-07-31;63.8;
2011-08-31;6.6;
2011-09-30;0;
2011-10-31;48;
2011-11-30;0;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;227.2;
2012-04-30;51.4;
2012-05-31;29.4;
2012-06-30;108.2;
2012-07-31;39.2;
2012-08-31;0;
2012-09-30;0;
2012-10-31;0;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;181;
2013-05-31;163.6;
2013-06-30;34.4;
2013-07-31;117;
2013-08-31;10.6;
2013-09-30;0;
2013-10-31;0;
2013-11-30;22;
2013-12-31;16.8;
2014-01-31;71.8;
2014-02-28;124.8;
2014-03-31;188.2;
2014-04-30;219.8;
2014-05-31;376.2;
2014-06-30;9.8;
2014-07-31;4;
2014-08-31;0;
2014-09-30;8.8;
2014-10-31;.2;
2014-11-30;4;
2014-12-31;0;
2015-01-31;15.4;
2015-02-28;192.2;
2015-03-31;136.6;
2015-04-30;277;
2015-05-31;10.4;
2015-06-30;16.6;
2015-07-31;54;
2015-08-31;0;
2015-09-30;0;
2015-10-31;0;
2015-11-30;0;
2015-12-31;11.6;
2016-01-31;176.4;
2016-02-29;65;
2016-03-31;74.2;
2016-04-30;36.4;
2016-05-31;155;
2016-06-30;125.4;
2016-07-31;40.2;
2016-08-31;0;
2016-09-30;0;
2016-10-31;0;
2016-11-30;0;
2016-12-31;75;
2017-01-31;98.6;
2017-02-28;168.6;
2017-03-31;292;
2017-04-30;80.4;
2017-05-31;69.2;
2017-06-30;20.4;
2017-07-31;29.4;
2017-08-31;13.8;
2017-09-30;0;
2017-10-31;4;
2017-11-30;null;
2017-12-31;null;
2018-01-31;51;
2018-02-28;366.6;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;1;
2018-09-30;0;
2018-10-31;0;
2018-11-30;0;
2018-12-31;173.2;
2019-01-31;140.8;
2019-02-28;142.8;
2019-03-31;251.8;
2019-04-30;282.2;
2019-05-31;null;
2019-06-30;null;
2019-07-31;86.6;
2019-08-31;6.6;
2019-09-30;20.8;
2019-10-31;0;
2019-11-30;.2;
2019-12-31;12.4;
2020-01-31;227.8;
2020-02-29;161.6;
2020-03-31;433;
2020-04-30;343.6;
2020-05-31;null;
2020-06-30;null;
2020-07-31;21.8;
2020-08-31;2.2;
2020-09-30;0;
2020-10-31;0;
2020-11-30;97.2;
2020-12-31;0;
2021-01-31;91.6;
2021-02-28;131.8;
2021-03-31;261.6;
2021-04-30;166.6;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;13.6;
2021-09-30;1;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

