Nome: ARCO VERDE
Codigo Estacao: A309
Latitude: -8.4336111
Longitude: -37.05555555
Altitude: 683.95
Situacao: Operante
Data Inicial: 2004-11-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2004-11-30;null;
2004-12-31;null;
2005-01-31;28.2;
2005-02-28;78;
2005-03-31;212;
2005-04-30;22.6;
2005-05-31;100.2;
2005-06-30;169.8;
2005-07-31;59.6;
2005-08-31;98.4;
2005-09-30;10.4;
2005-10-31;0;
2005-11-30;null;
2005-12-31;115;
2006-01-31;.6;
2006-02-28;null;
2006-03-31;77;
2006-04-30;null;
2006-05-31;null;
2006-06-30;134.4;
2006-07-31;67.8;
2006-08-31;47.2;
2006-09-30;25.4;
2006-10-31;2.8;
2006-11-30;17.8;
2006-12-31;0;
2007-01-31;.6;
2007-02-28;135.4;
2007-03-31;264.4;
2007-04-30;65.2;
2007-05-31;77.4;
2007-06-30;133.6;
2007-07-31;67.6;
2007-08-31;110.8;
2007-09-30;42;
2007-10-31;4.6;
2007-11-30;10;
2007-12-31;20;
2008-01-31;4.4;
2008-02-29;91.4;
2008-03-31;239.8;
2008-04-30;90.2;
2008-05-31;167.2;
2008-06-30;65;
2008-07-31;124.2;
2008-08-31;54.6;
2008-09-30;15.6;
2008-10-31;6.6;
2008-11-30;0;
2008-12-31;22.6;
2009-01-31;48.4;
2009-02-28;95;
2009-03-31;102.2;
2009-04-30;133;
2009-05-31;299.4;
2009-06-30;88.4;
2009-07-31;91.8;
2009-08-31;null;
2009-09-30;null;
2009-10-31;17.6;
2009-11-30;5.4;
2009-12-31;39.8;
2010-01-31;147.2;
2010-02-28;91;
2010-03-31;69.2;
2010-04-30;152.4;
2010-05-31;36.8;
2010-06-30;null;
2010-07-31;null;
2010-08-31;38.2;
2010-09-30;43.4;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;48.4;
2011-04-30;87.8;
2011-05-31;176.4;
2011-06-30;61.4;
2011-07-31;1.4;
2011-08-31;1.6;
2011-09-30;6.2;
2011-10-31;5.2;
2011-11-30;5.2;
2011-12-31;0;
2012-01-31;10.6;
2012-02-29;1.6;
2012-03-31;2.8;
2012-04-30;2.2;
2012-05-31;46.2;
2012-06-30;31;
2012-07-31;71.2;
2012-08-31;47.8;
2012-09-30;7.4;
2012-10-31;9;
2012-11-30;11.4;
2012-12-31;1;
2013-01-31;4.6;
2013-02-28;1.8;
2013-03-31;18;
2013-04-30;106.8;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;91.2;
2014-05-31;143.6;
2014-06-30;70.6;
2014-07-31;65.6;
2014-08-31;68.4;
2014-09-30;49.4;
2014-10-31;118.6;
2014-11-30;9.2;
2014-12-31;8.4;
2015-01-31;1.2;
2015-02-28;72.4;
2015-03-31;36.4;
2015-04-30;7.8;
2015-05-31;22;
2015-06-30;77;
2015-07-31;107.4;
2015-08-31;35.8;
2015-09-30;16;
2015-10-31;0;
2015-11-30;0;
2015-12-31;55.2;
2016-01-31;27.8;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;84;
2016-06-30;20.8;
2016-07-31;15.4;
2016-08-31;8.6;
2016-09-30;.4;
2016-10-31;.4;
2016-11-30;0;
2016-12-31;4.6;
2017-01-31;0;
2017-02-28;2.2;
2017-03-31;17;
2017-04-30;53;
2017-05-31;122.8;
2017-06-30;null;
2017-07-31;119;
2017-08-31;42.2;
2017-09-30;71.2;
2017-10-31;.8;
2017-11-30;.2;
2017-12-31;1;
2018-01-31;null;
2018-02-28;null;
2018-03-31;45.4;
2018-04-30;78.4;
2018-05-31;88.6;
2018-06-30;16;
2018-07-31;32;
2018-08-31;7.2;
2018-09-30;22.2;
2018-10-31;.4;
2018-11-30;2;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;49;
2019-04-30;20.4;
2019-05-31;25.6;
2019-06-30;60.2;
2019-07-31;139.4;
2019-08-31;108.2;
2019-09-30;32.8;
2019-10-31;4.4;
2019-11-30;8.2;
2019-12-31;.6;
2020-01-31;58.8;
2020-02-29;67.4;
2020-03-31;500.8;
2020-04-30;8.4;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

