Nome: AREIA
Codigo Estacao: A310
Latitude: -6.975451
Longitude: -35.718128
Altitude: 573.45
Situacao: Operante
Data Inicial: 2004-11-15
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;233.4;
2005-06-30;325.4;
2005-07-31;89.8;
2005-08-31;218.8;
2005-09-30;35.6;
2005-10-31;10.8;
2005-11-30;null;
2005-12-31;49.6;
2006-01-31;5.4;
2006-02-28;null;
2006-03-31;99.6;
2006-04-30;null;
2006-05-31;null;
2006-06-30;166.8;
2006-07-31;114.8;
2006-08-31;131.8;
2006-09-30;53.8;
2006-10-31;9.2;
2006-11-30;50.2;
2006-12-31;23.4;
2007-01-31;47.4;
2007-02-28;86.2;
2007-03-31;94.8;
2007-04-30;195.6;
2007-05-31;147.8;
2007-06-30;272.8;
2007-07-31;154.4;
2007-08-31;146.2;
2007-09-30;147.4;
2007-10-31;20.4;
2007-11-30;28.2;
2007-12-31;55;
2008-01-31;105.4;
2008-02-29;4.6;
2008-03-31;279.8;
2008-04-30;142.2;
2008-05-31;179.4;
2008-06-30;197.4;
2008-07-31;206.2;
2008-08-31;219;
2008-09-30;72;
2008-10-31;21.8;
2008-11-30;4.4;
2008-12-31;13;
2009-01-31;47.4;
2009-02-28;157;
2009-03-31;79.4;
2009-04-30;230.2;
2009-05-31;262.4;
2009-06-30;null;
2009-07-31;327.2;
2009-08-31;195.8;
2009-09-30;41.2;
2009-10-31;3.8;
2009-11-30;13.8;
2009-12-31;37.6;
2010-01-31;129.8;
2010-02-28;44.8;
2010-03-31;98.4;
2010-04-30;140.2;
2010-05-31;54.6;
2010-06-30;199.8;
2010-07-31;143.8;
2010-08-31;109.6;
2010-09-30;62.2;
2010-10-31;16.4;
2010-11-30;3.4;
2010-12-31;66.2;
2011-01-31;140.6;
2011-02-28;50.2;
2011-03-31;86.6;
2011-04-30;285.2;
2011-05-31;459;
2011-06-30;188;
2011-07-31;367.6;
2011-08-31;156.8;
2011-09-30;21.8;
2011-10-31;15;
2011-11-30;49.8;
2011-12-31;30;
2012-01-31;179.4;
2012-02-29;149.6;
2012-03-31;34.6;
2012-04-30;33;
2012-05-31;110.4;
2012-06-30;310.2;
2012-07-31;172.2;
2012-08-31;30.8;
2012-09-30;7.8;
2012-10-31;16;
2012-11-30;1;
2012-12-31;6.2;
2013-01-31;43.2;
2013-02-28;62.4;
2013-03-31;52.6;
2013-04-30;196.8;
2013-05-31;114.4;
2013-06-30;228.8;
2013-07-31;null;
2013-08-31;127;
2013-09-30;65;
2013-10-31;40.6;
2013-11-30;50.2;
2013-12-31;66.6;
2014-01-31;35.2;
2014-02-28;154;
2014-03-31;75.4;
2014-04-30;46.8;
2014-05-31;118;
2014-06-30;152.4;
2014-07-31;159;
2014-08-31;92.6;
2014-09-30;208.2;
2014-10-31;80.6;
2014-11-30;41.6;
2014-12-31;36.2;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;165.2;
2015-07-31;371.4;
2015-08-31;68;
2015-09-30;28;
2015-10-31;25.8;
2015-11-30;5;
2015-12-31;89;
2016-01-31;180.4;
2016-02-29;48;
2016-03-31;128.4;
2016-04-30;217.4;
2016-05-31;221.2;
2016-06-30;70;
2016-07-31;38.2;
2016-08-31;25.6;
2016-09-30;29.6;
2016-10-31;18.4;
2016-11-30;2.6;
2016-12-31;165.8;
2017-01-31;27.6;
2017-02-28;40;
2017-03-31;88.8;
2017-04-30;null;
2017-05-31;46;
2017-06-30;105.2;
2017-07-31;20.4;
2017-08-31;7;
2017-09-30;null;
2017-10-31;50.6;
2017-11-30;4.8;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;190;
2018-05-31;106.6;
2018-06-30;103.8;
2018-07-31;83.2;
2018-08-31;18.6;
2018-09-30;20;
2018-10-31;15.2;
2018-11-30;7;
2018-12-31;35.8;
2019-01-31;38.4;
2019-02-28;215.4;
2019-03-31;175;
2019-04-30;132.4;
2019-05-31;104.4;
2019-06-30;173.6;
2019-07-31;279;
2019-08-31;121.6;
2019-09-30;55.4;
2019-10-31;58.8;
2019-11-30;1.2;
2019-12-31;5;
2020-01-31;19.2;
2020-02-29;24.6;
2020-03-31;186;
2020-04-30;148;
2020-05-31;152.2;
2020-06-30;156.6;
2020-07-31;190.4;
2020-08-31;24.8;
2020-09-30;78.8;
2020-10-31;28.2;
2020-11-30;49.2;
2020-12-31;8.6;
2021-01-31;6;
2021-02-28;64;
2021-03-31;106.2;
2021-04-30;164.4;
2021-05-31;161.2;
2021-06-30;49;
2021-07-31;101.2;
2021-08-31;138;
2021-09-30;16.6;
2021-10-31;34;
2021-11-30;4.2;
2021-12-31;109.2;
2022-01-31;null;

