Nome: FLORIANO
Codigo Estacao: A311
Latitude: -6.76138888
Longitude: -43.00333333
Altitude: 126.39
Situacao: Operante
Data Inicial: 2004-11-17
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;6.2;
2005-11-30;null;
2005-12-31;117.8;
2006-01-31;45.8;
2006-02-28;null;
2006-03-31;327.4;
2006-04-30;null;
2006-05-31;null;
2006-06-30;.6;
2006-07-31;.4;
2006-08-31;0;
2006-09-30;34.8;
2006-10-31;141.2;
2006-11-30;56.2;
2006-12-31;26.6;
2007-01-31;.6;
2007-02-28;2;
2007-03-31;.4;
2007-04-30;.8;
2007-05-31;0;
2007-06-30;1.4;
2007-07-31;0;
2007-08-31;0;
2007-09-30;.2;
2007-10-31;11.2;
2007-11-30;73.4;
2007-12-31;40.6;
2008-01-31;153.6;
2008-02-29;193;
2008-03-31;223.6;
2008-04-30;211.6;
2008-05-31;null;
2008-06-30;null;
2008-07-31;0;
2008-08-31;0;
2008-09-30;4.8;
2008-10-31;1;
2008-11-30;86.8;
2008-12-31;100.6;
2009-01-31;null;
2009-02-28;0;
2009-03-31;null;
2009-04-30;259.2;
2009-05-31;278;
2009-06-30;8.4;
2009-07-31;4;
2009-08-31;2;
2009-09-30;.2;
2009-10-31;67.2;
2009-11-30;81.4;
2009-12-31;167.8;
2010-01-31;78;
2010-02-28;139.6;
2010-03-31;197;
2010-04-30;8.6;
2010-05-31;0;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;.8;
2010-11-30;0;
2010-12-31;0;
2011-01-31;null;
2011-02-28;193.8;
2011-03-31;109.6;
2011-04-30;15.8;
2011-05-31;null;
2011-06-30;.2;
2011-07-31;.4;
2011-08-31;0;
2011-09-30;.2;
2011-10-31;0;
2011-11-30;1.6;
2011-12-31;37.4;
2012-01-31;115.6;
2012-02-29;137;
2012-03-31;202.6;
2012-04-30;43;
2012-05-31;5.8;
2012-06-30;4.8;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;.8;
2012-11-30;34.6;
2012-12-31;82.8;
2013-01-31;234.2;
2013-02-28;null;
2013-03-31;null;
2013-04-30;66.6;
2013-05-31;23.4;
2013-06-30;5.8;
2013-07-31;0;
2013-08-31;0;
2013-09-30;1.4;
2013-10-31;17.4;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;75.8;
2014-06-30;2.2;
2014-07-31;0;
2014-08-31;0;
2014-09-30;13.8;
2014-10-31;62.2;
2014-11-30;216.4;
2014-12-31;144.6;
2015-01-31;92.2;
2015-02-28;207.6;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;1.2;
2015-08-31;.2;
2015-09-30;0;
2015-10-31;4;
2015-11-30;36.2;
2015-12-31;12.6;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;4.6;
2016-07-31;0;
2016-08-31;0;
2016-09-30;50.8;
2016-10-31;10.6;
2016-11-30;32.6;
2016-12-31;143.4;
2017-01-31;57.4;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;54;
2017-06-30;25.4;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;154;
2017-11-30;90.6;
2017-12-31;153.8;
2018-01-31;113.2;
2018-02-28;427.4;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;.4;
2018-09-30;33.2;
2018-10-31;63.4;
2018-11-30;72;
2018-12-31;168.2;
2019-01-31;86.6;
2019-02-28;250.6;
2019-03-31;198.2;
2019-04-30;181.4;
2019-05-31;null;
2019-06-30;1.6;
2019-07-31;2.4;
2019-08-31;.2;
2019-09-30;2.6;
2019-10-31;5.6;
2019-11-30;5.8;
2019-12-31;12;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;91;
2021-11-30;212.4;
2021-12-31;285.4;
2022-01-31;null;

