Nome: TERESINA
Codigo Estacao: A312
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.23
Situacao: Operante
Data Inicial: 2004-11-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;0;
2006-01-31;0;
2006-02-28;null;
2006-03-31;0;
2006-04-30;null;
2006-05-31;null;
2006-06-30;0;
2006-07-31;0;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;312.6;
2008-04-30;500.4;
2008-05-31;164.2;
2008-06-30;7.6;
2008-07-31;1.8;
2008-08-31;3.4;
2008-09-30;13.6;
2008-10-31;9.6;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;196.8;
2009-03-31;356.4;
2009-04-30;541.4;
2009-05-31;407.8;
2009-06-30;21.8;
2009-07-31;47.4;
2009-08-31;3;
2009-09-30;0;
2009-10-31;13.4;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;105.2;
2010-04-30;240.8;
2010-05-31;114.2;
2010-06-30;74;
2010-07-31;2;
2010-08-31;0;
2010-09-30;2.2;
2010-10-31;29;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;206.2;
2011-06-30;4.6;
2011-07-31;19.4;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;305;
2012-03-31;null;
2012-04-30;null;
2012-05-31;4.2;
2012-06-30;null;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;0;
2012-11-30;2.6;
2012-12-31;78.2;
2013-01-31;null;
2013-02-28;null;
2013-03-31;128.4;
2013-04-30;298.8;
2013-05-31;66.4;
2013-06-30;19.4;
2013-07-31;26.8;
2013-08-31;1.2;
2013-09-30;22;
2013-10-31;15;
2013-11-30;34.6;
2013-12-31;null;
2014-01-31;75.8;
2014-02-28;null;
2014-03-31;279.6;
2014-04-30;214.8;
2014-05-31;null;
2014-06-30;3.4;
2014-07-31;null;
2014-08-31;0;
2014-09-30;7.6;
2014-10-31;null;
2014-11-30;null;
2014-12-31;47;
2015-01-31;16.8;
2015-02-28;113;
2015-03-31;64.4;
2015-04-30;225;
2015-05-31;75.2;
2015-06-30;20.2;
2015-07-31;4;
2015-08-31;3.4;
2015-09-30;7.8;
2015-10-31;1.4;
2015-11-30;0;
2015-12-31;4.2;
2016-01-31;271;
2016-02-29;91.4;
2016-03-31;219.4;
2016-04-30;89.4;
2016-05-31;27.6;
2016-06-30;21.2;
2016-07-31;0;
2016-08-31;0;
2016-09-30;2.4;
2016-10-31;12;
2016-11-30;6.8;
2016-12-31;38.8;
2017-01-31;67.6;
2017-02-28;326.4;
2017-03-31;293.6;
2017-04-30;119.6;
2017-05-31;144.8;
2017-06-30;9;
2017-07-31;26.6;
2017-08-31;42.8;
2017-09-30;0;
2017-10-31;.6;
2017-11-30;15.4;
2017-12-31;93.4;
2018-01-31;181.2;
2018-02-28;268;
2018-03-31;319.2;
2018-04-30;299;
2018-05-31;66.4;
2018-06-30;13.6;
2018-07-31;6.6;
2018-08-31;2.4;
2018-09-30;18.4;
2018-10-31;5.4;
2018-11-30;10.8;
2018-12-31;367.2;
2019-01-31;162.2;
2019-02-28;263.6;
2019-03-31;428.4;
2019-04-30;361;
2019-05-31;null;
2019-06-30;null;
2019-07-31;8.4;
2019-08-31;1.4;
2019-09-30;4;
2019-10-31;10;
2019-11-30;9.4;
2019-12-31;25.6;
2020-01-31;191.2;
2020-02-29;353.8;
2020-03-31;371;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;382.8;
2021-03-31;314.2;
2021-04-30;170;
2021-05-31;110.2;
2021-06-30;24.4;
2021-07-31;74.6;
2021-08-31;null;
2021-09-30;28.4;
2021-10-31;57.8;
2021-11-30;99;
2021-12-31;null;
2022-01-31;null;

