Nome: GUARAMIRANGA
Codigo Estacao: A314
Latitude: -4.26138888
Longitude: -38.9311111
Altitude: 865.53
Situacao: Pane
Data Inicial: 2007-05-25
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;165;
2007-07-31;51.6;
2007-08-31;11;
2007-09-30;7.8;
2007-10-31;7.8;
2007-11-30;22.8;
2007-12-31;84;
2008-01-31;201.8;
2008-02-29;30.8;
2008-03-31;263;
2008-04-30;418;
2008-05-31;207.2;
2008-06-30;109.2;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;21;
2008-12-31;51.2;
2009-01-31;130.8;
2009-02-28;197.2;
2009-03-31;377;
2009-04-30;428.2;
2009-05-31;464;
2009-06-30;296;
2009-07-31;267.8;
2009-08-31;63.6;
2009-09-30;20;
2009-10-31;13.8;
2009-11-30;41.4;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;130.4;
2010-04-30;344.2;
2010-05-31;75.2;
2010-06-30;77.2;
2010-07-31;10.4;
2010-08-31;4;
2010-09-30;0;
2010-10-31;12.4;
2010-11-30;20.2;
2010-12-31;189.2;
2011-01-31;null;
2011-02-28;229.4;
2011-03-31;248.2;
2011-04-30;228.8;
2011-05-31;258.8;
2011-06-30;99.6;
2011-07-31;176.2;
2011-08-31;74.2;
2011-09-30;5;
2011-10-31;97;
2011-11-30;60.2;
2011-12-31;19;
2012-01-31;93.8;
2012-02-29;241.4;
2012-03-31;165.4;
2012-04-30;99.8;
2012-05-31;58.4;
2012-06-30;null;
2012-07-31;null;
2012-08-31;2;
2012-09-30;2.8;
2012-10-31;24;
2012-11-30;16.8;
2012-12-31;49.6;
2013-01-31;92.4;
2013-02-28;140.6;
2013-03-31;119.4;
2013-04-30;188.2;
2013-05-31;286;
2013-06-30;214;
2013-07-31;144.8;
2013-08-31;22.8;
2013-09-30;22.4;
2013-10-31;23.6;
2013-11-30;61;
2013-12-31;17;
2014-01-31;153.8;
2014-02-28;122.4;
2014-03-31;326.6;
2014-04-30;201.8;
2014-05-31;211.6;
2014-06-30;96.8;
2014-07-31;22.8;
2014-08-31;3.4;
2014-09-30;64.8;
2014-10-31;38.6;
2014-11-30;64.8;
2014-12-31;39.2;
2015-01-31;133;
2015-02-28;176.8;
2015-03-31;337.8;
2015-04-30;208.4;
2015-05-31;105.4;
2015-06-30;152.4;
2015-07-31;334;
2015-08-31;14.4;
2015-09-30;42.4;
2015-10-31;9.6;
2015-11-30;6.2;
2015-12-31;62.4;
2016-01-31;null;
2016-02-29;null;
2016-03-31;223.6;
2016-04-30;244.8;
2016-05-31;141.8;
2016-06-30;110.4;
2016-07-31;18;
2016-08-31;14.2;
2016-09-30;12.4;
2016-10-31;4.8;
2016-11-30;3.4;
2016-12-31;65.2;
2017-01-31;122.4;
2017-02-28;null;
2017-03-31;null;
2017-04-30;246;
2017-05-31;274.4;
2017-06-30;144;
2017-07-31;166.8;
2017-08-31;35.6;
2017-09-30;6.2;
2017-10-31;60.4;
2017-11-30;33.2;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;324;
2018-04-30;360.2;
2018-05-31;186.6;
2018-06-30;50;
2018-07-31;64.6;
2018-08-31;60.2;
2018-09-30;8.2;
2018-10-31;22.4;
2018-11-30;34.8;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;137.6;
2019-07-31;125.2;
2019-08-31;36;
2019-09-30;28;
2019-10-31;20.4;
2019-11-30;16.4;
2019-12-31;46;
2020-01-31;194;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

