Nome: BARBALHA
Codigo Estacao: A315
Latitude: -7.30083333
Longitude: -39.2711111
Altitude: 409.41
Situacao: Pane
Data Inicial: 2007-05-30
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;2;
2007-07-31;0;
2007-08-31;.2;
2007-09-30;.6;
2007-10-31;.4;
2007-11-30;24.8;
2007-12-31;98.8;
2008-01-31;218.4;
2008-02-29;273;
2008-03-31;542.4;
2008-04-30;126;
2008-05-31;98.4;
2008-06-30;1.6;
2008-07-31;10.4;
2008-08-31;8.2;
2008-09-30;2.4;
2008-10-31;0;
2008-11-30;.4;
2008-12-31;120.2;
2009-01-31;59;
2009-02-28;92.6;
2009-03-31;138.2;
2009-04-30;376.4;
2009-05-31;258.2;
2009-06-30;1.2;
2009-07-31;48.2;
2009-08-31;.2;
2009-09-30;.6;
2009-10-31;18.2;
2009-11-30;43.6;
2009-12-31;122.8;
2010-01-31;221;
2010-02-28;104.2;
2010-03-31;164.2;
2010-04-30;269.2;
2010-05-31;17.8;
2010-06-30;37.4;
2010-07-31;7.8;
2010-08-31;0;
2010-09-30;null;
2010-10-31;25.6;
2010-11-30;9.6;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;79.2;
2011-05-31;72;
2011-06-30;4.2;
2011-07-31;6.2;
2011-08-31;10.6;
2011-09-30;0;
2011-10-31;186.4;
2011-11-30;70.4;
2011-12-31;71.6;
2012-01-31;35.2;
2012-02-29;133.4;
2012-03-31;106.6;
2012-04-30;43.4;
2012-05-31;5.6;
2012-06-30;18.2;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;6;
2012-11-30;23.4;
2012-12-31;26;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;10.6;
2013-08-31;0;
2013-09-30;0;
2013-10-31;16.6;
2013-11-30;39.2;
2013-12-31;56.8;
2014-01-31;57.2;
2014-02-28;152;
2014-03-31;394.4;
2014-04-30;null;
2014-05-31;null;
2014-06-30;0;
2014-07-31;null;
2014-08-31;0;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;254;
2015-04-30;111.6;
2015-05-31;168;
2015-06-30;24.4;
2015-07-31;26.4;
2015-08-31;.4;
2015-09-30;0;
2015-10-31;4;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;10.2;
2016-07-31;0;
2016-08-31;0;
2016-09-30;0;
2016-10-31;0;
2016-11-30;0;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;23;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;92.2;
2017-12-31;53;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;58.6;
2018-06-30;2.8;
2018-07-31;0;
2018-08-31;0;
2018-09-30;0;
2018-10-31;null;
2018-11-30;52.2;
2018-12-31;191.4;
2019-01-31;97.6;
2019-02-28;80.4;
2019-03-31;60.6;
2019-04-30;72.6;
2019-05-31;null;
2019-06-30;null;
2019-07-31;2.2;
2019-08-31;0;
2019-09-30;0;
2019-10-31;20.8;
2019-11-30;39.2;
2019-12-31;74.4;
2020-01-31;138;
2020-02-29;null;
2020-03-31;336.6;
2020-04-30;153;
2020-05-31;77;
2020-06-30;21;
2020-07-31;0;
2020-08-31;0;
2020-09-30;4.2;
2020-10-31;8.4;
2020-11-30;25.8;
2020-12-31;63.6;
2021-01-31;99.8;
2021-02-28;203;
2021-03-31;203;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

