Nome: MOSSORO
Codigo Estacao: A318
Latitude: -4.90416666
Longitude: -37.36694443
Altitude: 29.44
Situacao: Pane
Data Inicial: 2007-05-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;26;
2007-07-31;2.8;
2007-08-31;1.4;
2007-09-30;2.8;
2007-10-31;0;
2007-11-30;0;
2007-12-31;6.2;
2008-01-31;15.8;
2008-02-29;12.4;
2008-03-31;354.8;
2008-04-30;300.4;
2008-05-31;183.2;
2008-06-30;103.4;
2008-07-31;22.2;
2008-08-31;25.4;
2008-09-30;0;
2008-10-31;.2;
2008-11-30;5;
2008-12-31;1;
2009-01-31;null;
2009-02-28;269.8;
2009-03-31;242.4;
2009-04-30;487;
2009-05-31;373.4;
2009-06-30;80.8;
2009-07-31;66.8;
2009-08-31;24.8;
2009-09-30;.6;
2009-10-31;1;
2009-11-30;6;
2009-12-31;1.8;
2010-01-31;20;
2010-02-28;10.4;
2010-03-31;12.4;
2010-04-30;196.4;
2010-05-31;46;
2010-06-30;5;
2010-07-31;38.8;
2010-08-31;.2;
2010-09-30;.2;
2010-10-31;27.8;
2010-11-30;.4;
2010-12-31;35.4;
2011-01-31;null;
2011-02-28;101;
2011-03-31;119;
2011-04-30;302.4;
2011-05-31;167.2;
2011-06-30;14.8;
2011-07-31;null;
2011-08-31;null;
2011-09-30;.2;
2011-10-31;10.4;
2011-11-30;.8;
2011-12-31;48.2;
2012-01-31;5.8;
2012-02-29;58.6;
2012-03-31;39.6;
2012-04-30;28.4;
2012-05-31;3.8;
2012-06-30;.8;
2012-07-31;27.2;
2012-08-31;26.8;
2012-09-30;12.2;
2012-10-31;23.2;
2012-11-30;.2;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;20.8;
2013-04-30;232.2;
2013-05-31;35.2;
2013-06-30;72.4;
2013-07-31;68.4;
2013-08-31;0;
2013-09-30;0;
2013-10-31;0;
2013-11-30;.4;
2013-12-31;12;
2014-01-31;11;
2014-02-28;56;
2014-03-31;42.4;
2014-04-30;42.6;
2014-05-31;64.8;
2014-06-30;12.6;
2014-07-31;2.8;
2014-08-31;0;
2014-09-30;3.4;
2014-10-31;9;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;86.2;
2015-04-30;62;
2015-05-31;3.8;
2015-06-30;18.2;
2015-07-31;17.8;
2015-08-31;0;
2015-09-30;3.2;
2015-10-31;.4;
2015-11-30;0;
2015-12-31;13.2;
2016-01-31;202.4;
2016-02-29;24;
2016-03-31;16.2;
2016-04-30;55.6;
2016-05-31;1.4;
2016-06-30;null;
2016-07-31;null;
2016-08-31;0;
2016-09-30;0;
2016-10-31;0;
2016-11-30;null;
2016-12-31;null;
2017-01-31;6.4;
2017-02-28;293.2;
2017-03-31;74.6;
2017-04-30;75.2;
2017-05-31;43;
2017-06-30;6.4;
2017-07-31;63.6;
2017-08-31;.8;
2017-09-30;.6;
2017-10-31;0;
2017-11-30;.4;
2017-12-31;.4;
2018-01-31;null;
2018-02-28;172.4;
2018-03-31;59;
2018-04-30;202.4;
2018-05-31;58.6;
2018-06-30;.8;
2018-07-31;0;
2018-08-31;0;
2018-09-30;0;
2018-10-31;0;
2018-11-30;.4;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;293;
2019-04-30;211.6;
2019-05-31;49.8;
2019-06-30;22.2;
2019-07-31;10.2;
2019-08-31;4.2;
2019-09-30;0;
2019-10-31;0;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;268.4;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

