Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.16527777
Longitude: -34.81555555
Altitude: 33.5
Situacao: Operante
Data Inicial: 2007-07-20
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-07-31;null;
2007-08-31;264;
2007-09-30;77;
2007-10-31;23.6;
2007-11-30;null;
2007-12-31;11.8;
2008-01-31;94.2;
2008-02-29;20.6;
2008-03-31;252.4;
2008-04-30;310.8;
2008-05-31;341.8;
2008-06-30;374.6;
2008-07-31;253;
2008-08-31;300;
2008-09-30;97;
2008-10-31;45.8;
2008-11-30;7.6;
2008-12-31;44.6;
2009-01-31;86.8;
2009-02-28;244.8;
2009-03-31;147.2;
2009-04-30;426.8;
2009-05-31;527.2;
2009-06-30;285.8;
2009-07-31;438.6;
2009-08-31;161.4;
2009-09-30;49.6;
2009-10-31;5.4;
2009-11-30;58;
2009-12-31;37.2;
2010-01-31;109.6;
2010-02-28;52;
2010-03-31;40;
2010-04-30;167.4;
2010-05-31;85.2;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;43;
2010-11-30;5.4;
2010-12-31;49.8;
2011-01-31;180.8;
2011-02-28;122;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;27;
2011-10-31;21.4;
2011-11-30;40.4;
2011-12-31;29.2;
2012-01-31;203.4;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;40.4;
2013-02-28;42.8;
2013-03-31;24.2;
2013-04-30;272.4;
2013-05-31;173.8;
2013-06-30;null;
2013-07-31;null;
2013-08-31;259.6;
2013-09-30;302.4;
2013-10-31;38.4;
2013-11-30;35;
2013-12-31;17.6;
2014-01-31;77.2;
2014-02-28;161.4;
2014-03-31;160.8;
2014-04-30;123;
2014-05-31;308;
2014-06-30;288.2;
2014-07-31;139.6;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;19.6;
2014-12-31;null;
2015-01-31;0;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;58.4;
2015-09-30;40;
2015-10-31;9.4;
2015-11-30;.8;
2015-12-31;139.4;
2016-01-31;83.2;
2016-02-29;111;
2016-03-31;null;
2016-04-30;277.6;
2016-05-31;302.4;
2016-06-30;null;
2016-07-31;52;
2016-08-31;null;
2016-09-30;null;
2016-10-31;15.8;
2016-11-30;null;
2016-12-31;50.8;
2017-01-31;28;
2017-02-28;56.6;
2017-03-31;136.2;
2017-04-30;null;
2017-05-31;530.6;
2017-06-30;439.6;
2017-07-31;487.4;
2017-08-31;86.6;
2017-09-30;106.8;
2017-10-31;46;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;289.6;
2018-06-30;101;
2018-07-31;197.8;
2018-08-31;75;
2018-09-30;65.2;
2018-10-31;4.6;
2018-11-30;15.8;
2018-12-31;48.4;
2019-01-31;56.2;
2019-02-28;234.4;
2019-03-31;248.8;
2019-04-30;195.6;
2019-05-31;184;
2019-06-30;728.4;
2019-07-31;363.2;
2019-08-31;79.2;
2019-09-30;70.2;
2019-10-31;29.4;
2019-11-30;2.4;
2019-12-31;19.4;
2020-01-31;36.4;
2020-02-29;123.8;
2020-03-31;279.6;
2020-04-30;208.6;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;48.2;
2022-01-31;null;

