Nome: PATOS
Codigo Estacao: A321
Latitude: -7.07972221
Longitude: -37.27277777
Altitude: 263.66
Situacao: Operante
Data Inicial: 2007-07-20
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-07-31;null;
2007-08-31;1.2;
2007-09-30;1.8;
2007-10-31;0;
2007-11-30;null;
2007-12-31;51.4;
2008-01-31;21.2;
2008-02-29;137.2;
2008-03-31;537.8;
2008-04-30;120.4;
2008-05-31;168.2;
2008-06-30;20.6;
2008-07-31;20.4;
2008-08-31;1.6;
2008-09-30;5;
2008-10-31;0;
2008-11-30;3.8;
2008-12-31;83.2;
2009-01-31;95.8;
2009-02-28;177.4;
2009-03-31;304.4;
2009-04-30;620;
2009-05-31;272.8;
2009-06-30;34.6;
2009-07-31;14.2;
2009-08-31;30.6;
2009-09-30;0;
2009-10-31;15.2;
2009-11-30;10.6;
2009-12-31;15;
2010-01-31;86.4;
2010-02-28;44.4;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;1.2;
2010-08-31;.4;
2010-09-30;0;
2010-10-31;44.4;
2010-11-30;1.2;
2010-12-31;88.2;
2011-01-31;269.6;
2011-02-28;null;
2011-03-31;116.8;
2011-04-30;121.4;
2011-05-31;141;
2011-06-30;8;
2011-07-31;31.6;
2011-08-31;3.6;
2011-09-30;0;
2011-10-31;19.2;
2011-11-30;26.8;
2011-12-31;0;
2012-01-31;21.2;
2012-02-29;103.2;
2012-03-31;17.2;
2012-04-30;3.2;
2012-05-31;4.8;
2012-06-30;18.4;
2012-07-31;1.8;
2012-08-31;0;
2012-09-30;0;
2012-10-31;0;
2012-11-30;0;
2012-12-31;4.8;
2013-01-31;108;
2013-02-28;2.4;
2013-03-31;30;
2013-04-30;null;
2013-05-31;null;
2013-06-30;87.8;
2013-07-31;11.6;
2013-08-31;.2;
2013-09-30;0;
2013-10-31;0;
2013-11-30;26.2;
2013-12-31;121;
2014-01-31;16.8;
2014-02-28;55.8;
2014-03-31;428.4;
2014-04-30;123;
2014-05-31;108.6;
2014-06-30;9.4;
2014-07-31;null;
2014-08-31;6.4;
2014-09-30;1.6;
2014-10-31;13;
2014-11-30;19.8;
2014-12-31;60.6;
2015-01-31;24.8;
2015-02-28;178.6;
2015-03-31;128.2;
2015-04-30;139.8;
2015-05-31;1;
2015-06-30;6.2;
2015-07-31;12;
2015-08-31;.4;
2015-09-30;0;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;50.6;
2016-05-31;22.2;
2016-06-30;13.6;
2016-07-31;0;
2016-08-31;.2;
2016-09-30;0;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;41.8;
2017-02-28;136.2;
2017-03-31;134.6;
2017-04-30;119.2;
2017-05-31;9.2;
2017-06-30;20.8;
2017-07-31;23.4;
2017-08-31;0;
2017-09-30;0;
2017-10-31;0;
2017-11-30;2.6;
2017-12-31;2.4;
2018-01-31;59.8;
2018-02-28;126.6;
2018-03-31;85.8;
2018-04-30;187.4;
2018-05-31;26.6;
2018-06-30;1.2;
2018-07-31;0;
2018-08-31;0;
2018-09-30;0;
2018-10-31;4.4;
2018-11-30;null;
2018-12-31;39.4;
2019-01-31;75.2;
2019-02-28;234.4;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;2.4;
2019-07-31;37.4;
2019-08-31;1.4;
2019-09-30;0;
2019-10-31;0;
2019-11-30;1.4;
2019-12-31;12;
2020-01-31;64.8;
2020-02-29;139.6;
2020-03-31;271.8;
2020-04-30;258.8;
2020-05-31;74.8;
2020-06-30;4.4;
2020-07-31;2;
2020-08-31;0;
2020-09-30;.2;
2020-10-31;1;
2020-11-30;66;
2020-12-31;1.8;
2021-01-31;6.6;
2021-02-28;20.8;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

