Nome: GARANHUNS
Codigo Estacao: A322
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Pane
Data Inicial: 2007-07-07
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;8.6;
2007-11-30;null;
2007-12-31;9;
2008-01-31;3.2;
2008-02-29;26.8;
2008-03-31;226;
2008-04-30;73.2;
2008-05-31;184.2;
2008-06-30;101;
2008-07-31;138.6;
2008-08-31;91.6;
2008-09-30;29.4;
2008-10-31;24.2;
2008-11-30;0;
2008-12-31;42.6;
2009-01-31;15.4;
2009-02-28;46.8;
2009-03-31;16;
2009-04-30;143.4;
2009-05-31;145;
2009-06-30;121.4;
2009-07-31;104.6;
2009-08-31;134.6;
2009-09-30;13.8;
2009-10-31;27.4;
2009-11-30;15.8;
2009-12-31;45.4;
2010-01-31;102;
2010-02-28;46.2;
2010-03-31;105.2;
2010-04-30;183.6;
2010-05-31;38.8;
2010-06-30;374.4;
2010-07-31;118.8;
2010-08-31;87;
2010-09-30;95.8;
2010-10-31;73.6;
2010-11-30;1.4;
2010-12-31;10;
2011-01-31;56.2;
2011-02-28;62.2;
2011-03-31;129.2;
2011-04-30;98.4;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;14.2;
2011-11-30;27;
2011-12-31;0;
2012-01-31;18.8;
2012-02-29;26.4;
2012-03-31;4;
2012-04-30;32.6;
2012-05-31;59;
2012-06-30;65.2;
2012-07-31;98.6;
2012-08-31;100.2;
2012-09-30;15.8;
2012-10-31;12.2;
2012-11-30;1;
2012-12-31;5.4;
2013-01-31;14.2;
2013-02-28;4.2;
2013-03-31;11.8;
2013-04-30;97;
2013-05-31;63.8;
2013-06-30;105.6;
2013-07-31;155.2;
2013-08-31;81.8;
2013-09-30;24.2;
2013-10-31;56.6;
2013-11-30;25.6;
2013-12-31;null;
2014-01-31;12.4;
2014-02-28;19.8;
2014-03-31;null;
2014-04-30;134;
2014-05-31;143.6;
2014-06-30;96.4;
2014-07-31;null;
2014-08-31;109.8;
2014-09-30;63.2;
2014-10-31;134.4;
2014-11-30;16.6;
2014-12-31;17.6;
2015-01-31;4.6;
2015-02-28;66;
2015-03-31;17;
2015-04-30;6.2;
2015-05-31;42;
2015-06-30;null;
2015-07-31;null;
2015-08-31;73.6;
2015-09-30;11.2;
2015-10-31;10.6;
2015-11-30;1.8;
2015-12-31;50.8;
2016-01-31;81.4;
2016-02-29;48.8;
2016-03-31;33.8;
2016-04-30;57.6;
2016-05-31;73.6;
2016-06-30;52.6;
2016-07-31;64.2;
2016-08-31;38.6;
2016-09-30;15;
2016-10-31;10.2;
2016-11-30;2.4;
2016-12-31;2.8;
2017-01-31;5;
2017-02-28;1.8;
2017-03-31;2.4;
2017-04-30;46.6;
2017-05-31;282.2;
2017-06-30;171.2;
2017-07-31;247.6;
2017-08-31;121.2;
2017-09-30;124.8;
2017-10-31;16.6;
2017-11-30;3.6;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;125;
2018-05-31;133.4;
2018-06-30;57.4;
2018-07-31;60.8;
2018-08-31;37.8;
2018-09-30;32.8;
2018-10-31;5.4;
2018-11-30;6.2;
2018-12-31;40.4;
2019-01-31;34.2;
2019-02-28;10.8;
2019-03-31;80.8;
2019-04-30;38;
2019-05-31;47.6;
2019-06-30;119.4;
2019-07-31;158.8;
2019-08-31;136.4;
2019-09-30;30.8;
2019-10-31;7;
2019-11-30;.4;
2019-12-31;6.6;
2020-01-31;30.8;
2020-02-29;60;
2020-03-31;270;
2020-04-30;130;
2020-05-31;123.2;
2020-06-30;178.6;
2020-07-31;113.2;
2020-08-31;81.6;
2020-09-30;48.2;
2020-10-31;6.4;
2020-11-30;59.2;
2020-12-31;11;
2021-01-31;30.4;
2021-02-28;2.2;
2021-03-31;107.6;
2021-04-30;213.2;
2021-05-31;157.8;
2021-06-30;81.6;
2021-07-31;105.8;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

