Nome: BOM JESUS DO PIAUI
Codigo Estacao: A326
Latitude: -9.08333333
Longitude: -44.32638888
Altitude: 296
Situacao: Operante
Data Inicial: 2007-07-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-07-31;null;
2007-08-31;0;
2007-09-30;0;
2007-10-31;31.4;
2007-11-30;null;
2007-12-31;174.8;
2008-01-31;116.4;
2008-02-29;79.6;
2008-03-31;323.4;
2008-04-30;81.6;
2008-05-31;24.4;
2008-06-30;0;
2008-07-31;.4;
2008-08-31;0;
2008-09-30;7.6;
2008-10-31;8.6;
2008-11-30;60.2;
2008-12-31;214;
2009-01-31;155.2;
2009-02-28;112.4;
2009-03-31;137.8;
2009-04-30;142.2;
2009-05-31;86.2;
2009-06-30;.2;
2009-07-31;0;
2009-08-31;0;
2009-09-30;0;
2009-10-31;114;
2009-11-30;22;
2009-12-31;103.4;
2010-01-31;144.6;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;4.2;
2010-06-30;0;
2010-07-31;0;
2010-08-31;2;
2010-09-30;.2;
2010-10-31;214.2;
2010-11-30;20.2;
2010-12-31;null;
2011-01-31;155.4;
2011-02-28;227;
2011-03-31;222.8;
2011-04-30;41.8;
2011-05-31;27.4;
2011-06-30;0;
2011-07-31;.8;
2011-08-31;1.6;
2011-09-30;0;
2011-10-31;175.2;
2011-11-30;127.4;
2011-12-31;77.4;
2012-01-31;112.6;
2012-02-29;76.4;
2012-03-31;93.6;
2012-04-30;7.4;
2012-05-31;1.2;
2012-06-30;.8;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;5.2;
2012-11-30;170;
2012-12-31;41.8;
2013-01-31;28.8;
2013-02-28;.2;
2013-03-31;211.8;
2013-04-30;72.6;
2013-05-31;42.4;
2013-06-30;0;
2013-07-31;1;
2013-08-31;0;
2013-09-30;0;
2013-10-31;24;
2013-11-30;49.8;
2013-12-31;209.2;
2014-01-31;33.8;
2014-02-28;140.2;
2014-03-31;156.6;
2014-04-30;84;
2014-05-31;4;
2014-06-30;0;
2014-07-31;0;
2014-08-31;0;
2014-09-30;2.8;
2014-10-31;41.2;
2014-11-30;80.6;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;.2;
2015-08-31;.6;
2015-09-30;0;
2015-10-31;25.8;
2015-11-30;81.6;
2015-12-31;16.8;
2016-01-31;345.8;
2016-02-29;84.4;
2016-03-31;89.8;
2016-04-30;54.2;
2016-05-31;16;
2016-06-30;2.4;
2016-07-31;0;
2016-08-31;0;
2016-09-30;null;
2016-10-31;null;
2016-11-30;21.2;
2016-12-31;46.8;
2017-01-31;null;
2017-02-28;null;
2017-03-31;112.6;
2017-04-30;57.2;
2017-05-31;23.2;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;.4;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;76.2;
2018-05-31;3.2;
2018-06-30;0;
2018-07-31;0;
2018-08-31;5.2;
2018-09-30;1.2;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;53.6;
2019-05-31;116.8;
2019-06-30;.4;
2019-07-31;.8;
2019-08-31;0;
2019-09-30;0;
2019-10-31;0;
2019-11-30;null;
2019-12-31;0;
2020-01-31;58.8;
2020-02-29;171.6;
2020-03-31;150.8;
2020-04-30;112.2;
2020-05-31;null;
2020-06-30;.4;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;85.6;
2021-12-31;181;
2022-01-31;null;

