Nome: PALMEIRA DOS INDIOS
Codigo Estacao: A327
Latitude: -9.42027777
Longitude: -36.62027777
Altitude: 278.01
Situacao: Operante
Data Inicial: 2007-07-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-07-31;null;
2007-08-31;140.6;
2007-09-30;49;
2007-10-31;22.4;
2007-11-30;null;
2007-12-31;13.6;
2008-01-31;4.6;
2008-02-29;37.8;
2008-03-31;179.4;
2008-04-30;98;
2008-05-31;355.6;
2008-06-30;105.6;
2008-07-31;175.4;
2008-08-31;100.4;
2008-09-30;36.6;
2008-10-31;26.2;
2008-11-30;0;
2008-12-31;12;
2009-01-31;3.6;
2009-02-28;70.8;
2009-03-31;49.8;
2009-04-30;120.6;
2009-05-31;323.4;
2009-06-30;189.6;
2009-07-31;113.6;
2009-08-31;138.8;
2009-09-30;18.6;
2009-10-31;14.2;
2009-11-30;0;
2009-12-31;36.6;
2010-01-31;77.6;
2010-02-28;36.6;
2010-03-31;93.2;
2010-04-30;288.6;
2010-05-31;31.6;
2010-06-30;343;
2010-07-31;171;
2010-08-31;73.2;
2010-09-30;78.6;
2010-10-31;71.6;
2010-11-30;2;
2010-12-31;35.8;
2011-01-31;null;
2011-02-28;null;
2011-03-31;1;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;76.6;
2011-09-30;83.4;
2011-10-31;30.8;
2011-11-30;64.2;
2011-12-31;0;
2012-01-31;5.6;
2012-02-29;72.2;
2012-03-31;4.2;
2012-04-30;22.2;
2012-05-31;51.2;
2012-06-30;49.2;
2012-07-31;100;
2012-08-31;100.2;
2012-09-30;15.4;
2012-10-31;31.2;
2012-11-30;1.2;
2012-12-31;4.8;
2013-01-31;8.6;
2013-02-28;5.4;
2013-03-31;2;
2013-04-30;128.6;
2013-05-31;122.4;
2013-06-30;null;
2013-07-31;null;
2013-08-31;102.8;
2013-09-30;22.6;
2013-10-31;62;
2013-11-30;5.2;
2013-12-31;62.4;
2014-01-31;9.6;
2014-02-28;35.4;
2014-03-31;35.8;
2014-04-30;81.8;
2014-05-31;154.6;
2014-06-30;82.2;
2014-07-31;77.6;
2014-08-31;64.8;
2014-09-30;63.6;
2014-10-31;132.6;
2014-11-30;13.6;
2014-12-31;12.4;
2015-01-31;4.4;
2015-02-28;20.8;
2015-03-31;13;
2015-04-30;49.8;
2015-05-31;61.6;
2015-06-30;null;
2015-07-31;null;
2015-08-31;28.4;
2015-09-30;12.6;
2015-10-31;8.4;
2015-11-30;1.4;
2015-12-31;14.6;
2016-01-31;61;
2016-02-29;6.4;
2016-03-31;22;
2016-04-30;43.2;
2016-05-31;57.2;
2016-06-30;38.8;
2016-07-31;37.6;
2016-08-31;11.2;
2016-09-30;null;
2016-10-31;9.8;
2016-11-30;12;
2016-12-31;3.8;
2017-01-31;2;
2017-02-28;2.4;
2017-03-31;2.8;
2017-04-30;96.2;
2017-05-31;244.2;
2017-06-30;89.8;
2017-07-31;33.4;
2017-08-31;32.2;
2017-09-30;40.6;
2017-10-31;29.4;
2017-11-30;.2;
2017-12-31;74.6;
2018-01-31;23.4;
2018-02-28;59;
2018-03-31;12.4;
2018-04-30;67.8;
2018-05-31;56.8;
2018-06-30;33.6;
2018-07-31;17.6;
2018-08-31;8;
2018-09-30;32.2;
2018-10-31;0;
2018-11-30;5.6;
2018-12-31;49.6;
2019-01-31;28.8;
2019-02-28;9.4;
2019-03-31;69.6;
2019-04-30;56;
2019-05-31;18;
2019-06-30;43;
2019-07-31;1.6;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;7;
2020-01-31;26.8;
2020-02-29;43.8;
2020-03-31;116.2;
2020-04-30;null;
2020-05-31;null;
2020-06-30;14.2;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;4;
2020-12-31;1;
2021-01-31;5.6;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

