Nome: CABROBO
Codigo Estacao: A329
Latitude: -8.504
Longitude: -39.31528
Altitude: 342.74
Situacao: Operante
Data Inicial: 2007-09-03
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-09-30;null;
2007-10-31;0;
2007-11-30;null;
2007-12-31;25.8;
2008-01-31;47.6;
2008-02-29;164.8;
2008-03-31;203.6;
2008-04-30;216.2;
2008-05-31;13.6;
2008-06-30;3.6;
2008-07-31;12.2;
2008-08-31;4;
2008-09-30;.4;
2008-10-31;.6;
2008-11-30;0;
2008-12-31;20.8;
2009-01-31;133.8;
2009-02-28;82;
2009-03-31;103.4;
2009-04-30;252.2;
2009-05-31;64.6;
2009-06-30;26.8;
2009-07-31;4.6;
2009-08-31;9.8;
2009-09-30;0;
2009-10-31;29.8;
2009-11-30;7.8;
2009-12-31;31.8;
2010-01-31;31.2;
2010-02-28;61.8;
2010-03-31;48.6;
2010-04-30;108.8;
2010-05-31;17;
2010-06-30;17.8;
2010-07-31;16;
2010-08-31;9.2;
2010-09-30;4.6;
2010-10-31;102.4;
2010-11-30;.4;
2010-12-31;84;
2011-01-31;69.4;
2011-02-28;145.8;
2011-03-31;90.8;
2011-04-30;25.6;
2011-05-31;107;
2011-06-30;7.8;
2011-07-31;22.2;
2011-08-31;6;
2011-09-30;5.6;
2011-10-31;8.8;
2011-11-30;24.6;
2011-12-31;48.6;
2012-01-31;11.8;
2012-02-29;113;
2012-03-31;38.8;
2012-04-30;0;
2012-05-31;11.2;
2012-06-30;3.2;
2012-07-31;13;
2012-08-31;7.4;
2012-09-30;.6;
2012-10-31;0;
2012-11-30;7.4;
2012-12-31;1.2;
2013-01-31;46.6;
2013-02-28;0;
2013-03-31;.8;
2013-04-30;14.2;
2013-05-31;4.4;
2013-06-30;null;
2013-07-31;12.2;
2013-08-31;1.8;
2013-09-30;0;
2013-10-31;5.2;
2013-11-30;1.4;
2013-12-31;201;
2014-01-31;7.4;
2014-02-28;27;
2014-03-31;12.8;
2014-04-30;46.8;
2014-05-31;20.2;
2014-06-30;9;
2014-07-31;8.4;
2014-08-31;13;
2014-09-30;5;
2014-10-31;2.2;
2014-11-30;31;
2014-12-31;45.2;
2015-01-31;3;
2015-02-28;61.2;
2015-03-31;114.2;
2015-04-30;16.8;
2015-05-31;6.8;
2015-06-30;11;
2015-07-31;null;
2015-08-31;1;
2015-09-30;2.4;
2015-10-31;0;
2015-11-30;0;
2015-12-31;15.8;
2016-01-31;204.2;
2016-02-29;36.6;
2016-03-31;79.6;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;4;
2016-08-31;1.8;
2016-09-30;.2;
2016-10-31;1.8;
2016-11-30;2.2;
2016-12-31;45.8;
2017-01-31;0;
2017-02-28;89;
2017-03-31;18.6;
2017-04-30;17.6;
2017-05-31;5.4;
2017-06-30;41.6;
2017-07-31;21.8;
2017-08-31;2.6;
2017-09-30;11.2;
2017-10-31;.2;
2017-11-30;8.2;
2017-12-31;8.2;
2018-01-31;47.8;
2018-02-28;196.8;
2018-03-31;37.4;
2018-04-30;81.4;
2018-05-31;3;
2018-06-30;.4;
2018-07-31;.2;
2018-08-31;0;
2018-09-30;0;
2018-10-31;4.2;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;15.8;
2019-05-31;51;
2019-06-30;21.4;
2019-07-31;39.4;
2019-08-31;2.6;
2019-09-30;0;
2019-10-31;1.4;
2019-11-30;1.8;
2019-12-31;39.8;
2020-01-31;83.6;
2020-02-29;146.2;
2020-03-31;90.6;
2020-04-30;126;
2020-05-31;40.2;
2020-06-30;12.4;
2020-07-31;2.8;
2020-08-31;1.6;
2020-09-30;.2;
2020-10-31;1.6;
2020-11-30;50.6;
2020-12-31;18.6;
2021-01-31;28.8;
2021-02-28;159.6;
2021-03-31;12.8;
2021-04-30;101.2;
2021-05-31;3.4;
2021-06-30;9.2;
2021-07-31;17;
2021-08-31;3;
2021-09-30;0;
2021-10-31;4.2;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

