Nome: SAO JOAO DO PIAUI
Codigo Estacao: A331
Latitude: -8.36444444
Longitude: -42.2525
Altitude: 231
Situacao: Pane
Data Inicial: 2007-08-25
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-08-31;null;
2007-09-30;0;
2007-10-31;.2;
2007-11-30;null;
2007-12-31;22.8;
2008-01-31;60.6;
2008-02-29;56.4;
2008-03-31;308.6;
2008-04-30;262.2;
2008-05-31;.2;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;1.4;
2008-10-31;.4;
2008-11-30;19.8;
2008-12-31;94.6;
2009-01-31;123.4;
2009-02-28;127.6;
2009-03-31;143.4;
2009-04-30;224.8;
2009-05-31;10.6;
2009-06-30;7.8;
2009-07-31;0;
2009-08-31;.2;
2009-09-30;0;
2009-10-31;72.2;
2009-11-30;18.8;
2009-12-31;130.8;
2010-01-31;143;
2010-02-28;37.4;
2010-03-31;127.4;
2010-04-30;123.8;
2010-05-31;1.6;
2010-06-30;15.2;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;0;
2011-07-31;.6;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;70.6;
2011-12-31;41.4;
2012-01-31;38.2;
2012-02-29;168;
2012-03-31;35.6;
2012-04-30;.8;
2012-05-31;0;
2012-06-30;0;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;0;
2012-11-30;66.6;
2012-12-31;52;
2013-01-31;41;
2013-02-28;1.6;
2013-03-31;70.6;
2013-04-30;98.8;
2013-05-31;.2;
2013-06-30;0;
2013-07-31;0;
2013-08-31;0;
2013-09-30;0;
2013-10-31;.6;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;16.2;
2014-06-30;0;
2014-07-31;1.4;
2014-08-31;1;
2014-09-30;.6;
2014-10-31;7.8;
2014-11-30;150.6;
2014-12-31;19.2;
2015-01-31;1.6;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;.2;
2015-08-31;0;
2015-09-30;0;
2015-10-31;13.2;
2015-11-30;34;
2015-12-31;10.6;
2016-01-31;325.4;
2016-02-29;55.2;
2016-03-31;68.2;
2016-04-30;2.6;
2016-05-31;.8;
2016-06-30;0;
2016-07-31;0;
2016-08-31;0;
2016-09-30;6.2;
2016-10-31;13;
2016-11-30;24.6;
2016-12-31;86;
2017-01-31;18.8;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;0;
2017-11-30;95.2;
2017-12-31;25.8;
2018-01-31;49.2;
2018-02-28;176.8;
2018-03-31;166.2;
2018-04-30;null;
2018-05-31;4.6;
2018-06-30;1.6;
2018-07-31;.6;
2018-08-31;0;
2018-09-30;0;
2018-10-31;60.2;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;100.8;
2019-05-31;57.6;
2019-06-30;.8;
2019-07-31;0;
2019-08-31;0;
2019-09-30;0;
2019-10-31;0;
2019-11-30;null;
2019-12-31;0;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

