Nome: MONTEIRO
Codigo Estacao: A334
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.39
Situacao: Operante
Data Inicial: 2007-08-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-08-31;null;
2007-09-30;2.4;
2007-10-31;2.4;
2007-11-30;null;
2007-12-31;6;
2008-01-31;24.2;
2008-02-29;93.6;
2008-03-31;272.4;
2008-04-30;52.8;
2008-05-31;215.2;
2008-06-30;61;
2008-07-31;20;
2008-08-31;49.6;
2008-09-30;3.6;
2008-10-31;0;
2008-11-30;0;
2008-12-31;9.2;
2009-01-31;118;
2009-02-28;80;
2009-03-31;71.6;
2009-04-30;230.2;
2009-05-31;323.6;
2009-06-30;32.6;
2009-07-31;47;
2009-08-31;66;
2009-09-30;.4;
2009-10-31;28.2;
2009-11-30;6;
2009-12-31;17.8;
2010-01-31;63;
2010-02-28;44;
2010-03-31;38.6;
2010-04-30;105.6;
2010-05-31;13.8;
2010-06-30;138.4;
2010-07-31;20.8;
2010-08-31;.8;
2010-09-30;7;
2010-10-31;148.4;
2010-11-30;0;
2010-12-31;156.4;
2011-01-31;217.2;
2011-02-28;101.2;
2011-03-31;null;
2011-04-30;null;
2011-05-31;181;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;43;
2011-11-30;50.6;
2011-12-31;0;
2012-01-31;90.6;
2012-02-29;20.4;
2012-03-31;.8;
2012-04-30;5;
2012-05-31;33.6;
2012-06-30;15.2;
2012-07-31;12.4;
2012-08-31;8.2;
2012-09-30;0;
2012-10-31;.2;
2012-11-30;4;
2012-12-31;2.8;
2013-01-31;70.8;
2013-02-28;4.8;
2013-03-31;78.6;
2013-04-30;75.6;
2013-05-31;41.2;
2013-06-30;55.2;
2013-07-31;25.8;
2013-08-31;4.6;
2013-09-30;1;
2013-10-31;15.8;
2013-11-30;5.6;
2013-12-31;85.6;
2014-01-31;19.6;
2014-02-28;43.2;
2014-03-31;102.4;
2014-04-30;135.2;
2014-05-31;82.4;
2014-06-30;7.8;
2014-07-31;19.8;
2014-08-31;9.2;
2014-09-30;null;
2014-10-31;null;
2014-11-30;18;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;96.2;
2015-05-31;7.6;
2015-06-30;61.2;
2015-07-31;63;
2015-08-31;8.8;
2015-09-30;0;
2015-10-31;0;
2015-11-30;0;
2015-12-31;111.2;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;11;
2016-05-31;54;
2016-06-30;null;
2016-07-31;.8;
2016-08-31;.4;
2016-09-30;6.6;
2016-10-31;.8;
2016-11-30;0;
2016-12-31;7;
2017-01-31;24.8;
2017-02-28;46.6;
2017-03-31;76.8;
2017-04-30;166.8;
2017-05-31;74.8;
2017-06-30;46.2;
2017-07-31;85.6;
2017-08-31;14.8;
2017-09-30;4.6;
2017-10-31;0;
2017-11-30;11;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;96.8;
2018-05-31;116.6;
2018-06-30;1.6;
2018-07-31;2.2;
2018-08-31;.2;
2018-09-30;0;
2018-10-31;3.4;
2018-11-30;51.6;
2018-12-31;35.6;
2019-01-31;108.6;
2019-02-28;67;
2019-03-31;174.2;
2019-04-30;91;
2019-05-31;38.2;
2019-06-30;25;
2019-07-31;43.4;
2019-08-31;6.6;
2019-09-30;0;
2019-10-31;.2;
2019-11-30;0;
2019-12-31;0;
2020-01-31;null;
2020-02-29;null;
2020-03-31;5.6;
2020-04-30;null;
2020-05-31;null;
2020-06-30;1.6;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;20.2;
2022-01-31;null;

