Nome: ALVORADA DO GURGUEIA
Codigo Estacao: A336
Latitude: -8.44166666
Longitude: -43.86555555
Altitude: 261.26
Situacao: Operante
Data Inicial: 2007-11-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-11-30;null;
2007-12-31;null;
2008-01-31;113.4;
2008-02-29;97.6;
2008-03-31;null;
2008-04-30;null;
2008-05-31;13;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;3.4;
2008-10-31;2.6;
2008-11-30;62.4;
2008-12-31;156;
2009-01-31;141.8;
2009-02-28;131.2;
2009-03-31;96.6;
2009-04-30;214;
2009-05-31;173;
2009-06-30;20.4;
2009-07-31;0;
2009-08-31;15.6;
2009-09-30;.4;
2009-10-31;161.8;
2009-11-30;19.6;
2009-12-31;310;
2010-01-31;265.4;
2010-02-28;64;
2010-03-31;134.8;
2010-04-30;0;
2010-05-31;76.8;
2010-06-30;7.2;
2010-07-31;.8;
2010-08-31;0;
2010-09-30;0;
2010-10-31;7;
2010-11-30;11;
2010-12-31;0;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;0;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;61;
2011-11-30;null;
2011-12-31;20.8;
2012-01-31;120.4;
2012-02-29;217.6;
2012-03-31;113;
2012-04-30;9;
2012-05-31;0;
2012-06-30;0;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;1.6;
2012-11-30;71.4;
2012-12-31;78;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;63.8;
2013-05-31;29.2;
2013-06-30;2.6;
2013-07-31;.2;
2013-08-31;0;
2013-09-30;0;
2013-10-31;22.2;
2013-11-30;50;
2013-12-31;217.8;
2014-01-31;19.2;
2014-02-28;112.4;
2014-03-31;179.2;
2014-04-30;178.8;
2014-05-31;4.8;
2014-06-30;0;
2014-07-31;0;
2014-08-31;0;
2014-09-30;0;
2014-10-31;47.6;
2014-11-30;49.4;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;191.6;
2015-04-30;116.4;
2015-05-31;33.4;
2015-06-30;0;
2015-07-31;.4;
2015-08-31;0;
2015-09-30;.2;
2015-10-31;28.6;
2015-11-30;127.2;
2015-12-31;17.8;
2016-01-31;318.8;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;5.6;
2016-06-30;0;
2016-07-31;0;
2016-08-31;0;
2016-09-30;20.6;
2016-10-31;67.6;
2016-11-30;null;
2016-12-31;null;
2017-01-31;104;
2017-02-28;375.6;
2017-03-31;97.4;
2017-04-30;96;
2017-05-31;34.8;
2017-06-30;0;
2017-07-31;3;
2017-08-31;0;
2017-09-30;0;
2017-10-31;.2;
2017-11-30;94.6;
2017-12-31;93.6;
2018-01-31;76.4;
2018-02-28;185.8;
2018-03-31;170.6;
2018-04-30;77.6;
2018-05-31;3.2;
2018-06-30;.4;
2018-07-31;0;
2018-08-31;0;
2018-09-30;16.2;
2018-10-31;null;
2018-11-30;64;
2018-12-31;49.8;
2019-01-31;107.2;
2019-02-28;158.4;
2019-03-31;92.8;
2019-04-30;11.4;
2019-05-31;null;
2019-06-30;0;
2019-07-31;null;
2019-08-31;null;
2019-09-30;6.8;
2019-10-31;13;
2019-11-30;17.4;
2019-12-31;4;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;18;
2020-06-30;.4;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;11.8;
2020-11-30;8.2;
2020-12-31;5.2;
2021-01-31;5;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;88.6;
2021-11-30;11.4;
2021-12-31;null;
2022-01-31;null;

