Nome: CARACOL
Codigo Estacao: A337
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Operante
Data Inicial: 2007-11-09
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;324.6;
2008-04-30;111.6;
2008-05-31;5.2;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;null;
2008-10-31;null;
2008-11-30;125;
2008-12-31;129.2;
2009-01-31;233.2;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;0;
2009-07-31;.2;
2009-08-31;0;
2009-09-30;0;
2009-10-31;186.6;
2009-11-30;6.8;
2009-12-31;125.2;
2010-01-31;94.8;
2010-02-28;40;
2010-03-31;150;
2010-04-30;98.2;
2010-05-31;5.6;
2010-06-30;6.4;
2010-07-31;.2;
2010-08-31;0;
2010-09-30;0;
2010-10-31;10.4;
2010-11-30;10.6;
2010-12-31;12;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;0;
2011-07-31;0;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;70;
2011-12-31;39.8;
2012-01-31;43.8;
2012-02-29;48.2;
2012-03-31;5.4;
2012-04-30;0;
2012-05-31;0;
2012-06-30;0;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;0;
2012-11-30;90.8;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;83.4;
2013-05-31;15.8;
2013-06-30;2.4;
2013-07-31;1.8;
2013-08-31;0;
2013-09-30;0;
2013-10-31;49.6;
2013-11-30;110.2;
2013-12-31;275.2;
2014-01-31;1.8;
2014-02-28;115;
2014-03-31;85.2;
2014-04-30;204.4;
2014-05-31;15.8;
2014-06-30;0;
2014-07-31;0;
2014-08-31;1.2;
2014-09-30;.2;
2014-10-31;12.8;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;51;
2015-04-30;90.8;
2015-05-31;30;
2015-06-30;0;
2015-07-31;.2;
2015-08-31;0;
2015-09-30;0;
2015-10-31;26.8;
2015-11-30;63.4;
2015-12-31;6.2;
2016-01-31;302.4;
2016-02-29;35.2;
2016-03-31;21.4;
2016-04-30;7.2;
2016-05-31;0;
2016-06-30;0;
2016-07-31;0;
2016-08-31;0;
2016-09-30;null;
2016-10-31;null;
2016-11-30;68.8;
2016-12-31;62.4;
2017-01-31;21.4;
2017-02-28;124.4;
2017-03-31;200.6;
2017-04-30;16.2;
2017-05-31;null;
2017-06-30;null;
2017-07-31;.2;
2017-08-31;0;
2017-09-30;0;
2017-10-31;7;
2017-11-30;118.8;
2017-12-31;94;
2018-01-31;109;
2018-02-28;163.8;
2018-03-31;144.2;
2018-04-30;23.8;
2018-05-31;0;
2018-06-30;0;
2018-07-31;0;
2018-08-31;0;
2018-09-30;0;
2018-10-31;111.8;
2018-11-30;38.8;
2018-12-31;113.6;
2019-01-31;19.6;
2019-02-28;null;
2019-03-31;75.4;
2019-04-30;.6;
2019-05-31;0;
2019-06-30;0;
2019-07-31;0;
2019-08-31;.2;
2019-09-30;0;
2019-10-31;.6;
2019-11-30;1;
2019-12-31;null;
2020-01-31;null;
2020-02-29;.6;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;2.6;
2020-07-31;null;
2020-08-31;null;
2020-09-30;0;
2020-10-31;2.2;
2020-11-30;1.6;
2020-12-31;.8;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

