Nome: JAGUARUANA
Codigo Estacao: A339
Latitude: -4.78694444
Longitude: -37.76666666
Altitude: 49
Situacao: Operante
Data Inicial: 2007-11-09
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-11-30;null;
2007-12-31;1.2;
2008-01-31;40.2;
2008-02-29;.4;
2008-03-31;236.4;
2008-04-30;252.4;
2008-05-31;108.8;
2008-06-30;47;
2008-07-31;35.8;
2008-08-31;32;
2008-09-30;0;
2008-10-31;0;
2008-11-30;.6;
2008-12-31;1;
2009-01-31;147.6;
2009-02-28;113.4;
2009-03-31;205.8;
2009-04-30;9;
2009-05-31;.2;
2009-06-30;0;
2009-07-31;13.8;
2009-08-31;17.4;
2009-09-30;0;
2009-10-31;0;
2009-11-30;1.2;
2009-12-31;1.6;
2010-01-31;20;
2010-02-28;.2;
2010-03-31;.2;
2010-04-30;8.2;
2010-05-31;0;
2010-06-30;.8;
2010-07-31;7;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;.2;
2011-10-31;11.4;
2011-11-30;2.6;
2011-12-31;34.2;
2012-01-31;21.4;
2012-02-29;179.6;
2012-03-31;75;
2012-04-30;84;
2012-05-31;7.4;
2012-06-30;2.4;
2012-07-31;16.2;
2012-08-31;0;
2012-09-30;0;
2012-10-31;0;
2012-11-30;0;
2012-12-31;2;
2013-01-31;30;
2013-02-28;25.6;
2013-03-31;37.4;
2013-04-30;182;
2013-05-31;23.6;
2013-06-30;77.4;
2013-07-31;79.8;
2013-08-31;.4;
2013-09-30;0;
2013-10-31;5;
2013-11-30;7.6;
2013-12-31;21.8;
2014-01-31;2.6;
2014-02-28;54.4;
2014-03-31;18.4;
2014-04-30;null;
2014-05-31;null;
2014-06-30;20;
2014-07-31;2.4;
2014-08-31;0;
2014-09-30;3.8;
2014-10-31;22.2;
2014-11-30;10.4;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;104.8;
2015-04-30;94.6;
2015-05-31;22.2;
2015-06-30;46.4;
2015-07-31;18.2;
2015-08-31;4.6;
2015-09-30;3.6;
2015-10-31;0;
2015-11-30;0;
2015-12-31;5.4;
2016-01-31;45.8;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;2.8;
2016-06-30;16.4;
2016-07-31;0;
2016-08-31;0;
2016-09-30;0;
2016-10-31;0;
2016-11-30;.2;
2016-12-31;7.2;
2017-01-31;19.6;
2017-02-28;170.2;
2017-03-31;124.8;
2017-04-30;null;
2017-05-31;30.8;
2017-06-30;19.6;
2017-07-31;74.6;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;.6;
2017-12-31;1.8;
2018-01-31;23.2;
2018-02-28;137.8;
2018-03-31;58.8;
2018-04-30;246.6;
2018-05-31;84;
2018-06-30;12.4;
2018-07-31;3.4;
2018-08-31;0;
2018-09-30;0;
2018-10-31;.6;
2018-11-30;3.4;
2018-12-31;15.4;
2019-01-31;46.4;
2019-02-28;124.4;
2019-03-31;14.4;
2019-04-30;null;
2019-05-31;68.6;
2019-06-30;11.4;
2019-07-31;1.6;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;12.2;
2020-01-31;71;
2020-02-29;74.8;
2020-03-31;73.4;
2020-04-30;31.4;
2020-05-31;17.8;
2020-06-30;18.2;
2020-07-31;33.8;
2020-08-31;0;
2020-09-30;0;
2020-10-31;0;
2020-11-30;10;
2020-12-31;13.6;
2021-01-31;null;
2021-02-28;38.4;
2021-03-31;64.2;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

