Nome: CRATEUS
Codigo Estacao: A342
Latitude: -5.18666666
Longitude: -40.67222221
Altitude: 298.19
Situacao: Operante
Data Inicial: 2008-12-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;133.6;
2009-04-30;529;
2009-05-31;188.2;
2009-06-30;8;
2009-07-31;17.6;
2009-08-31;20;
2009-09-30;3;
2009-10-31;.2;
2009-11-30;.8;
2009-12-31;4;
2010-01-31;84.6;
2010-02-28;12.8;
2010-03-31;73.6;
2010-04-30;null;
2010-05-31;8.6;
2010-06-30;4.2;
2010-07-31;3;
2010-08-31;.2;
2010-09-30;0;
2010-10-31;31.6;
2010-11-30;.2;
2010-12-31;131.2;
2011-01-31;195.8;
2011-02-28;122.6;
2011-03-31;150.8;
2011-04-30;204.8;
2011-05-31;192;
2011-06-30;13.6;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;20.6;
2011-11-30;41.6;
2011-12-31;0;
2012-01-31;58.4;
2012-02-29;45.6;
2012-03-31;60;
2012-04-30;66.8;
2012-05-31;4.4;
2012-06-30;.2;
2012-07-31;.4;
2012-08-31;0;
2012-09-30;0;
2012-10-31;.8;
2012-11-30;1.2;
2012-12-31;6.2;
2013-01-31;20.4;
2013-02-28;101;
2013-03-31;86;
2013-04-30;90.6;
2013-05-31;48.6;
2013-06-30;38.4;
2013-07-31;4.8;
2013-08-31;.2;
2013-09-30;0;
2013-10-31;0;
2013-11-30;null;
2013-12-31;12.2;
2014-01-31;11;
2014-02-28;null;
2014-03-31;51.6;
2014-04-30;121.2;
2014-05-31;50.6;
2014-06-30;null;
2014-07-31;.8;
2014-08-31;1.4;
2014-09-30;3.6;
2014-10-31;3.8;
2014-11-30;23;
2014-12-31;9.6;
2015-01-31;77.4;
2015-02-28;96.8;
2015-03-31;174.8;
2015-04-30;131.6;
2015-05-31;20;
2015-06-30;62.6;
2015-07-31;23.8;
2015-08-31;1.6;
2015-09-30;0;
2015-10-31;0;
2015-11-30;0;
2015-12-31;11.4;
2016-01-31;244.6;
2016-02-29;55;
2016-03-31;178.8;
2016-04-30;72.4;
2016-05-31;6;
2016-06-30;null;
2016-07-31;null;
2016-08-31;0;
2016-09-30;0;
2016-10-31;0;
2016-11-30;0;
2016-12-31;38.4;
2017-01-31;51.6;
2017-02-28;94.8;
2017-03-31;84.2;
2017-04-30;162.2;
2017-05-31;42.4;
2017-06-30;5.6;
2017-07-31;1;
2017-08-31;0;
2017-09-30;.2;
2017-10-31;0;
2017-11-30;0;
2017-12-31;2.8;
2018-01-31;30.6;
2018-02-28;199.8;
2018-03-31;232.2;
2018-04-30;240;
2018-05-31;26;
2018-06-30;7.2;
2018-07-31;5.6;
2018-08-31;0;
2018-09-30;0;
2018-10-31;18.6;
2018-11-30;.2;
2018-12-31;137.2;
2019-01-31;70.8;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;41.4;
2019-06-30;11.2;
2019-07-31;null;
2019-08-31;null;
2019-09-30;9.4;
2019-10-31;0;
2019-11-30;.6;
2019-12-31;4.2;
2020-01-31;139.8;
2020-02-29;201;
2020-03-31;430.2;
2020-04-30;153.2;
2020-05-31;92.2;
2020-06-30;3.6;
2020-07-31;4.4;
2020-08-31;0;
2020-09-30;0;
2020-10-31;0;
2020-11-30;56;
2020-12-31;null;
2021-01-31;34.6;
2021-02-28;203.2;
2021-03-31;181.4;
2021-04-30;81.4;
2021-05-31;56.4;
2021-06-30;4.2;
2021-07-31;4.8;
2021-08-31;.4;
2021-09-30;null;
2021-10-31;null;
2021-11-30;12.6;
2021-12-31;17.8;
2022-01-31;null;

