Nome: SAO RAIMUNDO NONATO
Codigo Estacao: A345
Latitude: -9.03333333
Longitude: -42.70111111
Altitude: 383.13
Situacao: Operante
Data Inicial: 2008-02-26
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-02-29;null;
2008-03-31;253.2;
2008-04-30;173;
2008-05-31;4.6;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;1.4;
2008-10-31;0;
2008-11-30;141;
2008-12-31;37.2;
2009-01-31;157.2;
2009-02-28;107.4;
2009-03-31;136.6;
2009-04-30;232.4;
2009-05-31;30.4;
2009-06-30;1.8;
2009-07-31;0;
2009-08-31;0;
2009-09-30;0;
2009-10-31;75;
2009-11-30;1.4;
2009-12-31;129.4;
2010-01-31;109;
2010-02-28;33;
2010-03-31;141.2;
2010-04-30;143.4;
2010-05-31;29;
2010-06-30;39.4;
2010-07-31;1.2;
2010-08-31;0;
2010-09-30;0;
2010-10-31;33.8;
2010-11-30;47.6;
2010-12-31;null;
2011-01-31;63.8;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;1.6;
2011-09-30;0;
2011-10-31;51;
2011-11-30;44.6;
2011-12-31;75.2;
2012-01-31;null;
2012-02-29;null;
2012-03-31;.8;
2012-04-30;.2;
2012-05-31;0;
2012-06-30;0;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;0;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;32.6;
2013-04-30;73;
2013-05-31;.6;
2013-06-30;0;
2013-07-31;.6;
2013-08-31;0;
2013-09-30;0;
2013-10-31;11;
2013-11-30;null;
2013-12-31;238.8;
2014-01-31;4.2;
2014-02-28;63;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;0;
2014-07-31;0;
2014-08-31;1;
2014-09-30;0;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;121.6;
2015-04-30;86.4;
2015-05-31;.4;
2015-06-30;0;
2015-07-31;0;
2015-08-31;.2;
2015-09-30;0;
2015-10-31;13.6;
2015-11-30;59;
2015-12-31;1.2;
2016-01-31;254.2;
2016-02-29;6.4;
2016-03-31;9.6;
2016-04-30;10.2;
2016-05-31;.4;
2016-06-30;0;
2016-07-31;0;
2016-08-31;0;
2016-09-30;14.8;
2016-10-31;null;
2016-11-30;52.8;
2016-12-31;61.6;
2017-01-31;14.8;
2017-02-28;178.2;
2017-03-31;89.8;
2017-04-30;5.2;
2017-05-31;8;
2017-06-30;1;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;0;
2017-11-30;89.6;
2017-12-31;79;
2018-01-31;77.2;
2018-02-28;204.4;
2018-03-31;203.2;
2018-04-30;24.2;
2018-05-31;0;
2018-06-30;3;
2018-07-31;0;
2018-08-31;0;
2018-09-30;3.6;
2018-10-31;19.4;
2018-11-30;22;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;0;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

