Nome: URUCUI
Codigo Estacao: A346
Latitude: -7.44138888
Longitude: -44.34499999
Altitude: 398.83
Situacao: Pane
Data Inicial: 2008-03-05
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;null;
2008-04-30;65;
2008-05-31;28.2;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;10.2;
2008-10-31;44.6;
2008-11-30;103;
2008-12-31;240.4;
2009-01-31;159.6;
2009-02-28;212.8;
2009-03-31;98;
2009-04-30;223.4;
2009-05-31;82.2;
2009-06-30;29.8;
2009-07-31;.2;
2009-08-31;5.2;
2009-09-30;24.8;
2009-10-31;62;
2009-11-30;96.4;
2009-12-31;128;
2010-01-31;103.6;
2010-02-28;99.2;
2010-03-31;286.2;
2010-04-30;167.6;
2010-05-31;26;
2010-06-30;34.6;
2010-07-31;0;
2010-08-31;.4;
2010-09-30;28.2;
2010-10-31;135.4;
2010-11-30;66.4;
2010-12-31;110.2;
2011-01-31;118.6;
2011-02-28;261.2;
2011-03-31;166.6;
2011-04-30;119.8;
2011-05-31;31.4;
2011-06-30;1.6;
2011-07-31;18.8;
2011-08-31;0;
2011-09-30;0;
2011-10-31;null;
2011-11-30;null;
2011-12-31;50.6;
2012-01-31;95.6;
2012-02-29;1.6;
2012-03-31;0;
2012-04-30;0;
2012-05-31;.2;
2012-06-30;0;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;.4;
2012-11-30;110.8;
2012-12-31;110.8;
2013-01-31;5.8;
2013-02-28;16.2;
2013-03-31;null;
2013-04-30;null;
2013-05-31;17;
2013-06-30;.6;
2013-07-31;0;
2013-08-31;0;
2013-09-30;1.8;
2013-10-31;52.4;
2013-11-30;163.8;
2013-12-31;92.2;
2014-01-31;2.6;
2014-02-28;null;
2014-03-31;63.2;
2014-04-30;34;
2014-05-31;15.2;
2014-06-30;.4;
2014-07-31;0;
2014-08-31;.2;
2014-09-30;10.8;
2014-10-31;2;
2014-11-30;null;
2014-12-31;15.8;
2015-01-31;1.4;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;2;
2015-07-31;0;
2015-08-31;0;
2015-09-30;0;
2015-10-31;13.4;
2015-11-30;80.4;
2015-12-31;6.8;
2016-01-31;125.6;
2016-02-29;32;
2016-03-31;47.6;
2016-04-30;73.6;
2016-05-31;33.2;
2016-06-30;6.6;
2016-07-31;0;
2016-08-31;0;
2016-09-30;19.8;
2016-10-31;81.4;
2016-11-30;46;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;143.4;
2017-04-30;103.2;
2017-05-31;38.4;
2017-06-30;9.2;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;71.8;
2017-11-30;null;
2017-12-31;93.8;
2018-01-31;208;
2018-02-28;372.4;
2018-03-31;112;
2018-04-30;94;
2018-05-31;0;
2018-06-30;0;
2018-07-31;0;
2018-08-31;0;
2018-09-30;14.4;
2018-10-31;59.4;
2018-11-30;127.2;
2018-12-31;148.6;
2019-01-31;106.8;
2019-02-28;119.2;
2019-03-31;281;
2019-04-30;166.6;
2019-05-31;25;
2019-06-30;.4;
2019-07-31;18.2;
2019-08-31;0;
2019-09-30;7.4;
2019-10-31;100.4;
2019-11-30;56;
2019-12-31;84.2;
2020-01-31;105.6;
2020-02-29;276;
2020-03-31;323.8;
2020-04-30;326.2;
2020-05-31;38.2;
2020-06-30;.6;
2020-07-31;0;
2020-08-31;0;
2020-09-30;1.2;
2020-10-31;149;
2020-11-30;null;
2020-12-31;54.8;
2021-01-31;126.4;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

