Nome: CAMPOS SALES
Codigo Estacao: A347
Latitude: -7.07777777
Longitude: -40.36277777
Altitude: 577.95
Situacao: Pane
Data Inicial: 2008-03-06
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;null;
2008-04-30;109.4;
2008-05-31;32.4;
2008-06-30;0;
2008-07-31;1;
2008-08-31;1.2;
2008-09-30;0;
2008-10-31;0;
2008-11-30;.6;
2008-12-31;77.6;
2009-01-31;70;
2009-02-28;92.6;
2009-03-31;73.8;
2009-04-30;265.6;
2009-05-31;97.8;
2009-06-30;9.6;
2009-07-31;33.4;
2009-08-31;1;
2009-09-30;0;
2009-10-31;16.2;
2009-11-30;4.6;
2009-12-31;57.2;
2010-01-31;63.6;
2010-02-28;74.6;
2010-03-31;155.2;
2010-04-30;247.6;
2010-05-31;39.2;
2010-06-30;6.6;
2010-07-31;2.4;
2010-08-31;0;
2010-09-30;0;
2010-10-31;59.6;
2010-11-30;.2;
2010-12-31;3.8;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;14.4;
2011-06-30;.2;
2011-07-31;1.6;
2011-08-31;7.8;
2011-09-30;0;
2011-10-31;25;
2011-11-30;33.6;
2011-12-31;13.6;
2012-01-31;19.6;
2012-02-29;184.4;
2012-03-31;105.2;
2012-04-30;5.2;
2012-05-31;4;
2012-06-30;11.8;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;0;
2012-11-30;0;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;70.2;
2013-04-30;null;
2013-05-31;13;
2013-06-30;9.6;
2013-07-31;14.2;
2013-08-31;0;
2013-09-30;0;
2013-10-31;2.6;
2013-11-30;11.6;
2013-12-31;49.4;
2014-01-31;37;
2014-02-28;63;
2014-03-31;118;
2014-04-30;62.8;
2014-05-31;10.8;
2014-06-30;6;
2014-07-31;13.2;
2014-08-31;0;
2014-09-30;3.4;
2014-10-31;29.2;
2014-11-30;40.6;
2014-12-31;54.2;
2015-01-31;19.6;
2015-02-28;null;
2015-03-31;166.4;
2015-04-30;48;
2015-05-31;81.8;
2015-06-30;17.4;
2015-07-31;8.4;
2015-08-31;0;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;23.4;
2016-01-31;144.4;
2016-02-29;20.6;
2016-03-31;56.4;
2016-04-30;5;
2016-05-31;11;
2016-06-30;1.4;
2016-07-31;0;
2016-08-31;0;
2016-09-30;10;
2016-10-31;2.4;
2016-11-30;.2;
2016-12-31;38.4;
2017-01-31;105.4;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;12.8;
2017-07-31;.2;
2017-08-31;0;
2017-09-30;0;
2017-10-31;0;
2017-11-30;4.2;
2017-12-31;11.8;
2018-01-31;51.6;
2018-02-28;199.4;
2018-03-31;46.8;
2018-04-30;42.2;
2018-05-31;25.4;
2018-06-30;0;
2018-07-31;0;
2018-08-31;0;
2018-09-30;0;
2018-10-31;12.8;
2018-11-30;23.2;
2018-12-31;167.2;
2019-01-31;32.6;
2019-02-28;135;
2019-03-31;286.2;
2019-04-30;116;
2019-05-31;39.8;
2019-06-30;33.4;
2019-07-31;4;
2019-08-31;0;
2019-09-30;0;
2019-10-31;null;
2019-11-30;null;
2019-12-31;8.4;
2020-01-31;163.6;
2020-02-29;127.4;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

