Nome: SERRA TALHADA
Codigo Estacao: A350
Latitude: -7.95416666
Longitude: -38.29499999
Altitude: 499.02
Situacao: Pane
Data Inicial: 2008-07-08
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;120.2;
2009-04-30;131.4;
2009-05-31;300.6;
2009-06-30;61;
2009-07-31;13.2;
2009-08-31;34.4;
2009-09-30;0;
2009-10-31;17.8;
2009-11-30;25.6;
2009-12-31;45;
2010-01-31;128.8;
2010-02-28;114.8;
2010-03-31;14.2;
2010-04-30;195.2;
2010-05-31;31;
2010-06-30;52;
2010-07-31;36.6;
2010-08-31;2.8;
2010-09-30;3;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;180.4;
2011-05-31;154.4;
2011-06-30;31.8;
2011-07-31;18;
2011-08-31;64;
2011-09-30;5.8;
2011-10-31;38.4;
2011-11-30;36.6;
2011-12-31;19;
2012-01-31;31;
2012-02-29;114.6;
2012-03-31;54.8;
2012-04-30;3;
2012-05-31;13.6;
2012-06-30;2;
2012-07-31;11.6;
2012-08-31;5.4;
2012-09-30;.2;
2012-10-31;1.2;
2012-11-30;1.8;
2012-12-31;7;
2013-01-31;109.8;
2013-02-28;20;
2013-03-31;68.6;
2013-04-30;112.8;
2013-05-31;47.6;
2013-06-30;35.4;
2013-07-31;44;
2013-08-31;5.8;
2013-09-30;0;
2013-10-31;4.6;
2013-11-30;3.2;
2013-12-31;101.4;
2014-01-31;10.2;
2014-02-28;null;
2014-03-31;null;
2014-04-30;103.4;
2014-05-31;110.2;
2014-06-30;11;
2014-07-31;12.6;
2014-08-31;.2;
2014-09-30;0;
2014-10-31;.6;
2014-11-30;8.2;
2014-12-31;.4;
2015-01-31;1.8;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;.8;
2015-06-30;7;
2015-07-31;61.2;
2015-08-31;4.8;
2015-09-30;0;
2015-10-31;0;
2015-11-30;5.2;
2015-12-31;17;
2016-01-31;185.6;
2016-02-29;39.4;
2016-03-31;155.2;
2016-04-30;19;
2016-05-31;42;
2016-06-30;15.6;
2016-07-31;7.2;
2016-08-31;0;
2016-09-30;22.2;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;17.4;
2017-02-28;102;
2017-03-31;86.2;
2017-04-30;186.2;
2017-05-31;36.8;
2017-06-30;138.6;
2017-07-31;51.4;
2017-08-31;2.4;
2017-09-30;2.4;
2017-10-31;.2;
2017-11-30;3.6;
2017-12-31;10.8;
2018-01-31;28;
2018-02-28;166.4;
2018-03-31;106.8;
2018-04-30;52.4;
2018-05-31;11.4;
2018-06-30;null;
2018-07-31;null;
2018-08-31;0;
2018-09-30;0;
2018-10-31;4.6;
2018-11-30;44.8;
2018-12-31;128;
2019-01-31;37.4;
2019-02-28;78.8;
2019-03-31;216.4;
2019-04-30;165.8;
2019-05-31;47.6;
2019-06-30;48.6;
2019-07-31;14;
2019-08-31;6.4;
2019-09-30;0;
2019-10-31;0;
2019-11-30;52.6;
2019-12-31;8.2;
2020-01-31;62.4;
2020-02-29;131;
2020-03-31;437.6;
2020-04-30;207.8;
2020-05-31;125.8;
2020-06-30;61;
2020-07-31;19.6;
2020-08-31;4.2;
2020-09-30;.8;
2020-10-31;0;
2020-11-30;112;
2020-12-31;6;
2021-01-31;53.4;
2021-02-28;68.4;
2021-03-31;137.4;
2021-04-30;181.4;
2021-05-31;48;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

