Nome: CORURIPE
Codigo Estacao: A355
Latitude: -10.1286111
Longitude: -36.28638888
Altitude: 82.39
Situacao: Pane
Data Inicial: 2008-09-05
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-09-30;null;
2008-10-31;58.2;
2008-11-30;8.4;
2008-12-31;9.4;
2009-01-31;46.4;
2009-02-28;135.6;
2009-03-31;28.4;
2009-04-30;231.8;
2009-05-31;603.6;
2009-06-30;307.6;
2009-07-31;142.8;
2009-08-31;365;
2009-09-30;94.2;
2009-10-31;4.6;
2009-11-30;4;
2009-12-31;14.4;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;231.4;
2010-08-31;129.2;
2010-09-30;113.2;
2010-10-31;71.8;
2010-11-30;10;
2010-12-31;16.6;
2011-01-31;127.6;
2011-02-28;92.6;
2011-03-31;28.6;
2011-04-30;327.2;
2011-05-31;212.6;
2011-06-30;1.6;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;5;
2011-12-31;18.6;
2012-01-31;25.6;
2012-02-29;92.2;
2012-03-31;58.6;
2012-04-30;40.4;
2012-05-31;133.8;
2012-06-30;174.8;
2012-07-31;200.8;
2012-08-31;170.6;
2012-09-30;53.4;
2012-10-31;50.6;
2012-11-30;6.2;
2012-12-31;6.4;
2013-01-31;22;
2013-02-28;32.6;
2013-03-31;70.6;
2013-04-30;194.2;
2013-05-31;198.2;
2013-06-30;153.2;
2013-07-31;221.8;
2013-08-31;192.2;
2013-09-30;80.4;
2013-10-31;223.2;
2013-11-30;52.2;
2013-12-31;11.2;
2014-01-31;29.4;
2014-02-28;46.2;
2014-03-31;65.2;
2014-04-30;111.6;
2014-05-31;228.6;
2014-06-30;143.4;
2014-07-31;217;
2014-08-31;128.2;
2014-09-30;103.8;
2014-10-31;182.4;
2014-11-30;68.8;
2014-12-31;6;
2015-01-31;12.6;
2015-02-28;71.2;
2015-03-31;39.4;
2015-04-30;30.4;
2015-05-31;191.4;
2015-06-30;274.8;
2015-07-31;87.6;
2015-08-31;null;
2015-09-30;45.4;
2015-10-31;10.6;
2015-11-30;0;
2015-12-31;null;
2016-01-31;null;
2016-02-29;.4;
2016-03-31;59.4;
2016-04-30;130.8;
2016-05-31;143.2;
2016-06-30;167;
2016-07-31;164.8;
2016-08-31;46;
2016-09-30;41.6;
2016-10-31;17;
2016-11-30;null;
2016-12-31;null;
2017-01-31;23.2;
2017-02-28;28.2;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;26.6;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;19.8;
2018-01-31;28.6;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;26.8;
2018-09-30;46.2;
2018-10-31;19.8;
2018-11-30;6.2;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;112.2;
2019-09-30;57.8;
2019-10-31;11.8;
2019-11-30;15;
2019-12-31;7.6;
2020-01-31;9;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

