Nome: SAO LUIS DO QUITUNDE
Codigo Estacao: A356
Latitude: -9.28749999
Longitude: -35.56583333
Altitude: 13.69
Situacao: Pane
Data Inicial: 2008-09-07
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-09-30;null;
2008-10-31;87.2;
2008-11-30;7.8;
2008-12-31;17.6;
2009-01-31;38.6;
2009-02-28;341;
2009-03-31;71;
2009-04-30;213.6;
2009-05-31;420.4;
2009-06-30;295;
2009-07-31;274.4;
2009-08-31;329;
2009-09-30;63.2;
2009-10-31;10.2;
2009-11-30;28.2;
2009-12-31;20.8;
2010-01-31;86.2;
2010-02-28;140.4;
2010-03-31;82.6;
2010-04-30;268.8;
2010-05-31;81;
2010-06-30;577.2;
2010-07-31;218.8;
2010-08-31;175.2;
2010-09-30;114.6;
2010-10-31;23.2;
2010-11-30;8.2;
2010-12-31;23;
2011-01-31;119;
2011-02-28;95.6;
2011-03-31;112.6;
2011-04-30;null;
2011-05-31;529;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;117.8;
2011-10-31;53.8;
2011-11-30;66.2;
2011-12-31;.6;
2012-01-31;71;
2012-02-29;126.2;
2012-03-31;72.2;
2012-04-30;64.8;
2012-05-31;118.6;
2012-06-30;218;
2012-07-31;213.8;
2012-08-31;155.4;
2012-09-30;28.6;
2012-10-31;40.8;
2012-11-30;7.6;
2012-12-31;27.6;
2013-01-31;93.6;
2013-02-28;55.4;
2013-03-31;65.6;
2013-04-30;null;
2013-05-31;242;
2013-06-30;179.8;
2013-07-31;177.6;
2013-08-31;12.2;
2013-09-30;null;
2013-10-31;117.8;
2013-11-30;143.4;
2013-12-31;29.6;
2014-01-31;66.8;
2014-02-28;98.2;
2014-03-31;79.8;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;163.2;
2014-09-30;158;
2014-10-31;205.2;
2014-11-30;17.6;
2014-12-31;23.2;
2015-01-31;75.2;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;148.6;
2015-06-30;null;
2015-07-31;381.2;
2015-08-31;144;
2015-09-30;47.6;
2015-10-31;41.6;
2015-11-30;9.2;
2015-12-31;128.6;
2016-01-31;192;
2016-02-29;71;
2016-03-31;288.6;
2016-04-30;203.4;
2016-05-31;252.8;
2016-06-30;181.8;
2016-07-31;114;
2016-08-31;50.8;
2016-09-30;26.6;
2016-10-31;37;
2016-11-30;18;
2016-12-31;39.2;
2017-01-31;21.2;
2017-02-28;93;
2017-03-31;36.6;
2017-04-30;201.8;
2017-05-31;573.6;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;143;
2017-10-31;53.4;
2017-11-30;28.8;
2017-12-31;64.8;
2018-01-31;131.6;
2018-02-28;122.8;
2018-03-31;118.6;
2018-04-30;386.4;
2018-05-31;262;
2018-06-30;144.4;
2018-07-31;205.8;
2018-08-31;84.4;
2018-09-30;70.6;
2018-10-31;2.6;
2018-11-30;74.4;
2018-12-31;57.8;
2019-01-31;115.6;
2019-02-28;98.2;
2019-03-31;170.4;
2019-04-30;174.2;
2019-05-31;152;
2019-06-30;265.6;
2019-07-31;122.6;
2019-08-31;265.8;
2019-09-30;65.8;
2019-10-31;23.2;
2019-11-30;8.2;
2019-12-31;34;
2020-01-31;22;
2020-02-29;118.6;
2020-03-31;138.4;
2020-04-30;243.4;
2020-05-31;372;
2020-06-30;398.4;
2020-07-31;228;
2020-08-31;149.6;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

