Nome: PALMARES
Codigo Estacao: A357
Latitude: -8.66666666
Longitude: -35.56805554
Altitude: 164.01
Situacao: Pane
Data Inicial: 2008-09-03
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-09-30;null;
2008-10-31;50.8;
2008-11-30;4.6;
2008-12-31;11.2;
2009-01-31;30.2;
2009-02-28;112.4;
2009-03-31;31.6;
2009-04-30;239;
2009-05-31;284;
2009-06-30;243.8;
2009-07-31;222.2;
2009-08-31;199;
2009-09-30;51.4;
2009-10-31;10.2;
2009-11-30;29.2;
2009-12-31;63.6;
2010-01-31;129.2;
2010-02-28;108;
2010-03-31;63;
2010-04-30;134.2;
2010-05-31;6;
2010-06-30;2;
2010-07-31;78.6;
2010-08-31;126.4;
2010-09-30;108.8;
2010-10-31;18.6;
2010-11-30;7.2;
2010-12-31;11.8;
2011-01-31;75.4;
2011-02-28;99.6;
2011-03-31;51.6;
2011-04-30;227;
2011-05-31;566;
2011-06-30;179;
2011-07-31;334;
2011-08-31;99.4;
2011-09-30;47.6;
2011-10-31;31.6;
2011-11-30;87.2;
2011-12-31;12.2;
2012-01-31;5.2;
2012-02-29;167.4;
2012-03-31;42.8;
2012-04-30;45.6;
2012-05-31;85;
2012-06-30;196.8;
2012-07-31;214.6;
2012-08-31;120.2;
2012-09-30;21.4;
2012-10-31;32.8;
2012-11-30;13.4;
2012-12-31;26.4;
2013-01-31;85.4;
2013-02-28;13.8;
2013-03-31;34.4;
2013-04-30;229.4;
2013-05-31;166;
2013-06-30;236.2;
2013-07-31;27.8;
2013-08-31;158.4;
2013-09-30;120.6;
2013-10-31;64.2;
2013-11-30;70.8;
2013-12-31;34.8;
2014-01-31;24.4;
2014-02-28;202;
2014-03-31;137.6;
2014-04-30;83;
2014-05-31;200.2;
2014-06-30;71.8;
2014-07-31;53.8;
2014-08-31;null;
2014-09-30;123.8;
2014-10-31;208.2;
2014-11-30;26.4;
2014-12-31;.2;
2015-01-31;.2;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;53.2;
2015-06-30;339.8;
2015-07-31;331;
2015-08-31;88.6;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;105.2;
2016-01-31;150.4;
2016-02-29;73.4;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;73.8;
2016-08-31;5.4;
2016-09-30;40;
2016-10-31;11.4;
2016-11-30;null;
2016-12-31;28.8;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;350.6;
2017-07-31;347;
2017-08-31;96;
2017-09-30;null;
2017-10-31;46;
2017-11-30;6;
2017-12-31;94.4;
2018-01-31;107;
2018-02-28;130.2;
2018-03-31;null;
2018-04-30;300.8;
2018-05-31;209.4;
2018-06-30;78.2;
2018-07-31;114.6;
2018-08-31;47.4;
2018-09-30;35.2;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;82.2;
2019-06-30;21;
2019-07-31;31;
2019-08-31;null;
2019-09-30;0;
2019-10-31;1;
2019-11-30;6;
2019-12-31;1;
2020-01-31;7.2;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;90.6;
2021-03-31;108.2;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

