Nome: ITAPIPOCA
Codigo Estacao: A359
Latitude: -3.48416666
Longitude: -39.5886111
Altitude: 104.49
Situacao: Pane
Data Inicial: 2008-09-04
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-09-30;null;
2008-10-31;1;
2008-11-30;null;
2008-12-31;null;
2009-01-31;126.2;
2009-02-28;236.8;
2009-03-31;429.8;
2009-04-30;478.2;
2009-05-31;360.4;
2009-06-30;110.6;
2009-07-31;51.4;
2009-08-31;5.2;
2009-09-30;0;
2009-10-31;null;
2009-11-30;1.8;
2009-12-31;4.2;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;114;
2010-05-31;117.2;
2010-06-30;49.6;
2010-07-31;6.8;
2010-08-31;0;
2010-09-30;0;
2010-10-31;1;
2010-11-30;2.4;
2010-12-31;38;
2011-01-31;311.2;
2011-02-28;257;
2011-03-31;204.2;
2011-04-30;367.4;
2011-05-31;162.2;
2011-06-30;91;
2011-07-31;36.4;
2011-08-31;10.8;
2011-09-30;0;
2011-10-31;26.6;
2011-11-30;1.4;
2011-12-31;1.8;
2012-01-31;45.2;
2012-02-29;216.8;
2012-03-31;216.6;
2012-04-30;95.8;
2012-05-31;30.4;
2012-06-30;37.4;
2012-07-31;3.6;
2012-08-31;0;
2012-09-30;0;
2012-10-31;1.2;
2012-11-30;0;
2012-12-31;.8;
2013-01-31;45.6;
2013-02-28;104.4;
2013-03-31;80.8;
2013-04-30;246.6;
2013-05-31;114.2;
2013-06-30;84.4;
2013-07-31;18;
2013-08-31;null;
2013-09-30;null;
2013-10-31;1.2;
2013-11-30;2.4;
2013-12-31;27;
2014-01-31;85.2;
2014-02-28;null;
2014-03-31;42.6;
2014-04-30;184.6;
2014-05-31;97.6;
2014-06-30;11.8;
2014-07-31;9.8;
2014-08-31;1.2;
2014-09-30;1;
2014-10-31;2.2;
2014-11-30;6.2;
2014-12-31;8.6;
2015-01-31;58.6;
2015-02-28;81.6;
2015-03-31;237;
2015-04-30;370;
2015-05-31;75;
2015-06-30;28.8;
2015-07-31;null;
2015-08-31;3.8;
2015-09-30;0;
2015-10-31;.4;
2015-11-30;0;
2015-12-31;31.4;
2016-01-31;293.8;
2016-02-29;94.8;
2016-03-31;149.4;
2016-04-30;194;
2016-05-31;30.2;
2016-06-30;34.6;
2016-07-31;.8;
2016-08-31;0;
2016-09-30;1;
2016-10-31;.4;
2016-11-30;0;
2016-12-31;6;
2017-01-31;68.8;
2017-02-28;200.2;
2017-03-31;242.2;
2017-04-30;175.6;
2017-05-31;98.6;
2017-06-30;47.6;
2017-07-31;11.4;
2017-08-31;0;
2017-09-30;0;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;101.8;
2018-02-28;293.6;
2018-03-31;186;
2018-04-30;null;
2018-05-31;null;
2018-06-30;1.2;
2018-07-31;2.8;
2018-08-31;.4;
2018-09-30;3;
2018-10-31;0;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;364;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

