Nome: SAO PEDRO DO PIAUI
Codigo Estacao: A362
Latitude: -5.91111111
Longitude: -42.7186111
Altitude: 295.81
Situacao: Desativada
Data Inicial: 2009-05-19
Data Final: 2019-11-12
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2009-05-31;null;
2009-06-30;33;
2009-07-31;25.6;
2009-08-31;13.6;
2009-09-30;0;
2009-10-31;67.8;
2009-11-30;29.6;
2009-12-31;173;
2010-01-31;101;
2010-02-28;86.6;
2010-03-31;208.2;
2010-04-30;111.8;
2010-05-31;21.8;
2010-06-30;36.2;
2010-07-31;4;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;90;
2011-01-31;293.2;
2011-02-28;296.6;
2011-03-31;286.4;
2011-04-30;177.6;
2011-05-31;79.6;
2011-06-30;.6;
2011-07-31;3.6;
2011-08-31;2.6;
2011-09-30;0;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;70.4;
2012-05-31;null;
2012-06-30;34.2;
2012-07-31;.2;
2012-08-31;0;
2012-09-30;.4;
2012-10-31;9.4;
2012-11-30;72.8;
2012-12-31;198.2;
2013-01-31;225.6;
2013-02-28;86.6;
2013-03-31;77.6;
2013-04-30;149.2;
2013-05-31;57.6;
2013-06-30;46;
2013-07-31;5;
2013-08-31;null;
2013-09-30;null;
2013-10-31;73.8;
2013-11-30;149.6;
2013-12-31;241;
2014-01-31;110.4;
2014-02-28;206.4;
2014-03-31;242;
2014-04-30;112.8;
2014-05-31;77.2;
2014-06-30;2.4;
2014-07-31;8.8;
2014-08-31;.4;
2014-09-30;3;
2014-10-31;55.8;
2014-11-30;28.2;
2014-12-31;83.6;
2015-01-31;98.4;
2015-02-28;332.8;
2015-03-31;159.8;
2015-04-30;100;
2015-05-31;42.2;
2015-06-30;5.8;
2015-07-31;4.6;
2015-08-31;null;
2015-09-30;.4;
2015-10-31;13.6;
2015-11-30;11.2;
2015-12-31;33.6;
2016-01-31;278.8;
2016-02-29;94;
2016-03-31;127.8;
2016-04-30;19.4;
2016-05-31;17.8;
2016-06-30;25.2;
2016-07-31;4.6;
2016-08-31;.2;
2016-09-30;7.8;
2016-10-31;35.8;
2016-11-30;6;
2016-12-31;23;
2017-01-31;160.6;
2017-02-28;193.4;
2017-03-31;41;
2017-04-30;null;
2017-05-31;null;
2017-06-30;2.6;
2017-07-31;0;
2017-08-31;5.2;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;62.6;
2018-01-31;12;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;6.4;
2018-06-30;1.6;
2018-07-31;0;
2018-08-31;0;
2018-09-30;4.8;
2018-10-31;1.6;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;5.2;
2019-10-31;null;
2019-11-30;null;

