Nome: GILBUES
Codigo Estacao: A364
Latitude: -9.87527777
Longitude: -45.34583333
Altitude: 425.1
Situacao: Operante
Data Inicial: 2009-05-15
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2009-05-31;null;
2009-06-30;.2;
2009-07-31;0;
2009-08-31;0;
2009-09-30;12;
2009-10-31;101.6;
2009-11-30;116.6;
2009-12-31;218.2;
2010-01-31;134.8;
2010-02-28;112.8;
2010-03-31;188.8;
2010-04-30;137.4;
2010-05-31;18;
2010-06-30;0;
2010-07-31;0;
2010-08-31;.2;
2010-09-30;0;
2010-10-31;152.2;
2010-11-30;139.2;
2010-12-31;107;
2011-01-31;140.8;
2011-02-28;194.8;
2011-03-31;143.2;
2011-04-30;10;
2011-05-31;5.4;
2011-06-30;0;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;222.8;
2011-11-30;119;
2011-12-31;192.8;
2012-01-31;165.4;
2012-02-29;135.8;
2012-03-31;135.6;
2012-04-30;36.4;
2012-05-31;27.4;
2012-06-30;2;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;2.8;
2012-11-30;293.4;
2012-12-31;38;
2013-01-31;170;
2013-02-28;90;
2013-03-31;116.2;
2013-04-30;59.6;
2013-05-31;null;
2013-06-30;null;
2013-07-31;0;
2013-08-31;0;
2013-09-30;0;
2013-10-31;46;
2013-11-30;286;
2013-12-31;292;
2014-01-31;45;
2014-02-28;38.2;
2014-03-31;86.6;
2014-04-30;131;
2014-05-31;81.4;
2014-06-30;0;
2014-07-31;0;
2014-08-31;0;
2014-09-30;.6;
2014-10-31;8.8;
2014-11-30;107.4;
2014-12-31;130.8;
2015-01-31;74.8;
2015-02-28;146.4;
2015-03-31;154.2;
2015-04-30;129.2;
2015-05-31;76;
2015-06-30;0;
2015-07-31;0;
2015-08-31;0;
2015-09-30;0;
2015-10-31;28.4;
2015-11-30;74.8;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;64.2;
2016-04-30;43.2;
2016-05-31;0;
2016-06-30;0;
2016-07-31;0;
2016-08-31;0;
2016-09-30;30.6;
2016-10-31;40;
2016-11-30;96.8;
2016-12-31;82.6;
2017-01-31;74.4;
2017-02-28;null;
2017-03-31;62.8;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;0;
2017-11-30;164;
2017-12-31;149;
2018-01-31;238.6;
2018-02-28;262.8;
2018-03-31;270.8;
2018-04-30;65.2;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;11.2;
2018-09-30;.8;
2018-10-31;136.6;
2018-11-30;93.6;
2018-12-31;220.6;
2019-01-31;107.4;
2019-02-28;142;
2019-03-31;146.6;
2019-04-30;114.6;
2019-05-31;19.8;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;1.6;
2019-10-31;79.4;
2019-11-30;11.2;
2019-12-31;35;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;61.2;
2021-11-30;373.4;
2021-12-31;250.2;
2022-01-31;null;

