Nome: OURICURI
Codigo Estacao: A366
Latitude: -7.88583333
Longitude: -40.10277777
Altitude: 457.85
Situacao: Pane
Data Inicial: 2010-08-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2010-08-31;null;
2010-09-30;3.6;
2010-10-31;34.4;
2010-11-30;0;
2010-12-31;104.6;
2011-01-31;73;
2011-02-28;112.6;
2011-03-31;135.4;
2011-04-30;89.6;
2011-05-31;154;
2011-06-30;10.6;
2011-07-31;8.8;
2011-08-31;25.6;
2011-09-30;1.6;
2011-10-31;64.2;
2011-11-30;57.6;
2011-12-31;28;
2012-01-31;55.2;
2012-02-29;79;
2012-03-31;24.2;
2012-04-30;7.2;
2012-05-31;6.2;
2012-06-30;0;
2012-07-31;9.4;
2012-08-31;2;
2012-09-30;.6;
2012-10-31;1;
2012-11-30;40.6;
2012-12-31;9.8;
2013-01-31;119.2;
2013-02-28;.8;
2013-03-31;53.2;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;2.6;
2013-09-30;0;
2013-10-31;.8;
2013-11-30;2.2;
2013-12-31;82;
2014-01-31;25;
2014-02-28;134;
2014-03-31;112.4;
2014-04-30;77.4;
2014-05-31;26.8;
2014-06-30;6.6;
2014-07-31;8.4;
2014-08-31;1;
2014-09-30;.6;
2014-10-31;9;
2014-11-30;45.6;
2014-12-31;91.6;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;90.6;
2015-06-30;9.6;
2015-07-31;20.2;
2015-08-31;2;
2015-09-30;51.4;
2015-10-31;0;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;25.4;
2016-04-30;33;
2016-05-31;43.2;
2016-06-30;15.4;
2016-07-31;3;
2016-08-31;.6;
2016-09-30;1.6;
2016-10-31;0;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;37.8;
2017-04-30;75.4;
2017-05-31;12.2;
2017-06-30;28.4;
2017-07-31;16.8;
2017-08-31;1.2;
2017-09-30;5.6;
2017-10-31;0;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;109.4;
2018-04-30;115.2;
2018-05-31;10;
2018-06-30;.8;
2018-07-31;.6;
2018-08-31;0;
2018-09-30;0;
2018-10-31;47.6;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;27;
2019-05-31;1.6;
2019-06-30;31.8;
2019-07-31;null;
2019-08-31;36.6;
2019-09-30;0;
2019-10-31;0;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;0;
2020-09-30;0;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

