Nome: TIANGUA
Codigo Estacao: A368
Latitude: -3.73222221
Longitude: -41.01194444
Altitude: 756
Situacao: Pane
Data Inicial: 2018-03-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-03-31;null;
2018-04-30;329.6;
2018-05-31;69.6;
2018-06-30;12.6;
2018-07-31;23.6;
2018-08-31;0;
2018-09-30;0;
2018-10-31;2.4;
2018-11-30;9.8;
2018-12-31;181.2;
2019-01-31;130.4;
2019-02-28;289.4;
2019-03-31;284.2;
2019-04-30;249.4;
2019-05-31;167.2;
2019-06-30;51.2;
2019-07-31;18.4;
2019-08-31;1.2;
2019-09-30;0;
2019-10-31;.6;
2019-11-30;42.2;
2019-12-31;13;
2020-01-31;187.2;
2020-02-29;180.8;
2020-03-31;265.4;
2020-04-30;157.6;
2020-05-31;82.6;
2020-06-30;12;
2020-07-31;16.6;
2020-08-31;16.6;
2020-09-30;.4;
2020-10-31;0;
2020-11-30;34.6;
2020-12-31;32.8;
2021-01-31;96;
2021-02-28;208.6;
2021-03-31;264.2;
2021-04-30;252.8;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

