Nome: SALGUEIRO
Codigo Estacao: A370
Latitude: -8.05805555
Longitude: -39.0961111
Altitude: 447
Situacao: Operante
Data Inicial: 2017-09-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-09-30;null;
2017-10-31;null;
2017-11-30;19;
2017-12-31;22.4;
2018-01-31;51.2;
2018-02-28;228.6;
2018-03-31;53.6;
2018-04-30;91.2;
2018-05-31;9;
2018-06-30;1.2;
2018-07-31;.6;
2018-08-31;.8;
2018-09-30;0;
2018-10-31;18.2;
2018-11-30;0;
2018-12-31;225.2;
2019-01-31;20.6;
2019-02-28;165.6;
2019-03-31;179.2;
2019-04-30;65.4;
2019-05-31;null;
2019-06-30;null;
2019-07-31;28.8;
2019-08-31;3.2;
2019-09-30;0;
2019-10-31;.8;
2019-11-30;19.6;
2019-12-31;12.2;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

