Nome: PIRANHAS
Codigo Estacao: A371
Latitude: -9.62222221
Longitude: -37.76722221
Altitude: 187
Situacao: Operante
Data Inicial: 2017-09-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-09-30;null;
2017-10-31;4.4;
2017-11-30;0;
2017-12-31;6.8;
2018-01-31;16.2;
2018-02-28;41.2;
2018-03-31;8;
2018-04-30;37;
2018-05-31;28.8;
2018-06-30;18.6;
2018-07-31;18.4;
2018-08-31;6.6;
2018-09-30;4.4;
2018-10-31;12.4;
2018-11-30;9.4;
2018-12-31;175.2;
2019-01-31;3.8;
2019-02-28;14.6;
2019-03-31;118;
2019-04-30;16.2;
2019-05-31;21.6;
2019-06-30;54.4;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;0;
2019-12-31;.2;
2020-01-31;74.6;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;5.4;
2021-04-30;55.4;
2021-05-31;118.6;
2021-06-30;53.8;
2021-07-31;50.2;
2021-08-31;22.6;
2021-09-30;42.6;
2021-10-31;7.6;
2021-11-30;56.6;
2021-12-31;147.6;
2022-01-31;null;

