Nome: IPANGUACU
Codigo Estacao: A372
Latitude: -5.53499999
Longitude: -36.87222221
Altitude: 19
Situacao: Operante
Data Inicial: 2017-11-07
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-11-30;null;
2017-12-31;.4;
2018-01-31;160.4;
2018-02-28;97;
2018-03-31;111.2;
2018-04-30;182.2;
2018-05-31;93.4;
2018-06-30;16;
2018-07-31;5.4;
2018-08-31;0;
2018-09-30;0;
2018-10-31;0;
2018-11-30;6.2;
2018-12-31;59.4;
2019-01-31;67;
2019-02-28;51.4;
2019-03-31;225;
2019-04-30;227.6;
2019-05-31;74.4;
2019-06-30;21.8;
2019-07-31;3.2;
2019-08-31;.4;
2019-09-30;0;
2019-10-31;67.4;
2019-11-30;null;
2019-12-31;null;
2020-01-31;42.2;
2020-02-29;null;
2020-03-31;207;
2020-04-30;241.8;
2020-05-31;47.2;
2020-06-30;31;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

