Nome: BAIXA GRANDE DO RIBEIRO
Codigo Estacao: A375
Latitude: -8.333531
Longitude: -45.094625
Altitude: 519
Situacao: Operante
Data Inicial: 2018-03-22
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-03-31;null;
2018-04-30;46.8;
2018-05-31;13.8;
2018-06-30;0;
2018-07-31;0;
2018-08-31;2.4;
2018-09-30;34.6;
2018-10-31;106.2;
2018-11-30;98.2;
2018-12-31;164.2;
2019-01-31;97.6;
2019-02-28;166.2;
2019-03-31;94.8;
2019-04-30;106.2;
2019-05-31;115.8;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;0;
2019-10-31;54;
2019-11-30;76.6;
2019-12-31;50.2;
2020-01-31;193;
2020-02-29;198.6;
2020-03-31;507.2;
2020-04-30;183.8;
2020-05-31;77;
2020-06-30;6;
2020-07-31;0;
2020-08-31;1.8;
2020-09-30;0;
2020-10-31;107.6;
2020-11-30;214.2;
2020-12-31;125.8;
2021-01-31;null;
2021-02-28;401.2;
2021-03-31;136.6;
2021-04-30;125.8;
2021-05-31;4;
2021-06-30;0;
2021-07-31;0;
2021-08-31;7.4;
2021-09-30;18.2;
2021-10-31;71.6;
2021-11-30;252.8;
2021-12-31;288.8;
2022-01-31;null;

