Nome: SALVADOR
Codigo Estacao: A401
Latitude: -13.005515
Longitude: -38.50576
Altitude: 47.56
Situacao: Operante
Data Inicial: 2000-05-12
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2000-05-31;null;
2000-06-30;null;
2000-07-31;null;
2000-08-31;null;
2000-09-30;null;
2000-10-31;null;
2000-11-30;76.2;
2000-12-31;91;
2001-01-31;98.8;
2001-02-28;30.4;
2001-03-31;249.8;
2001-04-30;109.2;
2001-05-31;207.8;
2001-06-30;200.4;
2001-07-31;228.6;
2001-08-31;134.2;
2001-09-30;null;
2001-10-31;210.6;
2001-11-30;null;
2001-12-31;118;
2002-01-31;null;
2002-02-28;104.8;
2002-03-31;100.2;
2002-04-30;71.8;
2002-05-31;null;
2002-06-30;null;
2002-07-31;266.6;
2002-08-31;139.8;
2002-09-30;267.2;
2002-10-31;null;
2002-11-30;null;
2002-12-31;null;
2003-01-31;null;
2003-02-28;null;
2003-03-31;210.6;
2003-04-30;196.8;
2003-05-31;571.4;
2003-06-30;248.6;
2003-07-31;195.4;
2003-08-31;136.2;
2003-09-30;160;
2003-10-31;null;
2003-11-30;143.8;
2003-12-31;29;
2004-01-31;305.6;
2004-02-29;168.6;
2004-03-31;130.4;
2004-04-30;285.6;
2004-05-31;164.8;
2004-06-30;314.6;
2004-07-31;226.2;
2004-08-31;132.8;
2004-09-30;43.8;
2004-10-31;88.2;
2004-11-30;144.2;
2004-12-31;13.2;
2005-01-31;null;
2005-02-28;347.4;
2005-03-31;320.6;
2005-04-30;null;
2005-05-31;207;
2005-06-30;null;
2005-07-31;null;
2005-08-31;92.2;
2005-09-30;null;
2005-10-31;3.2;
2005-11-30;14.2;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;94.4;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;65.6;
2008-09-30;41.6;
2008-10-31;34.8;
2008-11-30;82.2;
2008-12-31;112.2;
2009-01-31;32.4;
2009-02-28;128.4;
2009-03-31;26.4;
2009-04-30;110.2;
2009-05-31;2.2;
2009-06-30;null;
2009-07-31;167.2;
2009-08-31;104.2;
2009-09-30;59.6;
2009-10-31;91.2;
2009-11-30;49.4;
2009-12-31;7.8;
2010-01-31;86.4;
2010-02-28;13.2;
2010-03-31;56;
2010-04-30;21.4;
2010-05-31;247;
2010-06-30;105;
2010-07-31;534.4;
2010-08-31;187.2;
2010-09-30;62.8;
2010-10-31;60.2;
2010-11-30;31;
2010-12-31;73.2;
2011-01-31;50;
2011-02-28;6;
2011-03-31;189.4;
2011-04-30;348;
2011-05-31;323;
2011-06-30;186.4;
2011-07-31;24.6;
2011-08-31;3.8;
2011-09-30;64.2;
2011-10-31;213.6;
2011-11-30;195;
2011-12-31;98.4;
2012-01-31;16;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;417.4;
2012-06-30;170.2;
2012-07-31;163.2;
2012-08-31;137.6;
2012-09-30;33.2;
2012-10-31;65;
2012-11-30;12.4;
2012-12-31;12.8;
2013-01-31;37.2;
2013-02-28;30.2;
