Nome: BARREIRAS
Codigo Estacao: A402
Latitude: -12.12472221
Longitude: -45.02694443
Altitude: 474.17
Situacao: Operante
Data Inicial: 2001-12-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2001-12-31;null;
2002-01-31;0;
2002-02-28;0;
2002-03-31;27.8;
2002-04-30;31.8;
2002-05-31;32;
2002-06-30;null;
2002-07-31;null;
2002-08-31;null;
2002-09-30;null;
2002-10-31;null;
2002-11-30;null;
2002-12-31;null;
2003-01-31;null;
2003-02-28;null;
2003-03-31;135.4;
2003-04-30;105.4;
2003-05-31;7.2;
2003-06-30;0;
2003-07-31;0;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;172.6;
2006-01-31;2.2;
2006-02-28;null;
2006-03-31;163.2;
2006-04-30;null;
2006-05-31;null;
2006-06-30;0;
2006-07-31;0;
2006-08-31;2.4;
2006-09-30;14.2;
2006-10-31;125.8;
2006-11-30;46.6;
2006-12-31;0;
2007-01-31;.6;
2007-02-28;0;
2007-03-31;0;
2007-04-30;17.6;
2007-05-31;.8;
2007-06-30;0;
2007-07-31;0;
2007-08-31;0;
2007-09-30;0;
2007-10-31;.8;
2007-11-30;1;
2007-12-31;.4;
2008-01-31;null;
2008-02-29;null;
2008-03-31;267.2;
2008-04-30;118.2;
2008-05-31;13.2;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;9.6;
2008-10-31;.2;
2008-11-30;137.6;
2008-12-31;183;
2009-01-31;219.6;
2009-02-28;60;
2009-03-31;160.8;
2009-04-30;202.2;
2009-05-31;37.8;
2009-06-30;79.8;
2009-07-31;0;
2009-08-31;0;
2009-09-30;1.8;
2009-10-31;240.6;
2009-11-30;66.2;
2009-12-31;318;
2010-01-31;59.8;
2010-02-28;87.4;
2010-03-31;217;
2010-04-30;90.4;
2010-05-31;12.4;
2010-06-30;0;
2010-07-31;null;
2010-08-31;0;
2010-09-30;0;
2010-10-31;104.8;
2010-11-30;181.8;
2010-12-31;222.6;
2011-01-31;240.4;
2011-02-28;139.6;
2011-03-31;188;
2011-04-30;30.4;
2011-05-31;.4;
2011-06-30;0;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;178.6;
2011-11-30;238.6;
2011-12-31;217.8;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;.4;
2012-05-31;4.4;
2012-06-30;1.2;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;18.6;
2012-11-30;298.4;
2012-12-31;35.2;
2013-01-31;301.2;
2013-02-28;30.8;
2013-03-31;109;
2013-04-30;82.4;
2013-05-31;13.8;
2013-06-30;6.6;
2013-07-31;0;
2013-08-31;0;
2013-09-30;10.2;
2013-10-31;70.4;
2013-11-30;149.6;
2013-12-31;243.2;
2014-01-31;28;
2014-02-28;117.8;
2014-03-31;124.6;
2014-04-30;104.2;
2014-05-31;5.2;
2014-06-30;2.6;
2014-07-31;0;
2014-08-31;0;
2014-09-30;2;
2014-10-31;27.6;
2014-11-30;166;
2014-12-31;211.8;
2015-01-31;93.2;
2015-02-28;104.8;
2015-03-31;121.4;
2015-04-30;200.2;
2015-05-31;9.6;
2015-06-30;.4;
2015-07-31;0;
2015-08-31;0;
2015-09-30;0;
2015-10-31;6.4;
2015-11-30;114.8;
2015-12-31;45.2;
2016-01-31;590.2;
2016-02-29;6.8;
2016-03-31;52;
2016-04-30;12;
2016-05-31;.6;
2016-06-30;.2;
2016-07-31;0;
2016-08-31;.2;
2016-09-30;17.2;
2016-10-31;77.8;
2016-11-30;122;
2016-12-31;117.2;
2017-01-31;null;
2017-02-28;null;
2017-03-31;108.4;
2017-04-30;11.8;
2017-05-31;null;
2017-06-30;0;
2017-07-31;0;
2017-08-31;2;
2017-09-30;0;
2017-10-31;0;
2017-11-30;97.2;
2017-12-31;250.8;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;90.6;
2018-05-31;4.4;
2018-06-30;0;
2018-07-31;0;
2018-08-31;.4;
2018-09-30;0;
2018-10-31;27;
2018-11-30;220.8;
2018-12-31;288.2;
2019-01-31;56.4;
2019-02-28;174.8;
2019-03-31;283.8;
2019-04-30;79.2;
2019-05-31;27.4;
2019-06-30;0;
2019-07-31;null;
2019-08-31;null;
2019-09-30;2.8;
2019-10-31;56.8;
2019-11-30;126.4;
2019-12-31;55.8;
2020-01-31;233;
2020-02-29;26;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;.6;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;4.4;
2021-10-31;115.6;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

