Nome: AREMBEPE
Codigo Estacao: A403
Latitude: -12.762552
Longitude: -38.16906
Altitude: 4.87
Situacao: Desativada
Data Inicial: 2002-03-22
Data Final: 2013-10-12
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2002-03-31;null;
2002-04-30;null;
2002-05-31;null;
2002-06-30;null;
2002-07-31;null;
2002-08-31;null;
2002-09-30;null;
2002-10-31;null;
2002-11-30;17.8;
2002-12-31;null;
2003-01-31;9.4;
2003-02-28;41;
2003-03-31;168.2;
2003-04-30;185.4;
2003-05-31;202.2;
2003-06-30;89.8;
2003-07-31;105.6;
2003-08-31;55.6;
2003-09-30;60;
2003-10-31;46.2;
2003-11-30;63.8;
2003-12-31;8.8;
2004-01-31;498;
2004-02-29;64.8;
2004-03-31;44;
2004-04-30;147.2;
2004-05-31;59.6;
2004-06-30;118.6;
2004-07-31;168;
2004-08-31;108.6;
2004-09-30;26.6;
2004-10-31;20.6;
2004-11-30;72.4;
2004-12-31;2.4;
2005-01-31;92.6;
2005-02-28;null;
2005-03-31;167.6;
2005-04-30;268.6;
2005-05-31;null;
2005-06-30;119.2;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;159;
2005-12-31;69;
2006-01-31;10.8;
2006-02-28;null;
2006-03-31;39;
2006-04-30;null;
2006-05-31;null;
2006-06-30;292.6;
2006-07-31;52;
2006-08-31;24.2;
2006-09-30;null;
2006-10-31;null;
2006-11-30;93.8;
2006-12-31;9.8;
2007-01-31;22.6;
2007-02-28;91.6;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;38.4;
2007-10-31;46.4;
2007-11-30;7.6;
2007-12-31;64;
2008-01-31;12.4;
2008-02-29;106.2;
2008-03-31;null;
2008-04-30;null;
2008-05-31;109.2;
2008-06-30;59;
2008-07-31;48.6;
2008-08-31;39.2;
2008-09-30;21.4;
2008-10-31;22;
2008-11-30;18.2;
2008-12-31;112;
2009-01-31;48.2;
2009-02-28;44.2;
2009-03-31;19.6;
2009-04-30;163;
2009-05-31;342.4;
2009-06-30;93.8;
2009-07-31;46.2;
2009-08-31;27.2;
2009-09-30;null;
2009-10-31;null;
2009-11-30;12.8;
2009-12-31;4.8;
2010-01-31;62.8;
2010-02-28;19.4;
2010-03-31;93.4;
2010-04-30;476.4;
2010-05-31;157.8;
2010-06-30;null;
2010-07-31;null;
2010-08-31;55.8;
2010-09-30;42.2;
2010-10-31;79.2;
2010-11-30;.6;
2010-12-31;27.8;
2011-01-31;101.6;
2011-02-28;17.8;
2011-03-31;267.2;
2011-04-30;286.8;
2011-05-31;140;
2011-06-30;76;
2011-07-31;31.4;
2011-08-31;34.2;
2011-09-30;16;
2011-10-31;133.2;
2011-11-30;null;
2011-12-31;60.2;
2012-01-31;29;
2012-02-29;null;
2012-03-31;66.8;
2012-04-30;33.2;
2012-05-31;null;
2012-06-30;null;
2012-07-31;68.8;
2012-08-31;44.2;
2012-09-30;12.2;
2012-10-31;36.2;
2012-11-30;61.6;
2012-12-31;4;
2013-01-31;15.2;
2013-02-28;42.2;
2013-03-31;63.4;
2013-04-30;150.2;
2013-05-31;95.6;
2013-06-30;170.6;
2013-07-31;97.4;
2013-08-31;126.2;
2013-09-30;39.4;
2013-10-31;null;

