Nome: CRUZ DAS ALMAS
Codigo Estacao: A406
Latitude: -12.67555554
Longitude: -39.08944444
Altitude: 219.76
Situacao: Operante
Data Inicial: 2003-01-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2003-01-31;null;
2003-02-28;17;
2003-03-31;83.2;
2003-04-30;62.4;
2003-05-31;148.6;
2003-06-30;null;
2003-07-31;null;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;56.6;
2004-04-30;128;
2004-05-31;118.4;
2004-06-30;130.4;
2004-07-31;63.4;
2004-08-31;55.6;
2004-09-30;14.2;
2004-10-31;77.4;
2004-11-30;86.4;
2004-12-31;.6;
2005-01-31;65.6;
2005-02-28;null;
2005-03-31;84.6;
2005-04-30;124.6;
2005-05-31;null;
2005-06-30;212.4;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;15.6;
2005-11-30;141;
2005-12-31;52;
2006-01-31;65.8;
2006-02-28;null;
2006-03-31;40;
2006-04-30;null;
2006-05-31;null;
2006-06-30;276.2;
2006-07-31;71.6;
2006-08-31;75.8;
2006-09-30;115.4;
2006-10-31;95;
2006-11-30;92;
2006-12-31;13.6;
2007-01-31;8.2;
2007-02-28;151.4;
2007-03-31;153;
2007-04-30;76;
2007-05-31;101.6;
2007-06-30;171.6;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;74;
2008-09-30;68.8;
2008-10-31;66;
2008-11-30;48.4;
2008-12-31;90.2;
2009-01-31;34.2;
2009-02-28;48.8;
2009-03-31;9.8;
2009-04-30;102.8;
2009-05-31;253;
2009-06-30;97.2;
2009-07-31;133.6;
2009-08-31;79.2;
2009-09-30;48.2;
2009-10-31;44.6;
2009-11-30;13.6;
2009-12-31;16;
2010-01-31;null;
2010-02-28;38.2;
2010-03-31;143.6;
2010-04-30;241;
2010-05-31;70;
2010-06-30;101.8;
2010-07-31;281.4;
2010-08-31;82;
2010-09-30;79.8;
2010-10-31;34.6;
2010-11-30;4.8;
2010-12-31;99.6;
2011-01-31;null;
2011-02-28;55.2;
2011-03-31;77.6;
2011-04-30;131;
2011-05-31;132.2;
2011-06-30;158.2;
2011-07-31;71;
2011-08-31;108.8;
2011-09-30;84;
2011-10-31;92;
2011-11-30;73.6;
2011-12-31;20.8;
2012-01-31;null;
2012-02-29;52.2;
2012-03-31;17.2;
2012-04-30;53.2;
2012-05-31;73.8;
2012-06-30;109.4;
2012-07-31;96.2;
2012-08-31;134;
2012-09-30;48;
2012-10-31;34.8;
2012-11-30;50.4;
2012-12-31;11;
2013-01-31;103;
2013-02-28;82.2;
2013-03-31;20.2;
2013-04-30;136.2;
2013-05-31;61;
2013-06-30;null;
2013-07-31;59;
2013-08-31;112;
2013-09-30;74;
2013-10-31;72.2;
2013-11-30;88.8;
2013-12-31;74.6;
2014-01-31;29.6;
2014-02-28;125.8;
2014-03-31;78.4;
2014-04-30;72.2;
2014-05-31;161.2;
2014-06-30;84;
2014-07-31;198.6;
2014-08-31;80.8;
2014-09-30;80.8;
2014-10-31;26.2;
2014-11-30;35.8;
2014-12-31;58.2;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;199.4;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;16;
2015-11-30;1.6;
2015-12-31;null;
2016-01-31;165;
2016-02-29;48;
2016-03-31;45.8;
2016-04-30;67;
2016-05-31;145.8;
2016-06-30;76.4;
2016-07-31;78.4;
2016-08-31;140;
2016-09-30;66.8;
2016-10-31;59;
2016-11-30;33.2;
2016-12-31;55.6;
2017-01-31;16.4;
2017-02-28;39.2;
2017-03-31;41.6;
2017-04-30;145.4;
2017-05-31;161.4;
2017-06-30;136.2;
2017-07-31;155.8;
2017-08-31;51.4;
2017-09-30;156.2;
2017-10-31;33.4;
2017-11-30;65.8;
2017-12-31;116;
2018-01-31;55.2;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;180.6;
2018-06-30;156.8;
2018-07-31;54.4;
2018-08-31;61;
2018-09-30;48.2;
2018-10-31;18.2;
2018-11-30;97;
2018-12-31;118.4;
2019-01-31;23.8;
2019-02-28;43.2;
2019-03-31;156.4;
2019-04-30;61;
2019-05-31;66.6;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;28.8;
2019-11-30;54.4;
2019-12-31;23.4;
2020-01-31;108.6;
2020-02-29;26.6;
2020-03-31;124.8;
2020-04-30;103;
2020-05-31;189.8;
2020-06-30;174.6;
2020-07-31;184.4;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;223.8;
2022-01-31;null;

