Nome: ITIRUCU
Codigo Estacao: A407
Latitude: -13.527828
Longitude: -40.119752
Altitude: 757.42
Situacao: Operante
Data Inicial: 2003-02-08
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2003-02-28;null;
2003-03-31;29.4;
2003-04-30;56.4;
2003-05-31;97.2;
2003-06-30;68.6;
2003-07-31;71.6;
2003-08-31;72.8;
2003-09-30;46.4;
2003-10-31;17.4;
2003-11-30;26.2;
2003-12-31;30.2;
2004-01-31;190.4;
2004-02-29;67.6;
2004-03-31;159;
2004-04-30;32.6;
2004-05-31;90.8;
2004-06-30;67;
2004-07-31;67.4;
2004-08-31;5.8;
2004-09-30;14.2;
2004-10-31;37.2;
2004-11-30;140.6;
2004-12-31;21;
2005-01-31;13.2;
2005-02-28;null;
2005-03-31;102;
2005-04-30;129.8;
2005-05-31;null;
2005-06-30;72.8;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;10.8;
2005-11-30;null;
2005-12-31;54;
2006-01-31;48.4;
2006-02-28;null;
2006-03-31;168.2;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;81;
2007-09-30;64.2;
2007-10-31;33;
2007-11-30;140.8;
2007-12-31;111.6;
2008-01-31;8.4;
2008-02-29;179.2;
2008-03-31;139;
2008-04-30;33.2;
2008-05-31;29.6;
2008-06-30;102.4;
2008-07-31;68.2;
2008-08-31;37.2;
2008-09-30;66.6;
2008-10-31;15;
2008-11-30;65.2;
2008-12-31;124.8;
2009-01-31;121.4;
2009-02-28;40.8;
2009-03-31;24;
2009-04-30;130;
2009-05-31;62.2;
2009-06-30;58.8;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;56.2;
2010-02-28;31.4;
2010-03-31;189;
2010-04-30;112.2;
2010-05-31;25.6;
2010-06-30;31;
2010-07-31;113.2;
2010-08-31;44.2;
2010-09-30;72.4;
2010-10-31;57.6;
2010-11-30;63.6;
2010-12-31;129.8;
2011-01-31;124.6;
2011-02-28;14.8;
2011-03-31;109.4;
2011-04-30;123;
2011-05-31;64.6;
2011-06-30;33.8;
2011-07-31;79.6;
2011-08-31;48.2;
2011-09-30;51;
2011-10-31;79.8;
2011-11-30;78.8;
2011-12-31;null;
2012-01-31;3.8;
2012-02-29;null;
2012-03-31;3.6;
2012-04-30;null;
2012-05-31;63.8;
2012-06-30;43.8;
2012-07-31;40.4;
2012-08-31;73.2;
2012-09-30;13.4;
2012-10-31;30.6;
2012-11-30;57.6;
2012-12-31;1;
2013-01-31;104;
2013-02-28;76.8;
2013-03-31;22.8;
2013-04-30;35;
2013-05-31;39.4;
2013-06-30;71.6;
2013-07-31;68.4;
2013-08-31;71.6;
2013-09-30;59.4;
2013-10-31;17.4;
2013-11-30;69.4;
2013-12-31;140.6;
2014-01-31;71;
2014-02-28;93.4;
2014-03-31;54.8;
2014-04-30;94.2;
2014-05-31;80;
2014-06-30;47.4;
2014-07-31;136.6;
2014-08-31;31;
2014-09-30;29.4;
2014-10-31;13.6;
2014-11-30;157.2;
2014-12-31;171.4;
2015-01-31;76;
2015-02-28;182.4;
2015-03-31;58;
2015-04-30;70.2;
2015-05-31;68;
2015-06-30;115.4;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;25.6;
2015-11-30;12.8;
2015-12-31;4.2;
2016-01-31;197.2;
2016-02-29;18.6;
2016-03-31;13.2;
2016-04-30;29;
2016-05-31;29.8;
2016-06-30;59;
2016-07-31;62;
2016-08-31;71;
2016-09-30;46;
2016-10-31;50.6;
2016-11-30;38.4;
2016-12-31;94;
2017-01-31;8.6;
2017-02-28;66.6;
2017-03-31;81.8;
2017-04-30;54.4;
2017-05-31;44;
2017-06-30;66.4;
2017-07-31;80.8;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;90.6;
2018-01-31;55.2;
2018-02-28;96;
2018-03-31;60.8;
2018-04-30;69.6;
2018-05-31;82.6;
2018-06-30;66.4;
2018-07-31;32;
2018-08-31;46.2;
2018-09-30;32.2;
2018-10-31;46.6;
2018-11-30;52.4;
2018-12-31;152;
2019-01-31;34.8;
2019-02-28;null;
2019-03-31;195.2;
2019-04-30;31.2;
2019-05-31;60.8;
2019-06-30;89.8;
2019-07-31;52.8;
2019-08-31;70.8;
2019-09-30;38;
2019-10-31;22.8;
2019-11-30;22;
2019-12-31;42.8;
2020-01-31;134.6;
2020-02-29;12.4;
2020-03-31;126.8;
2020-04-30;157.8;
2020-05-31;47.8;
2020-06-30;91.8;
2020-07-31;72.2;
2020-08-31;87;
2020-09-30;37.8;
2020-10-31;111.2;
2020-11-30;137.4;
2020-12-31;2.4;
2021-01-31;35.8;
2021-02-28;61.2;
2021-03-31;40.8;
2021-04-30;74.8;
2021-05-31;25.2;
2021-06-30;68.4;
2021-07-31;130.8;
2021-08-31;44;
2021-09-30;16;
2021-10-31;103;
2021-11-30;299.4;
2021-12-31;429.6;
2022-01-31;null;

