Nome: ITABERABA
Codigo Estacao: A408
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Operante
Data Inicial: 2003-01-28
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2003-01-31;null;
2003-02-28;15.4;
2003-03-31;7.8;
2003-04-30;12.8;
2003-05-31;70.6;
2003-06-30;47;
2003-07-31;43.4;
2003-08-31;33.4;
2003-09-30;15.2;
2003-10-31;2.4;
2003-11-30;81.6;
2003-12-31;7.6;
2004-01-31;295.6;
2004-02-29;52.4;
2004-03-31;89.2;
2004-04-30;34.4;
2004-05-31;38.6;
2004-06-30;42.6;
2004-07-31;49.2;
2004-08-31;.2;
2004-09-30;3.2;
2004-10-31;33.8;
2004-11-30;85;
2004-12-31;23.2;
2005-01-31;63.4;
2005-02-28;null;
2005-03-31;27;
2005-04-30;102.8;
2005-05-31;null;
2005-06-30;70.4;
2005-07-31;null;
2005-08-31;null;
2005-09-30;9.2;
2005-10-31;null;
2005-11-30;124.8;
2005-12-31;54.4;
2006-01-31;14.4;
2006-02-28;null;
2006-03-31;115.8;
2006-04-30;null;
2006-05-31;null;
2006-06-30;60.8;
2006-07-31;25.2;
2006-08-31;21.2;
2006-09-30;14.6;
2006-10-31;109.2;
2006-11-30;89;
2006-12-31;19.4;
2007-01-31;8.4;
2007-02-28;254.4;
2007-03-31;54.8;
2007-04-30;78.2;
2007-05-31;26.4;
2007-06-30;60.6;
2007-07-31;19;
2007-08-31;45.4;
2007-09-30;23.6;
2007-10-31;9.8;
2007-11-30;58.4;
2007-12-31;64.8;
2008-01-31;3.2;
2008-02-29;181;
2008-03-31;76.8;
2008-04-30;22.2;
2008-05-31;14.8;
2008-06-30;48.4;
2008-07-31;19.2;
2008-08-31;14.2;
2008-09-30;9.4;
2008-10-31;null;
2008-11-30;null;
2008-12-31;174.6;
2009-01-31;78.2;
2009-02-28;50.6;
2009-03-31;7.4;
2009-04-30;93.2;
2009-05-31;37;
2009-06-30;36.2;
2009-07-31;null;
2009-08-31;null;
2009-09-30;17.6;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;49.4;
2010-02-28;38.2;
2010-03-31;296.4;
2010-04-30;65.8;
2010-05-31;30;
2010-06-30;4.2;
2010-07-31;94.4;
2010-08-31;23;
2010-09-30;16.8;
2010-10-31;57.6;
2010-11-30;5;
2010-12-31;58.2;
2011-01-31;59;
2011-02-28;13;
2011-03-31;34.6;
2011-04-30;44.4;
2011-05-31;8;
2011-06-30;10.6;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;15.4;
2011-11-30;94.8;
2011-12-31;104.4;
2012-01-31;8;
2012-02-29;22.8;
2012-03-31;5.8;
2012-04-30;7.6;
2012-05-31;19.2;
2012-06-30;31;
2012-07-31;24.2;
2012-08-31;26.2;
2012-09-30;1.4;
2012-10-31;5.4;
2012-11-30;35.8;
2012-12-31;1.4;
2013-01-31;200.2;
2013-02-28;9.8;
2013-03-31;5;
2013-04-30;8.4;
2013-05-31;16.6;
2013-06-30;22.6;
2013-07-31;33.4;
2013-08-31;31.6;
2013-09-30;43.8;
2013-10-31;5.6;
2013-11-30;51;
2013-12-31;null;
2014-01-31;.8;
2014-02-28;25.2;
2014-03-31;40.6;
2014-04-30;21;
2014-05-31;7.6;
2014-06-30;26.6;
2014-07-31;41.6;
2014-08-31;7;
2014-09-30;18.4;
2014-10-31;5.6;
2014-11-30;87.6;
2014-12-31;222.4;
2015-01-31;5.6;
2015-02-28;149.6;
2015-03-31;5.4;
2015-04-30;62.2;
2015-05-31;21.8;
2015-06-30;null;
2015-07-31;32.2;
2015-08-31;20;
2015-09-30;1.8;
2015-10-31;14.6;
2015-11-30;38.8;
2015-12-31;4.2;
2016-01-31;304.6;
2016-02-29;1.8;
2016-03-31;16.2;
2016-04-30;13.6;
2016-05-31;1.6;
2016-06-30;null;
2016-07-31;12.2;
2016-08-31;32.2;
2016-09-30;28.8;
2016-10-31;40.4;
2016-11-30;53;
2016-12-31;35;
2017-01-31;14.4;
2017-02-28;13.2;
2017-03-31;23.6;
2017-04-30;85.8;
2017-05-31;36;
2017-06-30;32.6;
2017-07-31;35.8;
2017-08-31;8.8;
2017-09-30;28.2;
2017-10-31;8.6;
2017-11-30;54.8;
2017-12-31;92;
2018-01-31;102;
2018-02-28;46.2;
2018-03-31;50.2;
2018-04-30;29.6;
2018-05-31;33.4;
2018-06-30;35.4;
2018-07-31;18.4;
2018-08-31;23;
2018-09-30;8.4;
2018-10-31;3.6;
2018-11-30;31.8;
2018-12-31;92.8;
2019-01-31;18.2;
2019-02-28;19.6;
2019-03-31;null;
2019-04-30;13;
2019-05-31;17.4;
2019-06-30;42.2;
2019-07-31;41.8;
2019-08-31;46.8;
2019-09-30;38;
2019-10-31;7.4;
2019-11-30;15.6;
2019-12-31;16;
2020-01-31;42.8;
2020-02-29;17.8;
2020-03-31;17.4;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

