Nome: ARACAJU
Codigo Estacao: A409
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.72
Situacao: Operante
Data Inicial: 2003-02-11
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2003-02-28;null;
2003-03-31;50.6;
2003-04-30;65.6;
2003-05-31;268.8;
2003-06-30;197.4;
2003-07-31;197;
2003-08-31;113.6;
2003-09-30;67.6;
2003-10-31;175.2;
2003-11-30;150.2;
2003-12-31;47.8;
2004-01-31;272;
2004-02-29;49.8;
2004-03-31;55;
2004-04-30;83.8;
2004-05-31;187.8;
2004-06-30;135.6;
2004-07-31;218.4;
2004-08-31;210.4;
2004-09-30;72.6;
2004-10-31;7.2;
2004-11-30;26;
2004-12-31;0;
2005-01-31;49;
2005-02-28;null;
2005-03-31;3.8;
2005-04-30;0;
2005-05-31;null;
2005-06-30;131.2;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;5;
2005-12-31;28.2;
2006-01-31;30;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;9;
2007-01-31;27.8;
2007-02-28;null;
2007-03-31;null;
2007-04-30;130.4;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;2.2;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;157.6;
2008-05-31;442.8;
2008-06-30;142.6;
2008-07-31;108.8;
2008-08-31;.2;
2008-09-30;0;
2008-10-31;0;
2008-11-30;4.6;
2008-12-31;7;
2009-01-31;26.6;
2009-02-28;31.4;
2009-03-31;1.8;
2009-04-30;4;
2009-05-31;.4;
2009-06-30;0;
2009-07-31;126.6;
2009-08-31;217;
2009-09-30;75.2;
2009-10-31;null;
2009-11-30;null;
2009-12-31;20.4;
2010-01-31;33.2;
2010-02-28;94.4;
2010-03-31;37.6;
2010-04-30;444.8;
2010-05-31;170.4;
2010-06-30;320.8;
2010-07-31;183.8;
2010-08-31;121.4;
2010-09-30;95.4;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;116.4;
2011-02-28;29.4;
2011-03-31;55.4;
2011-04-30;244.4;
2011-05-31;365.4;
2011-06-30;111.4;
2011-07-31;150.6;
2011-08-31;94.4;
2011-09-30;67.4;
2011-10-31;118.8;
2011-11-30;48.2;
2011-12-31;5.2;
2012-01-31;18.6;
2012-02-29;109.8;
2012-03-31;26;
2012-04-30;36.6;
2012-05-31;175.4;
2012-06-30;167.8;
2012-07-31;140.6;
2012-08-31;126;
2012-09-30;103;
2012-10-31;108.6;
2012-11-30;8.2;
2012-12-31;4;
2013-01-31;9;
2013-02-28;23;
2013-03-31;29.4;
2013-04-30;227.2;
2013-05-31;110;
2013-06-30;null;
2013-07-31;null;
2013-08-31;66.4;
2013-09-30;40.4;
2013-10-31;186.4;
2013-11-30;170;
2013-12-31;71.6;
2014-01-31;21.2;
2014-02-28;82.8;
2014-03-31;111.2;
2014-04-30;227.8;
2014-05-31;204.6;
2014-06-30;168;
2014-07-31;216.4;
2014-08-31;93;
2014-09-30;70.6;
2014-10-31;57.8;
2014-11-30;70.6;
2014-12-31;21.2;
2015-01-31;41.8;
2015-02-28;68.2;
2015-03-31;76.4;
2015-04-30;177.2;
2015-05-31;451.6;
2015-06-30;229.6;
2015-07-31;255.2;
2015-08-31;107.6;
2015-09-30;27.6;
2015-10-31;41.2;
2015-11-30;10;
2015-12-31;32.8;
2016-01-31;83;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;205.6;
2016-06-30;225.8;
2016-07-31;52.8;
2016-08-31;64.4;
2016-09-30;39.4;
2016-10-31;17.8;
2016-11-30;15.6;
2016-12-31;39;
2017-01-31;3.8;
2017-02-28;17.6;
2017-03-31;58.4;
2017-04-30;null;
2017-05-31;261;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;88.2;
2017-11-30;28.2;
2017-12-31;21.2;
2018-01-31;14.8;
2018-02-28;88.8;
2018-03-31;142.2;
2018-04-30;90.8;
2018-05-31;null;
2018-06-30;null;
2018-07-31;90.8;
2018-08-31;25.2;
2018-09-30;15.8;
2018-10-31;23;
2018-11-30;28;
2018-12-31;8.6;
2019-01-31;12.6;
2019-02-28;40.8;
2019-03-31;132.8;
2019-04-30;124.6;
2019-05-31;166.6;
2019-06-30;290;
2019-07-31;372.2;
2019-08-31;102.8;
2019-09-30;95.6;
2019-10-31;91;
2019-11-30;14.2;
2019-12-31;8;
2020-01-31;19;
2020-02-29;129.6;
2020-03-31;187.6;
2020-04-30;284.6;
2020-05-31;197.6;
2020-06-30;274.4;
2020-07-31;70;
2020-08-31;131.4;
2020-09-30;45;
2020-10-31;20;
2020-11-30;58.8;
2020-12-31;8.2;
2021-01-31;124.4;
2021-02-28;14;
2021-03-31;72.6;
2021-04-30;131;
2021-05-31;200;
2021-06-30;86.6;
2021-07-31;274.2;
2021-08-31;68.6;
2021-09-30;50.6;
2021-10-31;46.4;
2021-11-30;80.2;
2021-12-31;null;
2022-01-31;null;

