Nome: ILHEUS
Codigo Estacao: A410
Latitude: -14.65888888
Longitude: -39.18138888
Altitude: 80.21
Situacao: Operante
Data Inicial: 2003-01-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2003-01-31;null;
2003-02-28;122.2;
2003-03-31;177.8;
2003-04-30;162;
2003-05-31;null;
2003-06-30;167.8;
2003-07-31;147;
2003-08-31;204;
2003-09-30;105.6;
2003-10-31;54.8;
2003-11-30;45.2;
2003-12-31;101.2;
2004-01-31;135.8;
2004-02-29;153.8;
2004-03-31;405.4;
2004-04-30;176.2;
2004-05-31;253;
2004-06-30;180.2;
2004-07-31;157.8;
2004-08-31;28.6;
2004-09-30;42;
2004-10-31;89.4;
2004-11-30;336.8;
2004-12-31;25.6;
2005-01-31;178;
2005-02-28;null;
2005-03-31;138.8;
2005-04-30;287.4;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;302.8;
2005-12-31;111.6;
2006-01-31;147.2;
2006-02-28;null;
2006-03-31;192.2;
2006-04-30;null;
2006-05-31;null;
2006-06-30;526;
2006-07-31;116.6;
2006-08-31;136.8;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;214.2;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;70;
2010-09-30;115.4;
2010-10-31;93;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;130;
2011-03-31;251.4;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;90.2;
2011-09-30;44.4;
2011-10-31;null;
2011-11-30;null;
2011-12-31;114.6;
2012-01-31;103;
2012-02-29;184.6;
2012-03-31;44.4;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;110.2;
2012-08-31;284.8;
2012-09-30;48.6;
2012-10-31;145;
2012-11-30;136.8;
2012-12-31;25.6;
2013-01-31;189.6;
2013-02-28;235;
2013-03-31;53.4;
2013-04-30;null;
2013-05-31;null;
2013-06-30;238.6;
2013-07-31;117.2;
2013-08-31;138.6;
2013-09-30;167.8;
2013-10-31;121.4;
2013-11-30;427.6;
2013-12-31;78.8;
2014-01-31;257.8;
2014-02-28;173.6;
2014-03-31;264.6;
2014-04-30;51.6;
2014-05-31;89.8;
2014-06-30;211.6;
2014-07-31;292;
2014-08-31;48.6;
2014-09-30;102.8;
2014-10-31;75;
2014-11-30;203.8;
2014-12-31;null;
2015-01-31;null;
2015-02-28;114.2;
2015-03-31;77.2;
2015-04-30;43.2;
2015-05-31;124.4;
2015-06-30;465.4;
2015-07-31;160.6;
2015-08-31;163.4;
2015-09-30;21.6;
2015-10-31;33.4;
2015-11-30;17.8;
2015-12-31;25.6;
2016-01-31;130;
2016-02-29;41.2;
2016-03-31;103.6;
2016-04-30;119.8;
2016-05-31;53.8;
2016-06-30;81.4;
2016-07-31;163.8;
2016-08-31;200.8;
2016-09-30;98.4;
2016-10-31;179.6;
2016-11-30;169.8;
2016-12-31;55;
2017-01-31;45.8;
2017-02-28;233;
2017-03-31;179.2;
2017-04-30;158.4;
2017-05-31;162.8;
2017-06-30;null;
2017-07-31;null;
2017-08-31;58;
2017-09-30;165;
2017-10-31;83.4;
2017-11-30;236;
2017-12-31;48.4;
2018-01-31;123.4;
2018-02-28;92.2;
2018-03-31;100.4;
2018-04-30;201;
2018-05-31;204.4;
2018-06-30;181.2;
2018-07-31;148.4;
2018-08-31;129.6;
2018-09-30;59;
2018-10-31;49.8;
2018-11-30;205.4;
2018-12-31;131.2;
2019-01-31;66.2;
2019-02-28;38.4;
2019-03-31;182.8;
2019-04-30;133.6;
2019-05-31;130.6;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;249.4;
2020-12-31;118.2;
2021-01-31;264.2;
2021-02-28;null;
2021-03-31;null;
2021-04-30;133;
2021-05-31;56.2;
2021-06-30;154;
2021-07-31;68.8;
2021-08-31;120;
2021-09-30;59.2;
2021-10-31;142.8;
2021-11-30;213.6;
2021-12-31;407.4;
2022-01-31;null;

