Nome: PAULO AFONSO
Codigo Estacao: A411
Latitude: -9.37805554
Longitude: -38.22666666
Altitude: 255.04
Situacao: Desativada
Data Inicial: 2003-02-14
Data Final: 2017-03-12
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2003-02-28;null;
2003-03-31;null;
2003-04-30;null;
2003-05-31;null;
2003-06-30;null;
2003-07-31;null;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;.8;
2004-05-31;130.2;
2004-06-30;55.2;
2004-07-31;22.2;
2004-08-31;41.8;
2004-09-30;8.4;
2004-10-31;0;
2004-11-30;4;
2004-12-31;4.8;
2005-01-31;null;
2005-02-28;null;
2005-03-31;282.4;
2005-04-30;116;
2005-05-31;null;
2005-06-30;54.2;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;.2;
2006-02-28;null;
2006-03-31;66.4;
2006-04-30;null;
2006-05-31;null;
2006-06-30;142;
2006-07-31;120.2;
2006-08-31;24.4;
2006-09-30;48;
2006-10-31;34.6;
2006-11-30;9.8;
2006-12-31;null;
2007-01-31;2;
2007-02-28;17.6;
2007-03-31;0;
2007-04-30;1.4;
2007-05-31;.6;
2007-06-30;70.6;
2007-07-31;38.2;
2007-08-31;58.4;
2007-09-30;23.6;
2007-10-31;.8;
2007-11-30;0;
2007-12-31;null;
2008-01-31;0;
2008-02-29;57.8;
2008-03-31;103.8;
2008-04-30;61.8;
2008-05-31;69.8;
2008-06-30;39.2;
2008-07-31;102.2;
2008-08-31;41;
2008-09-30;11.8;
2008-10-31;3;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;178.6;
2009-05-31;null;
2009-06-30;null;
2009-07-31;46.6;
2009-08-31;64.4;
2009-09-30;2.4;
2009-10-31;84.8;
2009-11-30;5.4;
2009-12-31;41;
2010-01-31;34.4;
2010-02-28;43.8;
2010-03-31;67.6;
2010-04-30;159.4;
2010-05-31;64.4;
2010-06-30;.4;
2010-07-31;0;
2010-08-31;0;
2010-09-30;1;
2010-10-31;14.4;
2010-11-30;0;
2010-12-31;19.2;
2011-01-31;37.8;
2011-02-28;30.4;
2011-03-31;null;
2011-04-30;null;
2011-05-31;63;
2011-06-30;28.2;
2011-07-31;57.2;
2011-08-31;32.4;
2011-09-30;34.6;
2011-10-31;45.8;
2011-11-30;7.2;
2011-12-31;0;
2012-01-31;.2;
2012-02-29;67.8;
2012-03-31;1.4;
2012-04-30;4;
2012-05-31;22.2;
2012-06-30;24;
2012-07-31;62.4;
2012-08-31;42;
2012-09-30;20;
2012-10-31;2.6;
2012-11-30;9.6;
2012-12-31;null;
2013-01-31;53.4;
2013-02-28;0;
2013-03-31;0;
2013-04-30;56;
2013-05-31;66.8;
2013-06-30;13.2;
2013-07-31;93.4;
2013-08-31;27;
2013-09-30;3.2;
2013-10-31;66;
2013-11-30;.4;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;77.8;
2014-05-31;62.2;
2014-06-30;37.2;
2014-07-31;82.6;
2014-08-31;47;
2014-09-30;21.4;
2014-10-31;14.6;
2014-11-30;35;
2014-12-31;6.2;
2015-01-31;5.2;
2015-02-28;57.6;
2015-03-31;13.6;
2015-04-30;44.2;
2015-05-31;null;
2015-06-30;32.6;
2015-07-31;52.2;
2015-08-31;12.2;
2015-09-30;7.8;
2015-10-31;13.6;
2015-11-30;0;
2015-12-31;35.2;
2016-01-31;179.2;
2016-02-29;65.6;
2016-03-31;.4;
2016-04-30;7.4;
2016-05-31;29;
2016-06-30;60;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;4;
2016-11-30;1.8;
2016-12-31;1;
2017-01-31;0;
2017-02-28;.6;
2017-03-31;null;

