Nome: MACAJUBA
Codigo Estacao: A412
Latitude: -12.13166666
Longitude: -40.35416666
Altitude: 338.85
Situacao: Pane
Data Inicial: 2003-02-02
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2003-02-28;14.6;
2003-03-31;45.6;
2003-04-30;6;
2003-05-31;null;
2003-06-30;79.6;
2003-07-31;46.8;
2003-08-31;37.6;
2003-09-30;49.2;
2003-10-31;2.6;
2003-11-30;67.6;
2003-12-31;38.8;
2004-01-31;406.2;
2004-02-29;35.6;
2004-03-31;111.6;
2004-04-30;70.6;
2004-05-31;54.6;
2004-06-30;45.4;
2004-07-31;48.4;
2004-08-31;6.4;
2004-09-30;8.2;
2004-10-31;16.8;
2004-11-30;110.6;
2004-12-31;0;
2005-01-31;74.4;
2005-02-28;null;
2005-03-31;49;
2005-04-30;129.8;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;8.8;
2005-11-30;132.4;
2005-12-31;75.2;
2006-01-31;27.8;
2006-02-28;null;
2006-03-31;169.8;
2006-04-30;null;
2006-05-31;null;
2006-06-30;.2;
2006-07-31;2;
2006-08-31;7.4;
2006-09-30;17.6;
2006-10-31;24.2;
2006-11-30;null;
2006-12-31;null;
2007-01-31;.8;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;65.6;
2007-09-30;56.6;
2007-10-31;25.4;
2007-11-30;61.8;
2007-12-31;50.4;
2008-01-31;.4;
2008-02-29;143;
2008-03-31;null;
2008-04-30;null;
2008-05-31;0;
2008-06-30;40;
2008-07-31;31.2;
2008-08-31;18.6;
2008-09-30;26;
2008-10-31;14.4;
2008-11-30;null;
2008-12-31;102.2;
2009-01-31;30.4;
2009-02-28;null;
2009-03-31;11.2;
2009-04-30;90.6;
2009-05-31;80.8;
2009-06-30;36.6;
2009-07-31;60;
2009-08-31;44;
2009-09-30;16.2;
2009-10-31;187;
2009-11-30;2.8;
2009-12-31;54;
2010-01-31;88.6;
2010-02-28;18;
2010-03-31;229;
2010-04-30;131.6;
2010-05-31;2.4;
2010-06-30;18.8;
2010-07-31;26.4;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;12.4;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;46.2;
2012-03-31;11.8;
2012-04-30;8.2;
2012-05-31;25;
2012-06-30;34.4;
2012-07-31;32.6;
2012-08-31;55.4;
2012-09-30;5.6;
2012-10-31;6.8;
2012-11-30;78.8;
2012-12-31;5.8;
2013-01-31;146.6;
2013-02-28;37.2;
2013-03-31;5;
2013-04-30;35;
2013-05-31;25.2;
2013-06-30;63.8;
2013-07-31;47.4;
2013-08-31;32.8;
2013-09-30;23;
2013-10-31;14;
2013-11-30;29.4;
2013-12-31;207.2;
2014-01-31;12.8;
2014-02-28;39.4;
2014-03-31;43.4;
2014-04-30;35.6;
2014-05-31;52.4;
2014-06-30;45.4;
2014-07-31;60.2;
2014-08-31;32.8;
2014-09-30;24.8;
2014-10-31;14.8;
2014-11-30;63.2;
2014-12-31;279;
2015-01-31;4;
2015-02-28;90.2;
2015-03-31;4.4;
2015-04-30;28.2;
2015-05-31;72;
2015-06-30;85.6;
2015-07-31;52.8;
2015-08-31;50.6;
2015-09-30;10.8;
2015-10-31;7.8;
2015-11-30;1.2;
2015-12-31;7.2;
2016-01-31;426;
2016-02-29;4.6;
2016-03-31;23.2;
2016-04-30;31.4;
2016-05-31;46;
2016-06-30;23;
2016-07-31;62.8;
2016-08-31;46.2;
2016-09-30;38.6;
2016-10-31;103;
2016-11-30;87.6;
2016-12-31;15;
2017-01-31;3.8;
2017-02-28;27.8;
2017-03-31;9.2;
2017-04-30;115.4;
2017-05-31;3.4;
2017-06-30;6;
2017-07-31;16.2;
2017-08-31;16.2;
2017-09-30;null;
2017-10-31;null;
2017-11-30;84.4;
2017-12-31;54.4;
2018-01-31;80.6;
2018-02-28;74;
2018-03-31;106.2;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;33.8;
2018-09-30;9.2;
2018-10-31;3.2;
2018-11-30;26;
2018-12-31;32.6;
2019-01-31;17.4;
2019-02-28;28.2;
2019-03-31;135.8;
2019-04-30;37.2;
2019-05-31;40.6;
2019-06-30;68.6;
2019-07-31;48.4;
2019-08-31;74;
2019-09-30;47.4;
2019-10-31;7.4;
2019-11-30;30.4;
2019-12-31;20.4;
2020-01-31;37.8;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

