Nome: BOM JESUS DA LAPA
Codigo Estacao: A418
Latitude: -13.25111111
Longitude: -43.40527777
Altitude: 447.75
Situacao: Operante
Data Inicial: 2007-05-17
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;0;
2007-07-31;0;
2007-08-31;0;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;43.2;
2008-04-30;158;
2008-05-31;0;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;29.4;
2008-10-31;0;
2008-11-30;184.6;
2008-12-31;157.6;
2009-01-31;107;
2009-02-28;106.8;
2009-03-31;163.6;
2009-04-30;94.4;
2009-05-31;19.6;
2009-06-30;9;
2009-07-31;0;
2009-08-31;0;
2009-09-30;2.8;
2009-10-31;181.8;
2009-11-30;27.8;
2009-12-31;186.2;
2010-01-31;27.8;
2010-02-28;45.4;
2010-03-31;151.4;
2010-04-30;121.6;
2010-05-31;30.2;
2010-06-30;0;
2010-07-31;.2;
2010-08-31;0;
2010-09-30;6.8;
2010-10-31;79.8;
2010-11-30;2.6;
2010-12-31;0;
2011-01-31;41.8;
2011-02-28;71;
2011-03-31;161;
2011-04-30;34.6;
2011-05-31;10.4;
2011-06-30;0;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;92.8;
2011-11-30;134;
2011-12-31;191.4;
2012-01-31;46.6;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;34.2;
2012-06-30;1.6;
2012-07-31;0;
2012-08-31;0;
2012-09-30;2;
2012-10-31;16.2;
2012-11-30;286;
2012-12-31;1.6;
2013-01-31;136;
2013-02-28;33.6;
2013-03-31;68.4;
2013-04-30;59.4;
2013-05-31;15.4;
2013-06-30;24.2;
2013-07-31;0;
2013-08-31;0;
2013-09-30;2.6;
2013-10-31;10.8;
2013-11-30;null;
2013-12-31;1.8;
2014-01-31;2.8;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;3.6;
2014-06-30;3.4;
2014-07-31;null;
2014-08-31;null;
2014-09-30;0;
2014-10-31;28.2;
2014-11-30;221.8;
2014-12-31;126.4;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;.4;
2015-06-30;0;
2015-07-31;0;
2015-08-31;0;
2015-09-30;0;
2015-10-31;1.8;
2015-11-30;88;
2015-12-31;12;
2016-01-31;346.6;
2016-02-29;8.4;
2016-03-31;.2;
2016-04-30;0;
2016-05-31;0;
2016-06-30;4.6;
2016-07-31;0;
2016-08-31;0;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;63.2;
2017-01-31;16.6;
2017-02-28;47.4;
2017-03-31;135;
2017-04-30;48;
2017-05-31;3.6;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;null;
2017-10-31;3;
2017-11-30;null;
2017-12-31;92.4;
2018-01-31;86.6;
2018-02-28;174.2;
2018-03-31;97.4;
2018-04-30;82.6;
2018-05-31;.2;
2018-06-30;0;
2018-07-31;null;
2018-08-31;.2;
2018-09-30;0;
2018-10-31;41.4;
2018-11-30;58;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;171.8;
2019-04-30;61.4;
2019-05-31;13;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;8.2;
2019-10-31;6.4;
2019-11-30;39.4;
2019-12-31;null;
2020-01-31;null;
2020-02-29;78;
2020-03-31;null;
2020-04-30;null;
2020-05-31;64.4;
2020-06-30;0;
2020-07-31;0;
2020-08-31;.2;
2020-09-30;4.8;
2020-10-31;41.4;
2020-11-30;null;
2020-12-31;4;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;14;
2022-01-31;null;

