Nome: BREJO GRANDE
Codigo Estacao: A421
Latitude: -10.47388888
Longitude: -36.48194443
Altitude: 6.11
Situacao: Operante
Data Inicial: 2008-07-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-07-31;null;
2008-08-31;101.8;
2008-09-30;30.4;
2008-10-31;25.8;
2008-11-30;.4;
2008-12-31;17.4;
2009-01-31;40.4;
2009-02-28;55.2;
2009-03-31;67.2;
2009-04-30;102;
2009-05-31;638.8;
2009-06-30;315.8;
2009-07-31;207;
2009-08-31;270.2;
2009-09-30;82.2;
2009-10-31;45.8;
2009-11-30;2;
2009-12-31;38.4;
2010-01-31;70;
2010-02-28;103;
2010-03-31;31.8;
2010-04-30;573.8;
2010-05-31;226.2;
2010-06-30;null;
2010-07-31;null;
2010-08-31;79;
2010-09-30;35.2;
2010-10-31;30.8;
2010-11-30;12.2;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;246.8;
2011-05-31;320.6;
2011-06-30;109.4;
2011-07-31;278.2;
2011-08-31;95.2;
2011-09-30;73.2;
2011-10-31;92.2;
2011-11-30;54.8;
2011-12-31;14.8;
2012-01-31;17.2;
2012-02-29;null;
2012-03-31;53.6;
2012-04-30;39.8;
2012-05-31;194.2;
2012-06-30;155;
2012-07-31;162.6;
2012-08-31;121.4;
2012-09-30;null;
2012-10-31;55.4;
2012-11-30;1.8;
2012-12-31;10.6;
2013-01-31;25.6;
2013-02-28;20.2;
2013-03-31;37.8;
2013-04-30;225;
2013-05-31;202;
2013-06-30;172.4;
2013-07-31;210.8;
2013-08-31;145.8;
2013-09-30;49;
2013-10-31;177.2;
2013-11-30;59;
2013-12-31;8.2;
2014-01-31;16.2;
2014-02-28;45.8;
2014-03-31;73.2;
2014-04-30;147.4;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;45;
2014-10-31;138.4;
2014-11-30;81.6;
2014-12-31;20.6;
2015-01-31;8.8;
2015-02-28;70.2;
2015-03-31;120;
2015-04-30;80;
2015-05-31;168;
2015-06-30;234.2;
2015-07-31;323;
2015-08-31;69.2;
2015-09-30;26.4;
2015-10-31;36.8;
2015-11-30;1.6;
2015-12-31;25.6;
2016-01-31;93;
2016-02-29;41.2;
2016-03-31;82.6;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;4;
2016-12-31;11.2;
2017-01-31;4.6;
2017-02-28;18.8;
2017-03-31;null;
2017-04-30;null;
2017-05-31;55.4;
2017-06-30;314.6;
2017-07-31;182.4;
2017-08-31;116.8;
2017-09-30;215;
2017-10-31;47.4;
2017-11-30;.8;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;37.2;
2018-05-31;122.2;
2018-06-30;103.2;
2018-07-31;123.2;
2018-08-31;21.2;
2018-09-30;24.4;
2018-10-31;22.2;
2018-11-30;15.4;
2018-12-31;23.8;
2019-01-31;57.2;
2019-02-28;64;
2019-03-31;135;
2019-04-30;131.4;
2019-05-31;102.8;
2019-06-30;172;
2019-07-31;212.2;
2019-08-31;100.4;
2019-09-30;34.2;
2019-10-31;11;
2019-11-30;2.2;
2019-12-31;17.8;
2020-01-31;null;
2020-02-29;null;
2020-03-31;140.6;
2020-04-30;242.6;
2020-05-31;284.8;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

