Nome: ABROLHOS
Codigo Estacao: A422
Latitude: -17.96305555
Longitude: -38.70333333
Altitude: 20.93
Situacao: Pane
Data Inicial: 2008-07-20
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-07-31;null;
2008-08-31;23.8;
2008-09-30;25.4;
2008-10-31;16;
2008-11-30;294;
2008-12-31;130.2;
2009-01-31;65;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;45;
2009-08-31;38.8;
2009-09-30;61;
2009-10-31;178;
2009-11-30;50.4;
2009-12-31;11.2;
2010-01-31;32.6;
2010-02-28;27.6;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;389.8;
2010-12-31;15.8;
2011-01-31;16.6;
2011-02-28;18.4;
2011-03-31;83.2;
2011-04-30;152.2;
2011-05-31;55;
2011-06-30;null;
2011-07-31;14.2;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;42.4;
2012-01-31;20.8;
2012-02-29;20.4;
2012-03-31;25;
2012-04-30;60.4;
2012-05-31;92.4;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;101.4;
2012-11-30;258.8;
2012-12-31;3.6;
2013-01-31;44.8;
2013-02-28;31.2;
2013-03-31;14.8;
2013-04-30;122.4;
2013-05-31;55.2;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;140;
2013-11-30;66.8;
2013-12-31;165.4;
2014-01-31;46.6;
2014-02-28;86.8;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;27;
2014-08-31;16;
2014-09-30;11.2;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;12.6;
2015-02-28;118;
2015-03-31;68.4;
2015-04-30;33.4;
2015-05-31;29.6;
2015-06-30;113.4;
2015-07-31;62.8;
2015-08-31;15.4;
2015-09-30;.6;
2015-10-31;38;
2015-11-30;6;
2015-12-31;35.6;
2016-01-31;169.8;
2016-02-29;3;
2016-03-31;23;
2016-04-30;49.8;
2016-05-31;0;
2016-06-30;0;
2016-07-31;0;
2016-08-31;null;
2016-09-30;null;
2016-10-31;0;
2016-11-30;0;
2016-12-31;0;
2017-01-31;0;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;23.4;
2018-09-30;40.8;
2018-10-31;66.2;
2018-11-30;75.8;
2018-12-31;167.8;
2019-01-31;10.2;
2019-02-28;39.2;
2019-03-31;139.8;
2019-04-30;37.6;
2019-05-31;119.4;
2019-06-30;75.8;
2019-07-31;29.8;
2019-08-31;44.8;
2019-09-30;81.4;
2019-10-31;88.6;
2019-11-30;49.8;
2019-12-31;null;
2020-01-31;163.2;
2020-02-29;10;
2020-03-31;97.8;
2020-04-30;91.8;
2020-05-31;28.6;
2020-06-30;23.4;
2020-07-31;32.4;
2020-08-31;50.8;
2020-09-30;10.6;
2020-10-31;77.6;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

