Nome: REMANSO
Codigo Estacao: A423
Latitude: -9.62555554
Longitude: -42.07722221
Altitude: 397.4
Situacao: Operante
Data Inicial: 2008-03-25
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;null;
2008-04-30;217.8;
2008-05-31;3;
2008-06-30;.4;
2008-07-31;0;
2008-08-31;0;
2008-09-30;.2;
2008-10-31;0;
2008-11-30;35.4;
2008-12-31;51.4;
2009-01-31;266.4;
2009-02-28;111;
2009-03-31;165;
2009-04-30;181.8;
2009-05-31;31;
2009-06-30;3;
2009-07-31;0;
2009-08-31;0;
2009-09-30;0;
2009-10-31;128.4;
2009-11-30;0;
2009-12-31;54.4;
2010-01-31;110.4;
2010-02-28;43.6;
2010-03-31;144.2;
2010-04-30;102;
2010-05-31;0;
2010-06-30;17.8;
2010-07-31;3.6;
2010-08-31;0;
2010-09-30;0;
2010-10-31;30.6;
2010-11-30;6.2;
2010-12-31;161.6;
2011-01-31;35.4;
2011-02-28;91.2;
2011-03-31;274.2;
2011-04-30;23.8;
2011-05-31;4.2;
2011-06-30;1.6;
2011-07-31;0;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;72.4;
2011-12-31;20.2;
2012-01-31;9.2;
2012-02-29;77.8;
2012-03-31;16.4;
2012-04-30;0;
2012-05-31;0;
2012-06-30;0;
2012-07-31;0;
2012-08-31;.2;
2012-09-30;0;
2012-10-31;0;
2012-11-30;105.8;
2012-12-31;21.8;
2013-01-31;48;
2013-02-28;0;
2013-03-31;77.6;
2013-04-30;87;
2013-05-31;0;
2013-06-30;0;
2013-07-31;2.6;
2013-08-31;0;
2013-09-30;0;
2013-10-31;9.2;
2013-11-30;70.2;
2013-12-31;219.8;
2014-01-31;0;
2014-02-28;73;
2014-03-31;76.6;
2014-04-30;170.8;
2014-05-31;null;
2014-06-30;null;
2014-07-31;3.8;
2014-08-31;4.8;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;1.4;
2015-02-28;39.2;
2015-03-31;27;
2015-04-30;80.4;
2015-05-31;.6;
2015-06-30;.4;
2015-07-31;2.2;
2015-08-31;1.6;
2015-09-30;0;
2015-10-31;1.2;
2015-11-30;13.4;
2015-12-31;0;
2016-01-31;131.4;
2016-02-29;null;
2016-03-31;5;
2016-04-30;0;
2016-05-31;10.4;
2016-06-30;0;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;13;
2016-11-30;105.2;
2016-12-31;10;
2017-01-31;8.4;
2017-02-28;84.2;
2017-03-31;50.6;
2017-04-30;66;
2017-05-31;4;
2017-06-30;4.8;
2017-07-31;.4;
2017-08-31;0;
2017-09-30;0;
2017-10-31;2;
2017-11-30;25.2;
2017-12-31;22.6;
2018-01-31;29.4;
2018-02-28;198.2;
2018-03-31;250.4;
2018-04-30;24.8;
2018-05-31;0;
2018-06-30;0;
2018-07-31;0;
2018-08-31;0;
2018-09-30;0;
2018-10-31;27.2;
2018-11-30;32.8;
2018-12-31;145.6;
2019-01-31;0;
2019-02-28;94.8;
2019-03-31;103.6;
2019-04-30;42.4;
2019-05-31;.8;
2019-06-30;0;
2019-07-31;0;
2019-08-31;null;
2019-09-30;null;
2019-10-31;0;
2019-11-30;11.2;
2019-12-31;57.8;
2020-01-31;130.2;
2020-02-29;73.8;
2020-03-31;339;
2020-04-30;62.8;
2020-05-31;3.6;
2020-06-30;8.8;
2020-07-31;2;
2020-08-31;3.4;
2020-09-30;0;
2020-10-31;5.4;
2020-11-30;null;
2020-12-31;3.4;
2021-01-31;4;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

