Nome: LENCOIS
Codigo Estacao: A425
Latitude: -12.557854
Longitude: -41.388808
Altitude: 438.09
Situacao: Operante
Data Inicial: 2008-04-04
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;34.6;
2008-06-30;80.6;
2008-07-31;27.8;
2008-08-31;35.6;
2008-09-30;27.2;
2008-10-31;9.4;
2008-11-30;138;
2008-12-31;172.2;
2009-01-31;146.4;
2009-02-28;68.8;
2009-03-31;103.8;
2009-04-30;299.6;
2009-05-31;101.2;
2009-06-30;69.8;
2009-07-31;44.8;
2009-08-31;34.6;
2009-09-30;17;
2009-10-31;null;
2009-11-30;21.2;
2009-12-31;84.6;
2010-01-31;34;
2010-02-28;26.2;
2010-03-31;109.6;
2010-04-30;219.6;
2010-05-31;42;
2010-06-30;4.6;
2010-07-31;78.2;
2010-08-31;21.6;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;52.2;
2011-09-30;10.4;
2011-10-31;50;
2011-11-30;130.6;
2011-12-31;102.2;
2012-01-31;16.6;
2012-02-29;139;
2012-03-31;5.4;
2012-04-30;9.8;
2012-05-31;62.8;
2012-06-30;59.2;
2012-07-31;32;
2012-08-31;42.2;
2012-09-30;.4;
2012-10-31;57.8;
2012-11-30;118.6;
2012-12-31;5.2;
2013-01-31;253.8;
2013-02-28;null;
2013-03-31;null;
2013-04-30;53.2;
2013-05-31;47.2;
2013-06-30;71.8;
2013-07-31;50.6;
2013-08-31;67.4;
2013-09-30;36;
2013-10-31;12.6;
2013-11-30;80.6;
2013-12-31;222.6;
2014-01-31;21.8;
2014-02-28;96;
2014-03-31;144.4;
2014-04-30;90.4;
2014-05-31;53.6;
2014-06-30;31.6;
2014-07-31;27.4;
2014-08-31;16.8;
2014-09-30;21;
2014-10-31;82.4;
2014-11-30;247.4;
2014-12-31;155.8;
2015-01-31;3.8;
2015-02-28;159;
2015-03-31;101.6;
2015-04-30;147.4;
2015-05-31;65;
2015-06-30;80.8;
2015-07-31;53;
2015-08-31;45.6;
2015-09-30;1;
2015-10-31;15.4;
2015-11-30;42.4;
2015-12-31;33;
2016-01-31;591.6;
2016-02-29;0;
2016-03-31;22.8;
2016-04-30;14.2;
2016-05-31;9;
2016-06-30;20.2;
2016-07-31;35;
2016-08-31;124.2;
2016-09-30;30.4;
2016-10-31;165.6;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;88.6;
2017-04-30;91;
2017-05-31;113;
2017-06-30;28.2;
2017-07-31;50.8;
2017-08-31;10.4;
2017-09-30;45.8;
2017-10-31;3.2;
2017-11-30;161.8;
2017-12-31;53;
2018-01-31;66;
2018-02-28;125.6;
2018-03-31;227.2;
2018-04-30;74.8;
2018-05-31;66.8;
2018-06-30;138.8;
2018-07-31;26.6;
2018-08-31;18.4;
2018-09-30;16;
2018-10-31;147.2;
2018-11-30;106.4;
2018-12-31;189.4;
2019-01-31;1.8;
2019-02-28;62.4;
2019-03-31;171.6;
2019-04-30;243.6;
2019-05-31;69;
2019-06-30;51.6;
2019-07-31;191.2;
2019-08-31;61.4;
2019-09-30;35;
2019-10-31;90.8;
2019-11-30;44.8;
2019-12-31;45.4;
2020-01-31;280.6;
2020-02-29;38.2;
2020-03-31;301.4;
2020-04-30;237.4;
2020-05-31;90;
2020-06-30;86.2;
2020-07-31;87.2;
2020-08-31;64.2;
2020-09-30;43;
2020-10-31;117;
2020-11-30;310.2;
2020-12-31;6.8;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;304.2;
2021-12-31;603.2;
2022-01-31;null;

