Nome: GUANAMBI
Codigo Estacao: A426
Latitude: -14.20805555
Longitude: -42.74972221
Altitude: 552.23
Situacao: Operante
Data Inicial: 2008-04-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;0;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;39.8;
2008-10-31;0;
2008-11-30;null;
2008-12-31;null;
2009-01-31;62;
2009-02-28;23.6;
2009-03-31;195.2;
2009-04-30;124.4;
2009-05-31;3;
2009-06-30;2.8;
2009-07-31;.2;
2009-08-31;0;
2009-09-30;17.2;
2009-10-31;237.8;
2009-11-30;46.6;
2009-12-31;110;
2010-01-31;28;
2010-02-28;41.2;
2010-03-31;225.6;
2010-04-30;22;
2010-05-31;29.6;
2010-06-30;.4;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;19.6;
2010-11-30;146.6;
2010-12-31;102.2;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;3;
2011-06-30;1;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;30.2;
2011-11-30;146.2;
2011-12-31;114.8;
2012-01-31;82.2;
2012-02-29;125.4;
2012-03-31;43.6;
2012-04-30;0;
2012-05-31;1;
2012-06-30;null;
2012-07-31;.4;
2012-08-31;1.6;
2012-09-30;0;
2012-10-31;1;
2012-11-30;272.8;
2012-12-31;10.6;
2013-01-31;116.2;
2013-02-28;0;
2013-03-31;8.8;
2013-04-30;29.4;
2013-05-31;0;
2013-06-30;.4;
2013-07-31;3;
2013-08-31;0;
2013-09-30;0;
2013-10-31;49;
2013-11-30;182;
2013-12-31;270.8;
2014-01-31;0;
2014-02-28;17.6;
2014-03-31;50.4;
2014-04-30;61.4;
2014-05-31;3.6;
2014-06-30;5.2;
2014-07-31;0;
2014-08-31;0;
2014-09-30;0;
2014-10-31;24.2;
2014-11-30;166.8;
2014-12-31;231.6;
2015-01-31;9.4;
2015-02-28;89.6;
2015-03-31;87.4;
2015-04-30;163.2;
2015-05-31;40;
2015-06-30;0;
2015-07-31;.2;
2015-08-31;.2;
2015-09-30;0;
2015-10-31;2.8;
2015-11-30;82.6;
2015-12-31;12.8;
2016-01-31;432.8;
2016-02-29;9.6;
2016-03-31;3.8;
2016-04-30;null;
2016-05-31;null;
2016-06-30;.6;
2016-07-31;0;
2016-08-31;null;
2016-09-30;null;
2016-10-31;22;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;103.8;
2017-04-30;null;
2017-05-31;7.8;
2017-06-30;null;
2017-07-31;8.4;
2017-08-31;0;
2017-09-30;0;
2017-10-31;null;
2017-11-30;70.8;
2017-12-31;150.4;
2018-01-31;45;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;0;
2018-06-30;1;
2018-07-31;4;
2018-08-31;.2;
2018-09-30;null;
2018-10-31;53.4;
2018-11-30;125.6;
2018-12-31;212.6;
2019-01-31;null;
2019-02-28;null;
2019-03-31;73.4;
2019-04-30;38;
2019-05-31;0;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;null;
2019-10-31;33;
2019-11-30;null;
2019-12-31;0;
2020-01-31;null;
2020-02-29;38.2;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;null;
2020-11-30;null;
2020-12-31;12.2;
2021-01-31;59.4;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;0;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;141.8;
2021-12-31;null;
2022-01-31;null;

