Nome: PIATA
Codigo Estacao: A430
Latitude: -13.155681
Longitude: -41.774125
Altitude: 1283.95
Situacao: Operante
Data Inicial: 2008-05-02
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-05-31;null;
2008-06-30;75.8;
2008-07-31;58.2;
2008-08-31;27.6;
2008-09-30;16.4;
2008-10-31;18.6;
2008-11-30;154.8;
2008-12-31;163;
2009-01-31;201.2;
2009-02-28;58.4;
2009-03-31;96.2;
2009-04-30;261.4;
2009-05-31;104.4;
2009-06-30;63;
2009-07-31;56.8;
2009-08-31;45.6;
2009-09-30;27.2;
2009-10-31;174.6;
2009-11-30;42.6;
2009-12-31;103;
2010-01-31;75.4;
2010-02-28;79.6;
2010-03-31;177.8;
2010-04-30;107.4;
2010-05-31;18.6;
2010-06-30;19.4;
2010-07-31;111.8;
2010-08-31;21.6;
2010-09-30;39.6;
2010-10-31;46.8;
2010-11-30;268.2;
2010-12-31;154.4;
2011-01-31;83.4;
2011-02-28;48.4;
2011-03-31;162.2;
2011-04-30;111.4;
2011-05-31;38.2;
2011-06-30;29.4;
2011-07-31;59.4;
2011-08-31;33.6;
2011-09-30;17.8;
2011-10-31;128.4;
2011-11-30;143.4;
2011-12-31;84.2;
2012-01-31;47;
2012-02-29;87.2;
2012-03-31;2.2;
2012-04-30;26.6;
2012-05-31;60.4;
2012-06-30;38.2;
2012-07-31;73;
2012-08-31;117.2;
2012-09-30;3.6;
2012-10-31;9.6;
2012-11-30;162.4;
2012-12-31;44.8;
2013-01-31;156.4;
2013-02-28;71.4;
2013-03-31;44.4;
2013-04-30;100.8;
2013-05-31;45.8;
2013-06-30;76;
2013-07-31;64;
2013-08-31;73.4;
2013-09-30;67;
2013-10-31;27.6;
2013-11-30;81.6;
2013-12-31;231;
2014-01-31;71.8;
2014-02-28;81.8;
2014-03-31;90.2;
2014-04-30;111.8;
2014-05-31;53.6;
2014-06-30;54.2;
2014-07-31;55.4;
2014-08-31;14.6;
2014-09-30;7.6;
2014-10-31;56.4;
2014-11-30;213.6;
2014-12-31;127.4;
2015-01-31;10.2;
2015-02-28;135.2;
2015-03-31;21.4;
2015-04-30;142.2;
2015-05-31;91.4;
2015-06-30;78.6;
2015-07-31;64.2;
2015-08-31;81.6;
2015-09-30;1.4;
2015-10-31;31.2;
2015-11-30;55.2;
2015-12-31;45;
2016-01-31;null;
2016-02-29;.2;
2016-03-31;1.4;
2016-04-30;2.4;
2016-05-31;2;
2016-06-30;3.8;
2016-07-31;5;
2016-08-31;3.6;
2016-09-30;2.6;
2016-10-31;null;
2016-11-30;12.4;
2016-12-31;9;
2017-01-31;.4;
2017-02-28;3.8;
2017-03-31;null;
2017-04-30;null;
2017-05-31;3.8;
2017-06-30;3.8;
2017-07-31;5.4;
2017-08-31;2;
2017-09-30;2.8;
2017-10-31;0;
2017-11-30;null;
2017-12-31;51;
2018-01-31;90.8;
2018-02-28;135;
2018-03-31;163.8;
2018-04-30;113.4;
2018-05-31;90.2;
2018-06-30;46.6;
2018-07-31;29;
2018-08-31;14;
2018-09-30;1.8;
2018-10-31;46.6;
2018-11-30;127;
2018-12-31;275.4;
2019-01-31;10.8;
2019-02-28;86.8;
2019-03-31;155.6;
2019-04-30;115.6;
2019-05-31;28.4;
2019-06-30;38.8;
2019-07-31;31.6;
2019-08-31;50.8;
2019-09-30;30.2;
2019-10-31;39;
2019-11-30;38.6;
2019-12-31;39;
2020-01-31;198.8;
2020-02-29;42;
2020-03-31;302;
2020-04-30;232.6;
2020-05-31;41;
2020-06-30;55.6;
2020-07-31;75.4;
2020-08-31;37.4;
2020-09-30;23.8;
2020-10-31;114.6;
2020-11-30;292.4;
2020-12-31;17.2;
2021-01-31;117.6;
2021-02-28;122;
2021-03-31;30.4;
2021-04-30;70.2;
2021-05-31;22;
2021-06-30;24;
2021-07-31;5.2;
2021-08-31;31.4;
2021-09-30;null;
2021-10-31;96.8;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

