Nome: BURITIRAMA
Codigo Estacao: A432
Latitude: -10.72305554
Longitude: -43.65111111
Altitude: 506.06
Situacao: Pane
Data Inicial: 2008-05-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-05-31;null;
2008-06-30;.2;
2008-07-31;0;
2008-08-31;0;
2008-09-30;.8;
2008-10-31;0;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;382;
2009-04-30;124.2;
2009-05-31;60.6;
2009-06-30;12.4;
2009-07-31;0;
2009-08-31;2;
2009-09-30;0;
2009-10-31;82.2;
2009-11-30;.2;
2009-12-31;115.2;
2010-01-31;75.6;
2010-02-28;33.2;
2010-03-31;89;
2010-04-30;88.4;
2010-05-31;2.2;
2010-06-30;.2;
2010-07-31;0;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;178;
2011-04-30;29.6;
2011-05-31;.8;
2011-06-30;0;
2011-07-31;0;
2011-08-31;.6;
2011-09-30;0;
2011-10-31;22.8;
2011-11-30;91.4;
2011-12-31;46.4;
2012-01-31;13;
2012-02-29;null;
2012-03-31;.4;
2012-04-30;0;
2012-05-31;0;
2012-06-30;0;
2012-07-31;0;
2012-08-31;0;
2012-09-30;.2;
2012-10-31;9.4;
2012-11-30;92.4;
2012-12-31;52.6;
2013-01-31;147.6;
2013-02-28;4.2;
2013-03-31;19;
2013-04-30;26;
2013-05-31;0;
2013-06-30;0;
2013-07-31;0;
2013-08-31;0;
2013-09-30;0;
2013-10-31;19.2;
2013-11-30;79.4;
2013-12-31;181;
2014-01-31;17.8;
2014-02-28;75;
2014-03-31;79.2;
2014-04-30;141.8;
2014-05-31;.4;
2014-06-30;1;
2014-07-31;0;
2014-08-31;0;
2014-09-30;0;
2014-10-31;2.4;
2014-11-30;81.2;
2014-12-31;128.6;
2015-01-31;41.6;
2015-02-28;77.2;
2015-03-31;111;
2015-04-30;87.2;
2015-05-31;6;
2015-06-30;0;
2015-07-31;0;
2015-08-31;0;
2015-09-30;0;
2015-10-31;10.2;
2015-11-30;45.8;
2015-12-31;22.6;
2016-01-31;187.6;
2016-02-29;null;
2016-03-31;49.6;
2016-04-30;0;
2016-05-31;7.6;
2016-06-30;0;
2016-07-31;0;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;83.6;
2016-12-31;5.8;
2017-01-31;44.8;
2017-02-28;161.8;
2017-03-31;118;
2017-04-30;2.8;
2017-05-31;1.6;
2017-06-30;.2;
2017-07-31;0;
2017-08-31;0;
2017-09-30;null;
2017-10-31;1;
2017-11-30;null;
2017-12-31;null;
2018-01-31;45.2;
2018-02-28;null;
2018-03-31;null;
2018-04-30;33.6;
2018-05-31;0;
2018-06-30;null;
2018-07-31;null;
2018-08-31;0;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;17.2;
2019-05-31;44.2;
2019-06-30;0;
2019-07-31;2.2;
2019-08-31;0;
2019-09-30;0;
2019-10-31;22.6;
2019-11-30;13.6;
2019-12-31;40.4;
2020-01-31;133;
2020-02-29;67.8;
2020-03-31;99.4;
2020-04-30;46.6;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

