Nome: UNA
Codigo Estacao: A437
Latitude: -15.28027777
Longitude: -39.09138888
Altitude: 74.08
Situacao: Pane
Data Inicial: 2008-06-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;96.6;
2008-08-31;99.8;
2008-09-30;34.6;
2008-10-31;95.2;
2008-11-30;196.8;
2008-12-31;295;
2009-01-31;152.6;
2009-02-28;112.2;
2009-03-31;252;
2009-04-30;342.4;
2009-05-31;203.6;
2009-06-30;120.6;
2009-07-31;202.8;
2009-08-31;134.8;
2009-09-30;125.8;
2009-10-31;274.2;
2009-11-30;88.2;
2009-12-31;16.2;
2010-01-31;67.8;
2010-02-28;134;
2010-03-31;232.6;
2010-04-30;207.6;
2010-05-31;148.4;
2010-06-30;null;
2010-07-31;null;
2010-08-31;110.4;
2010-09-30;null;
2010-10-31;null;
2010-11-30;274;
2010-12-31;94.6;
2011-01-31;301.8;
2011-02-28;126.6;
2011-03-31;348.6;
2011-04-30;454.2;
2011-05-31;185;
2011-06-30;73;
2011-07-31;223.6;
2011-08-31;126.4;
2011-09-30;121.8;
2011-10-31;477.4;
2011-11-30;342.2;
2011-12-31;136;
2012-01-31;121.6;
2012-02-29;153.8;
2012-03-31;83;
2012-04-30;47.8;
2012-05-31;182;
2012-06-30;2.4;
2012-07-31;null;
2012-08-31;149.6;
2012-09-30;64;
2012-10-31;137.6;
2012-11-30;128;
2012-12-31;15.4;
2013-01-31;192.2;
2013-02-28;226.8;
2013-03-31;52.8;
2013-04-30;166.6;
2013-05-31;116.2;
2013-06-30;195;
2013-07-31;146.4;
2013-08-31;175.2;
2013-09-30;266.6;
2013-10-31;207.4;
2013-11-30;342.8;
2013-12-31;227;
2014-01-31;142.2;
2014-02-28;146.6;
2014-03-31;265.4;
2014-04-30;52.8;
2014-05-31;125.2;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;64.4;
2014-10-31;82;
2014-11-30;141.2;
2014-12-31;382.8;
2015-01-31;77;
2015-02-28;155.6;
2015-03-31;87.6;
2015-04-30;null;
2015-05-31;113;
2015-06-30;343.2;
2015-07-31;172;
2015-08-31;207;
2015-09-30;8.6;
2015-10-31;158;
2015-11-30;20.4;
2015-12-31;31.6;
2016-01-31;94.4;
2016-02-29;6.4;
2016-03-31;82;
2016-04-30;61;
2016-05-31;78;
2016-06-30;69.8;
2016-07-31;147.8;
2016-08-31;null;
2016-09-30;82.6;
2016-10-31;207.2;
2016-11-30;318.2;
2016-12-31;89.8;
2017-01-31;45.2;
2017-02-28;124.8;
2017-03-31;128.4;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;85.8;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;88.4;
2018-02-28;225.8;
2018-03-31;184.8;
2018-04-30;null;
2018-05-31;203.4;
2018-06-30;219.4;
2018-07-31;115.4;
2018-08-31;72.8;
2018-09-30;null;
2018-10-31;45;
2018-11-30;null;
2018-12-31;183.4;
2019-01-31;60.6;
2019-02-28;33.4;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;79.4;
2019-08-31;199.4;
2019-09-30;175.6;
2019-10-31;82;
2019-11-30;30.4;
2019-12-31;104;
2020-01-31;37.8;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

