Nome: MARAU
Codigo Estacao: A438
Latitude: -13.90694444
Longitude: -38.97222221
Altitude: 6.24
Situacao: Operante
Data Inicial: 2008-06-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;178.6;
2008-08-31;68.8;
2008-09-30;165.6;
2008-10-31;22.2;
2008-11-30;139;
2008-12-31;250.8;
2009-01-31;50.6;
2009-02-28;239;
2009-03-31;50.2;
2009-04-30;305.2;
2009-05-31;330.6;
2009-06-30;175.4;
2009-07-31;188;
2009-08-31;269.4;
2009-09-30;98.2;
2009-10-31;141.2;
2009-11-30;76.2;
2009-12-31;55.8;
2010-01-31;182.6;
2010-02-28;143.4;
2010-03-31;270.4;
2010-04-30;335.6;
2010-05-31;207.4;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;85.6;
2010-12-31;156;
2011-01-31;276.8;
2011-02-28;290;
2011-03-31;251.6;
2011-04-30;458.6;
2011-05-31;221.6;
2011-06-30;330.4;
2011-07-31;218.4;
2011-08-31;114;
2011-09-30;133.8;
2011-10-31;219.4;
2011-11-30;267.2;
2011-12-31;148.4;
2012-01-31;76.2;
2012-02-29;214.2;
2012-03-31;130.8;
2012-04-30;185.2;
2012-05-31;348.6;
2012-06-30;304.4;
2012-07-31;122.2;
2012-08-31;157.8;
2012-09-30;34.4;
2012-10-31;91.4;
2012-11-30;40;
2012-12-31;37.2;
2013-01-31;304.4;
2013-02-28;275;
2013-03-31;118.8;
2013-04-30;361;
2013-05-31;311.2;
2013-06-30;223.4;
2013-07-31;300;
2013-08-31;298;
2013-09-30;143.2;
2013-10-31;127;
2013-11-30;463;
2013-12-31;28.6;
2014-01-31;247.2;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;206.6;
2014-06-30;169;
2014-07-31;235;
2014-08-31;161.8;
2014-09-30;205.4;
2014-10-31;74.8;
2014-11-30;155;
2014-12-31;463.2;
2015-01-31;194.2;
2015-02-28;111.2;
2015-03-31;95.8;
2015-04-30;243.6;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;131.8;
2015-09-30;40.4;
2015-10-31;65.4;
2015-11-30;127.2;
2015-12-31;26.8;
2016-01-31;130.8;
2016-02-29;78.4;
2016-03-31;100.6;
2016-04-30;189.2;
2016-05-31;227.6;
2016-06-30;127.4;
2016-07-31;160.8;
2016-08-31;338.2;
2016-09-30;null;
2016-10-31;null;
2016-11-30;66.6;
2016-12-31;142.2;
2017-01-31;44.6;
2017-02-28;142.8;
2017-03-31;232.2;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;99.6;
2017-09-30;147.4;
2017-10-31;32;
2017-11-30;91.6;
2017-12-31;74;
2018-01-31;126.4;
2018-02-28;69.4;
2018-03-31;167.8;
2018-04-30;344.4;
2018-05-31;320.2;
2018-06-30;281;
2018-07-31;109.2;
2018-08-31;101.6;
2018-09-30;104.8;
2018-10-31;27.8;
2018-11-30;281.6;
2018-12-31;161;
2019-01-31;119.2;
2019-02-28;16.8;
2019-03-31;186.4;
2019-04-30;129.6;
2019-05-31;341.4;
2019-06-30;218;
2019-07-31;163.2;
2019-08-31;269.8;
2019-09-30;147.4;
2019-10-31;98.6;
2019-11-30;54;
2019-12-31;134.8;
2020-01-31;174.8;
2020-02-29;152.2;
2020-03-31;169.8;
2020-04-30;446.4;
2020-05-31;314;
2020-06-30;241;
2020-07-31;266.6;
2020-08-31;293.2;
2020-09-30;85;
2020-10-31;75.4;
2020-11-30;120.2;
2020-12-31;129;
2021-01-31;110.4;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

